model_name,model_role,architecture_name,parameter_count,trainable_parameter_count,parameter_size_mb_fp32,cpu_forward_ms_per_window,embedded_deployment_verdict
tcn_causal,trained,tcn_causal,101326,101326,0.38652801513671875,1.4286135137081146,possible_on_embedded_linux
tcn,trained_comparison,tcn,101326,101326,0.38652801513671875,1.3173733279109001,possible_on_embedded_linux
gru,trained_comparison,gru,152070,152070,0.5801010131835938,2.6991371624171734,possible_on_embedded_linux
transformer,trained_comparison,transformer,399110,399110,1.5224838256835938,1.3976196758449078,possible_on_embedded_linux
identity,baseline,identity,0,0,0.0,0.001346636563539505,yes_classical_filter
lowpass,baseline,lowpass,0,0,0.0,0.02993158996105194,yes_classical_filter
butterworth,baseline,butterworth,0,0,0.0,2.018142007291317,yes_classical_filter
savgol,baseline,savgol,0,0,0.0,2.069245632737875,yes_classical_filter
wiener,baseline,wiener,0,0,0.0,0.4313258267939091,yes_classical_filter
