motion_name,rmse_mean_tcn,acc_channel_rmse_mean_tcn,gyr_channel_rmse_mean_tcn,pearson_mean_tcn,psd_distance_mean_tcn,acc_norm_rmse_tcn,gyr_norm_rmse_tcn,hf_ratio_improvement_mean_tcn,rmse_mean_lowpass,acc_channel_rmse_mean_lowpass,gyr_channel_rmse_mean_lowpass,pearson_mean_lowpass,psd_distance_mean_lowpass,acc_norm_rmse_lowpass,gyr_norm_rmse_lowpass,hf_ratio_improvement_mean_lowpass,rmse_mean_delta_tcn_minus_lowpass,acc_channel_rmse_mean_delta_tcn_minus_lowpass,gyr_channel_rmse_mean_delta_tcn_minus_lowpass,pearson_mean_delta_tcn_minus_lowpass,psd_distance_mean_delta_tcn_minus_lowpass,acc_norm_rmse_delta_tcn_minus_lowpass,gyr_norm_rmse_delta_tcn_minus_lowpass,hf_ratio_improvement_mean_delta_tcn_minus_lowpass
canonical,0.1441717294440781,0.24521596261307202,0.04312749627508421,0.833886854072496,0.009776407417270172,0.17881829941391267,0.05876649064805613,11.519933835338847,0.2808704482828475,0.5074890975290063,0.05425179903668874,0.8292300785208654,0.033499189683989634,0.37406241257717326,0.06782255754329856,11.204192781955937,-0.1366987188387694,-0.2622731349159343,-0.011124302761604532,0.0046567755516305764,-0.023722782266719464,-0.1952441131632606,-0.009056066895242437,0.3157410533829097
explosiv,0.8110496554807839,1.2261462727340602,0.3959530382275076,0.9209844117751798,0.1826029089083094,1.020181417111623,0.40454418505147355,5.628745766040875,1.066372262107703,1.6561264963810054,0.4766180278344006,0.8999863091732775,0.3836483330619079,1.5348194763822072,0.5176535496393503,4.904916778726648,-0.2553226066269191,-0.4299802236469452,-0.080664989606893,0.02099810260190227,-0.20104542415359847,-0.5146380592705841,-0.11310936458787674,0.723828987314227
fast,0.4692292437843533,0.7443922707148326,0.1940662168538741,0.9387066857868682,0.0890588930980741,0.7900383115011769,0.23635642773879226,9.357425888307782,0.7200418258718668,1.1578254203001657,0.28225823144356793,0.9172881161684149,0.2624738207481212,1.2994427921680303,0.31221870608950175,8.76313222002817,-0.2508125820875135,-0.41343314958533306,-0.08819201458969383,0.021418569618453343,-0.1734149276500471,-0.5094044806668534,-0.0758622783507095,0.5942936682796116
fast_slow,0.7908947605675516,1.2345753691899473,0.34721415194515615,0.9294486097760984,0.17237759969735075,0.8749466220633342,0.44183146657708744,9.199243392026762,1.1228092326639363,1.802759938648878,0.4428585266789947,0.8961159379235173,0.38771134409759656,1.5215736861412341,0.5353643550752447,8.542599735500746,-0.3319144720963847,-0.5681845694589307,-0.09564437473383858,0.03333267185258115,-0.2153337444002458,-0.6466270640778999,-0.09353288849815727,0.6566436565260165
fast_slow_fast,0.5649709061925976,0.8789877259985559,0.2509540863866393,0.9303697645211475,0.11547560931897713,0.902484055965518,0.31089777650749534,8.642132772977204,0.8975923341595002,1.4245578199536317,0.3706268483653687,0.9039571878318508,0.33198666205394867,1.5564628395296278,0.42232906512134444,7.581808226195038,-0.33262142796690264,-0.5455700939550758,-0.11967276197872939,0.02641257668929675,-0.21651105273497154,-0.6539787835641099,-0.1114312886138491,1.0603245467821658
freeze1,0.25132259229818976,0.47553396696845696,0.027111217627922696,0.6854451605895493,0.0007713334743887875,0.1739542968571186,0.03180809132754803,11.234566455388741,0.5226471030463775,1.0208233249684175,0.024470881124337516,0.7959625946500349,0.0003162894551072289,1.2951742231845855,0.03074608501046896,11.018981083323597,-0.27132451074818775,-0.5452893579999606,0.0026403365035851806,-0.11051743406048564,0.0004550440192815586,-1.121219926327467,0.0010620063170790686,0.21558537206514394
freeze2,0.4320521386728312,0.8281351160258055,0.03596916131985684,0.7343626264639377,0.0010271429677535101,0.13845791593194007,0.05141919981688261,10.431740496698712,0.4671001078638558,0.8988612186163664,0.03533899711134533,0.7359014253190378,0.0010519852304469168,0.6703424528241158,0.05039470549672842,9.923911049099258,-0.0350479691910246,-0.07072610259056089,0.0006301642085115092,-0.0015387988551001097,-2.4842262693406704e-05,-0.5318845368921756,0.0010244943201541887,0.5078294475994536
gait_fast,0.506100247603725,0.8024593895292047,0.20974110567824508,0.9023970368089254,0.0454447368475569,0.8728642042304201,0.2748304270501501,5.453268718072056,0.7154857503205893,1.1486234982196726,0.28234800242150604,0.8559206088674597,0.1024300846150489,1.2657333551662897,0.3826645892212085,5.065575960650223,-0.2093855027168643,-0.3461641086904679,-0.07260689674326096,0.04647642794146567,-0.056985347767492006,-0.3928691509358696,-0.1078341621710584,0.3876927574218323
gait_slow,0.466553109728041,0.7407006816278588,0.19240553782822317,0.8717870789956935,0.052086077023117044,0.8525476699308404,0.29797767381207235,4.7413024552950125,0.6593338955830503,1.0838618795920467,0.2348059115740539,0.8420259402656295,0.10645326378226969,1.264386795451806,0.39268353775468706,4.488949472478577,-0.19278078585500935,-0.34316119796418787,-0.04240037374583072,0.02976113873006403,-0.05436718675915264,-0.4118391255209656,-0.09470586394261471,0.2523529828164355
pause,0.19875322851141738,0.39190265421592996,0.005603802806904747,0.18830332503331862,0.0001322563449516733,0.07013716703901689,0.0057826369235824265,16.962717658027145,0.3207321288645275,0.6364765874213643,0.0049876703076907215,0.22766318878560254,1.1854654850690989e-05,0.3556652510716092,0.0043983205338008705,17.60023353973984,-0.12197890035311013,-0.2445739332054343,0.0006161324992140253,-0.039359863752283925,0.0001204016901009823,-0.2855280840325923,0.001384316389781556,-0.6375158817126945
pause1,0.10076818662907992,0.1834107428135579,0.018125630444601963,0.8586026679475044,0.0009645795130992204,0.09597771179519202,0.020156630432527318,11.32550036014733,0.23820716688785243,0.45189873705569067,0.024515596720014222,0.8717146834518473,0.0011512000965052593,0.34782750810447494,0.026452245180936237,10.831466821550121,-0.1374389802587725,-0.26848799424213277,-0.006389966275412259,-0.013112015504342933,-0.00018662058340603895,-0.25184979630928295,-0.00629561474840892,0.49403353859720944
pause2,0.13640987004554417,0.2392004440745546,0.03361929601653376,0.30504948885316113,0.0038900533288271063,0.20148716360951463,0.055190005384307975,11.746373905761594,0.2536962619882413,0.46917609800067217,0.03821642597581053,0.31423878219676415,0.0054155073829946524,0.3454921272893747,0.07063357967611712,11.777692106367121,-0.11728639194269713,-0.22997565392611757,-0.0045971299592767675,-0.009189293343603022,-0.0015254540541675462,-0.14400496367986004,-0.015443574291809148,-0.03131820060552748
pause3,0.12909165949954296,0.2506223832390138,0.007560935760072121,0.05902418701028578,7.468405994868834e-05,0.05562767174893192,0.005886414710299245,7.858160369876631,0.23769037194350467,0.4705777201047611,0.004803023782248298,0.09120290904564025,2.7706421026827516e-06,0.3290132137281554,0.0040090180243298945,10.6859986165565,-0.10859871244396171,-0.2199553368657473,0.002757911977823823,-0.032178722035354476,7.191341784600559e-05,-0.2733855419792235,0.0018773966859693507,-2.8278382466798684
pause4,0.2871979818216362,0.550250444481265,0.024145519162007308,0.1501609789281265,0.007844588907492987,0.10919663210604656,0.03916643434717178,11.969637053886105,0.3097977326888233,0.5964854247068281,0.023110040670818528,0.2104874950533131,0.008061144640763667,0.40459302214242643,0.03939970520806452,13.046948577626132,-0.02259975086718713,-0.04623498022556305,0.00103547849118878,-0.06032651612518661,-0.0002165557332706805,-0.29539639003637985,-0.00023327086089273974,-1.0773115237400273
quasistatic1,0.22249183733638347,0.4245558417654441,0.02042783290732283,0.875221576457303,0.001167397071633199,0.10768750492134131,0.020514236565213652,7.559059846668989,0.2799328970873224,0.5365401150193065,0.023325679155338244,0.8961737081028016,0.0010975488478367564,0.38350003703089897,0.02205959046841599,7.335185053912594,-0.05744105975093891,-0.11198427325386245,-0.002897846248015413,-0.020952131645498584,6.984822379644271e-05,-0.27581253210955764,-0.0015453539032023386,0.2238747927563951
