motion_name,rmse_mean_tcn,acc_channel_rmse_mean_tcn,gyr_channel_rmse_mean_tcn,pearson_mean_tcn,psd_distance_mean_tcn,acc_norm_rmse_tcn,gyr_norm_rmse_tcn,hf_ratio_improvement_mean_tcn,rmse_mean_lowpass,acc_channel_rmse_mean_lowpass,gyr_channel_rmse_mean_lowpass,pearson_mean_lowpass,psd_distance_mean_lowpass,acc_norm_rmse_lowpass,gyr_norm_rmse_lowpass,hf_ratio_improvement_mean_lowpass,rmse_mean_delta_tcn_minus_lowpass,acc_channel_rmse_mean_delta_tcn_minus_lowpass,gyr_channel_rmse_mean_delta_tcn_minus_lowpass,pearson_mean_delta_tcn_minus_lowpass,psd_distance_mean_delta_tcn_minus_lowpass,acc_norm_rmse_delta_tcn_minus_lowpass,gyr_norm_rmse_delta_tcn_minus_lowpass,hf_ratio_improvement_mean_delta_tcn_minus_lowpass
explosiv,0.8143331764981487,1.2303483633503403,0.39831798964595727,0.9213821226046113,0.19134369635735388,1.025698101217464,0.41142309866214205,5.5727042464821395,1.0541642773117723,1.6386341311500572,0.46969442347348744,0.8999863078323787,0.37967034532321414,1.529324642732992,0.5008864145915387,4.986478622102075,-0.23983110081362358,-0.4082857677997169,-0.07137643382753017,0.021395814772232624,-0.18832664896586027,-0.5036265415155281,-0.08946331592939666,0.5862256243800648
gait_fast,0.5293820357341655,0.8423145841372816,0.21644948733104957,0.8972824547355808,0.049207289632700324,0.9031500631805711,0.2854015383571203,5.392621341667432,0.7208203207001233,1.1582448249135306,0.28339581648671575,0.855920618718876,0.10327774999353302,1.2821769699380903,0.3871614508709315,5.098925685031361,-0.19143828496595772,-0.3159302407762491,-0.06694632915566617,0.041361836016704734,-0.0540704603608327,-0.37902690675751916,-0.10175991251381122,0.29369565663607133
gait_slow,0.49043588360578244,0.7797950378066589,0.20107672940490598,0.8648934815048605,0.0548715282942204,0.8784583285404076,0.30866331776791495,4.607011973460285,0.6628654092844123,1.0914792597637486,0.2342515588050759,0.8420259547425716,0.10654902562871563,1.2794184519434875,0.39234123005979815,4.505464603381142,-0.17242952567862985,-0.31168422195708967,-0.033174829400169914,0.02286752676228887,-0.051677497334495226,-0.40096012340307985,-0.0836779122918832,0.1015473700791425
rotation,0.2740986286792704,0.4652093703147545,0.0829878870437863,0.9442129877907951,0.010520384425089234,0.28589857523479767,0.059847026089987446,4.68670429340746,0.34905003091340425,0.5708707020728178,0.1272293597539907,0.9325078575704522,0.018928837478139733,0.4148864683364668,0.08176158298888514,4.517670949657681,-0.07495140223413388,-0.10566133175806325,-0.044241472710204385,0.011705130220342919,-0.0084084530530505,-0.12898789310166914,-0.021914556898897694,0.16903334374977863
shaking,0.8492975237801276,1.3079103691924134,0.3906846783678415,0.9369179903986311,0.24533298416265664,1.294994957377448,0.4928009783983917,4.936936207059831,1.1509665860743425,1.7909842140588648,0.5109489580898202,0.9162240176309782,0.5991254527157511,1.781038197076046,0.7639141517360449,4.199430142109924,-0.301669062294215,-0.48307384486645133,-0.12026427972197873,0.020693972767652946,-0.3537924685530945,-0.4860432396985981,-0.2711131733376532,0.7375060649499066
