segment_id,rmse_acc_x,pearson_acc_x,psd_distance_acc_x,rmse_acc_y,pearson_acc_y,psd_distance_acc_y,rmse_acc_z,pearson_acc_z,psd_distance_acc_z,rmse_gyr_x,pearson_gyr_x,psd_distance_gyr_x,rmse_gyr_y,pearson_gyr_y,psd_distance_gyr_y,rmse_gyr_z,pearson_gyr_z,psd_distance_gyr_z,rmse_mean,pearson_mean,psd_distance_mean,hf_ratio_improvement_acc,hf_ratio_improvement_gyr,hf_ratio_improvement_mean
seg1,0.05006889378362112,0.905708441145175,0.0007790472213973115,0.11490096689634004,0.8078839901356263,0.0036342334404764723,0.10439897634515738,0.8757945440822646,0.003470603708842711,0.07124553908532222,0.9190946770850842,0.0021606688199345995,0.0652055444249545,0.9328060904167454,0.003950024180171515,0.07226438413666673,0.9266871482332703,0.005340153834620463,0.07968071744534366,0.8946624818496943,0.0032224552009071784,1.4383562204156881,1.0325716210757832,1.2354639207457356
seg2,0.04794120723146795,0.8952010103915107,0.000613851767000536,0.12179864834274785,0.8164619614327735,0.0031398183951938546,0.1019211041341168,0.8387786647623308,0.0037232898414293635,0.12767552172957036,0.8678803272221987,0.00425021639956879,0.06944389440856004,0.8979514465070362,0.004354902026383426,0.08034204211983809,0.9098090713710726,0.007870321717074722,0.0915204029943835,0.8710137469478203,0.003992066691108449,6.031513052849952,3.205278800977584,4.618395926913768
seg3,0.06040422256669603,0.8793110510476386,0.0007129682476532388,0.15908493099616466,0.7754097057827732,0.004118343944718144,0.167182039261542,0.8209688443143826,0.005344113029032938,0.12220567440445224,0.818196465131625,0.010916668047631745,0.07995749931878476,0.8717404444735074,0.004443107184117081,0.08039499348831543,0.8598999309363036,0.0061837041009406525,0.11153822667265918,0.8375877402810384,0.005286484092348966,6.549333154379949,8.933878275203016,7.741605714791483
seg4,0.10254068207472122,0.855721714801999,0.002658730957749622,0.1261677872572062,0.7758212442538557,0.003942417066378791,0.16581446895112822,0.7909649423717351,0.0070170697694858985,0.0998953754270197,0.8437239144708175,0.004046743650113208,0.18406345041036629,0.8630487541497835,0.019433507332790242,0.10315336892844287,0.8523950199872038,0.006784973911700409,0.13027252217481408,0.8302792650058991,0.007313907114703029,4.842238305722906,9.73042381756634,7.286331061644623
seg5,0.11480404013547757,0.8605361325206762,0.00226040996952184,0.17105871774041514,0.7562064747903546,0.005428126630076391,0.2408538506202593,0.8032529377040645,0.008044547849420863,0.15890541392330199,0.8171698890980478,0.02819073314019633,0.17045085823441178,0.8661265582900126,0.018967443196944694,0.17233195026171655,0.8319367215261891,0.026696533895229867,0.17140080515259706,0.822538118988224,0.014931299113564996,8.407421403470336,6.800109261012494,7.603765332241415
