motion_name,rmse_acc_x,pearson_acc_x,psd_distance_acc_x,rmse_acc_y,pearson_acc_y,psd_distance_acc_y,rmse_acc_z,pearson_acc_z,psd_distance_acc_z,rmse_gyr_x,pearson_gyr_x,psd_distance_gyr_x,rmse_gyr_y,pearson_gyr_y,psd_distance_gyr_y,rmse_gyr_z,pearson_gyr_z,psd_distance_gyr_z,rmse_mean,pearson_mean,psd_distance_mean,hf_ratio_improvement_acc,hf_ratio_improvement_gyr,hf_ratio_improvement_mean
canonical,0.03543100646083158,0.8781149190324089,0.00018322861040712983,0.06554102782075379,0.7231744548863649,0.0009507067119094678,0.046264255996687674,0.7794979701081935,0.0011392386831527222,0.04173218354778576,0.8050459061497653,0.0007991644293482446,0.02391701315672518,0.8846883588466294,0.00037777193008455934,0.03313401111174079,0.9208581518192941,0.0005578504706902394,0.0410032496824208,0.8318966268071094,0.0006679934725987273,10.366597432597292,4.106992539001663,7.236794985799477
explosiv,0.12761689812828927,0.9548618365263012,0.004611123400763201,0.2833413383465702,0.8790888024891917,0.012568482428313304,0.3038070751953933,0.9114253551170791,0.017539172124125504,0.33544876400886453,0.8903528360284091,0.022599033092638682,0.2654720278488377,0.9610341045477017,0.05059532560831724,0.31553747479693367,0.9269199552810012,0.07337870453166419,0.27187059638748146,0.9206138149982807,0.03021530686430369,4.05616448160721,3.8813407387183245,3.968752610162767
fast,0.08898798630868371,0.9471444664314402,0.002484072045975653,0.17192475493245113,0.9148538221732145,0.007335510388969077,0.17081621774526026,0.9296533744480804,0.00830186339337905,0.17552208557183174,0.9481072083081732,0.011687735967426966,0.12885814048954322,0.9445272143931249,0.008445985947395379,0.1377489161379904,0.9502302574375359,0.017538012760548848,0.14564301686429343,0.9390860571985948,0.009298863417282496,3.614435955432102,10.393060850581838,7.00374840300697
fast_slow,0.10749913786466304,0.9789427259966286,0.0032135711195223847,0.29351760015751305,0.8994294812982278,0.011967529266089863,0.32885093066411525,0.9054458002929614,0.01882441440018458,0.3313763883824532,0.9229468860341803,0.041068103009148704,0.20909416367514774,0.9424846712480869,0.02202719823606178,0.24587520893233328,0.9229017172290512,0.03945970720952363,0.2527022382793709,0.928691880349856,0.022760087206755156,3.6593606533638634,6.747078748053561,5.203219700708712
fast_slow_fast,0.10442805656431509,0.9377306683802586,0.002843746630219712,0.20358233470469714,0.9176741961602447,0.008909938639371938,0.20045078807909575,0.9075556406982151,0.011064136473787537,0.23563847811948063,0.9370377790333608,0.02009896876121996,0.16305890719328697,0.9366513944487539,0.014248739841419035,0.16984550769002887,0.9483047950073894,0.027288785340606227,0.17950067872515074,0.9308257456213704,0.01407571928110407,3.4919789986018293,6.919624886941883,5.205801942771856
freeze1,0.03563467599451542,0.7793922172668746,2.3723168942524354e-05,0.10887394268065691,0.6516580092580992,2.531140553401201e-05,0.15870760418474675,0.24270810816332036,7.549008641944965e-05,0.023378554079681636,0.6593101061799178,3.9348901123048566e-05,0.01612833933904767,0.8651956694000719,2.2812422594142844e-05,0.018800138775259257,0.9291160471740767,3.5228526530772794e-05,0.060253875842317936,0.6878966929070601,3.698575185732504e-05,6.198796202254835,1.6838635856971478,3.941329893975991
freeze2,0.036828231904655694,0.8350122043002927,1.2750430596497608e-05,0.07544624581933021,0.7636818560822042,6.490837167802966e-05,0.38525321874767543,0.5763839014896613,0.00012107601892239473,0.03408135417848825,0.7264461747723174,0.00012127024390338193,0.01861194772645831,0.7863805748963271,2.850294249583385e-05,0.025005527073517442,0.7027631274214376,3.551950967448647e-05,0.09587108757502089,0.7317779731603734,6.400458621177071e-05,12.370908582717245,2.8252445646213546,7.5980765736693
gait_fast,0.1289925739591198,0.898387651313822,0.0019845125388652375,0.13042778294772056,0.8342030204968968,0.0014327355210374429,0.20379588670404675,0.8727532620159331,0.005802716520133687,0.13087530432250627,0.9287691245050652,0.0029410789173433074,0.22297086786510872,0.9603781960822751,0.021050689986904656,0.1373197926811672,0.9268803658014358,0.007007065251089882,0.15906370141327822,0.9035619367025713,0.006703133122562369,2.4839336933946776,5.009471092814674,3.746702393104676
gait_slow,0.11905617069617007,0.8911831767086255,0.0027303310615210746,0.10440386895957234,0.8024899486543907,0.0009149425998862743,0.20371068722023716,0.87110567788844,0.007568255875207117,0.09664230091034569,0.8845342086323039,0.001168184850277277,0.2393152498499543,0.9446878607089765,0.02387353425003556,0.11348025474899431,0.8600960721102915,0.002773320503993159,0.1461014220642123,0.8756828241171714,0.006504761523486744,2.8179866787157226,3.2890270841036156,3.053506881409669
pause,0.056593564560725576,0.12143480870285406,8.204340308079086e-07,0.09190099986181373,0.07034743275687698,2.6522507599901518e-05,0.07199191234651066,0.2069501472317219,3.4157001374794725e-06,0.0029355404044811924,0.21594027810015173,2.4657863283058154e-07,0.0034637164557352663,0.24634715737817656,5.439780438331624e-07,0.007136513520076516,0.1612005975230593,5.3090149835709e-07,0.039003707858223824,0.1703700702821401,5.346683323868288e-06,0.9212131776118145,13.362096801602373,7.141654989607094
