motion_name,rmse_mean_tcn,pearson_mean_tcn,psd_distance_mean_tcn,hf_ratio_improvement_mean_tcn,rmse_mean_lowpass,pearson_mean_lowpass,psd_distance_mean_lowpass,hf_ratio_improvement_mean_lowpass,rmse_mean_delta_tcn_minus_lowpass,pearson_mean_delta_tcn_minus_lowpass,psd_distance_mean_delta_tcn_minus_lowpass,hf_ratio_improvement_mean_delta_tcn_minus_lowpass
canonical,0.0410032496824208,0.8318966268071094,0.0006679934725987273,7.236794985799477,0.06972370555559984,0.8292300881064761,0.002386847127065155,6.964049087289568,-0.028720455873179042,0.0026665387006332697,-0.0017188536544664277,0.2727458985099096
explosiv,0.27187059638748146,0.9206138149982807,0.03021530686430369,3.968752610162767,0.3441647171248066,0.8999863085635537,0.05044151749048262,3.3498389675665017,-0.07229412073732516,0.020627506434726994,-0.02022621062617893,0.6189136425962651
fast,0.14564301686429343,0.9390860571985948,0.009298863417282496,7.00374840300697,0.22214638359110744,0.917288114322381,0.027287967086435532,6.659115239995494,-0.07650336672681401,0.02179794287621384,-0.017989103669153038,0.3446331630114763
fast_slow,0.2527022382793709,0.928691880349856,0.022760087206755156,5.203219700708712,0.3444535727899235,0.8961159381192995,0.0454815165937245,4.848816593536403,-0.09175133451055262,0.03257594223055649,-0.022721429386969343,0.35440310717230883
fast_slow_fast,0.17950067872515074,0.9308257456213704,0.01407571928110407,5.205801942771856,0.28013514611375284,0.9039571893545091,0.04194103437222285,4.509732598807354,-0.1006344673886021,0.026868556266861354,-0.02786531509111878,0.6960693439645018
freeze1,0.060253875842317936,0.6878966929070601,3.698575185732504e-05,3.941329893975991,0.10802971224766225,0.7959626161433164,3.30138175020996e-05,4.057427698738301,-0.047775836405344316,-0.1080659232362563,3.97193435522544e-06,-0.11609780476230958
freeze2,0.09587108757502089,0.7317779731603734,6.400458621177071e-05,7.5980765736693,0.1066480218898505,0.7359014114568392,9.034098784468369e-05,7.127380475614382,-0.010776934314829609,-0.004123438296465776,-2.6336401632912976e-05,0.4706960980549182
gait_fast,0.15906370141327822,0.9035619367025713,0.006703133122562369,3.746702393104676,0.2217164448790454,0.8559206173802915,0.013006840011570134,3.474259484200836,-0.06265274346576719,0.047641319322279885,-0.006303706889007765,0.27244290890384004
gait_slow,0.1461014220642123,0.8756828241171714,0.006504761523486744,3.053506881409669,0.19922488838538188,0.8420259451383929,0.010881932869714818,2.8176662310116054,-0.05312346632116957,0.03365687897877845,-0.004377171346228074,0.23584065039806346
pause,0.039003707858223824,0.1703700702821401,5.346683323868288e-06,7.141654989607094,0.06356197298460063,0.22766303991512135,5.747092624330113e-07,7.468082275213656,-0.024558265126376808,-0.05729296963298125,4.771974061435277e-06,-0.3264272856065622
pause1,0.024995790421145785,0.8632556322703302,5.4972334613554714e-05,6.90214362761328,0.05337573228926774,0.87171468435181,0.00010808599762203573,6.660551926611835,-0.02837994186812195,-0.00845905208147979,-5.3113663008481014e-05,0.241591701001445
pause2,0.03577417394844815,0.30079897301527275,0.00023127756803330692,7.9721818584257305,0.05788595252670348,0.31423857354672863,0.0004199560938114639,7.673107713758511,-0.022111778578255324,-0.013439600531455875,-0.00018867852577815697,0.2990741446672196
pause3,0.02685548443058949,0.05921422603756681,2.3460026418694232e-06,9.25279817285132,0.046729901032051116,0.0912035257215128,1.29009923933139e-07,9.428147841792727,-0.019874416601461626,-0.03198929968394599,2.2169927179362842e-06,-0.1753496689414078
pause4,0.059041366089822064,0.16074173285504956,0.0005313605189405952,15.16639160059294,0.06584643841514595,0.21048770038657055,0.0005773645953648728,15.868962203491987,-0.006805072325323888,-0.049745967531520996,-4.6004076424277594e-05,-0.7025706028990477
quasistatic1,0.048871284637849996,0.8721518174931624,6.67648097687934e-05,6.293821313081862,0.061605949019849504,0.8961737098932433,8.347237233806334e-05,6.070182459127382,-0.012734664381999508,-0.024021892400080902,-1.6707562569269938e-05,0.2236388539544798
quasistatic2,0.06386862941637483,0.9215992867410386,0.0004561518689204412,5.102384921324686,0.0747179525761808,0.9317465157920606,0.0006284797790711303,4.745516918549703,-0.010849323159805968,-0.010147229051021944,-0.00017232791015068914,0.35686800277498243
rotation,0.08252005491716166,0.9419715299381004,0.0011825609414827145,3.229830106836314,0.11228127736217713,0.9325078591109816,0.0024334670472061616,2.9693391066229156,-0.029761222445015473,0.009463670827118853,-0.0012509061057234471,0.26049100021339866
shaking,0.27057293368086804,0.937390175111869,0.026437779500515974,3.216650212222726,0.36683136403607614,0.9162240178618495,0.06733115983992152,2.5451340370963567,-0.09625843035520809,0.02116615725001947,-0.04089338033940555,0.6715161751263694
slow,0.07193281323505708,0.95671036220969,0.001266739436959663,3.7408121602701456,0.09745602999996934,0.9484215725294408,0.002141991951198451,3.5822396962895144,-0.02552321676491226,0.008288789680249153,-0.000875252514238788,0.15857246398063118
slow1,0.05154748006701418,0.9629607043039228,0.0007608369254957952,7.383549856466189,0.08221167926564556,0.9538694756032409,0.0013224204055867258,7.103981519044882,-0.03066419919863138,0.009091228700681908,-0.0005615834800909306,0.27956833742130716
slow2,0.1509902168820436,0.8681393008614935,0.0019398148215906724,7.379533521265002,0.19026240454231566,0.8465085206549056,0.0029285811286909676,7.007524146429411,-0.03927218766027207,0.02163078020658793,-0.0009887663071002951,0.37200937483559127
