motion_condition,sheet_name,acc_rmse,acc_nrmse,acc_mae,gyro_rmse,gyro_nrmse,gyro_mae,acc_peak_error,gyro_peak_error
Standard,Canonical,1.3295742702114588,0.24172583335056722,0.7289110833333333,0.7828055632179679,1.1390238966591508,0.41203508333333333,12.56299,5.53709
Shaking,Shaking,12.809999864934978,0.5126715054266731,9.379469666666667,10.480226465278374,1.4805925725133326,8.139685791666667,64.04096999999999,34.57608
Freeze,Freeze,0.2517964234480903,0.5121873506399187,0.19477862499999993,0.2171006438267745,1.1946986783335598,0.1634315,0.5738299999999992,0.57443
Cycle,FastSlowFast,4.29828632270898,0.2202684925173136,2.4772534583333328,2.335032724853569,0.29296967020403064,1.227573625,23.395049999999998,13.689549999999999
Dangle,Dangle,2.399365942681611,0.20332231227388065,1.4674432916666664,1.0122873657191338,0.16122845507018835,0.6051309583333333,16.33897,5.39963
Slow,Slow,0.925989842057766,0.13311815329712068,0.5554294166666666,0.5593234391685488,0.265187771040864,0.3647154166666666,8.53697,3.63121
