motion_name,rmse_mean_tcn,acc_channel_rmse_mean_tcn,gyr_channel_rmse_mean_tcn,pearson_mean_tcn,psd_distance_mean_tcn,acc_norm_rmse_tcn,gyr_norm_rmse_tcn,hf_ratio_improvement_mean_tcn,rmse_mean_lowpass,acc_channel_rmse_mean_lowpass,gyr_channel_rmse_mean_lowpass,pearson_mean_lowpass,psd_distance_mean_lowpass,acc_norm_rmse_lowpass,gyr_norm_rmse_lowpass,hf_ratio_improvement_mean_lowpass,rmse_mean_delta_tcn_minus_lowpass,acc_channel_rmse_mean_delta_tcn_minus_lowpass,gyr_channel_rmse_mean_delta_tcn_minus_lowpass,pearson_mean_delta_tcn_minus_lowpass,psd_distance_mean_delta_tcn_minus_lowpass,acc_norm_rmse_delta_tcn_minus_lowpass,gyr_norm_rmse_delta_tcn_minus_lowpass,hf_ratio_improvement_mean_delta_tcn_minus_lowpass
canonical,0.1508243839772838,0.2576114892903151,0.04403727866425249,0.8318358322393351,0.010579069045335258,0.1819477997296913,0.059078828242491,11.522871685688557,0.2808704482828475,0.5074890975290063,0.05425179903668874,0.8292300785208654,0.033499189683989634,0.37406241257717326,0.06782255754329856,11.204192781955937,-0.13004606430556373,-0.2498776082386912,-0.010214520372436246,0.0026057537184697166,-0.022920120638654375,-0.19211461284748196,-0.008743729300807565,0.31867890373261964
explosiv,0.8192055450699761,1.2391521467495772,0.3992589433903748,0.9206048390629271,0.18973737379961203,1.0327231940071462,0.40783624198224583,5.63939697143303,1.066372262107703,1.6561264963810054,0.4766180278344006,0.8999863091732775,0.3836483330619079,1.5348194763822072,0.5176535496393503,4.904916778726648,-0.24716671703772686,-0.4169743496314282,-0.07735908444402578,0.02061852988964963,-0.19391095926229585,-0.502096282375061,-0.10981730765710446,0.734480192706382
fast,0.47624522819085263,0.7535275439433275,0.19896291243837766,0.9375082470031162,0.09136698609390019,0.7962979579308572,0.24040512314509566,9.324257606764196,0.7200418258718668,1.1578254203001657,0.28225823144356793,0.9172881161684149,0.2624738207481212,1.2994427921680303,0.31221870608950175,8.76313222002817,-0.2437965976810142,-0.4042978763568381,-0.08329531900519027,0.02022013083470131,-0.171106834654221,-0.503144834237173,-0.0718135829444061,0.5611253867360251
fast_slow,0.8022780069675391,1.2536489312274335,0.35090708270764503,0.9283171963902975,0.1805879135057787,0.8642518283369449,0.4417482471953218,9.142467728255722,1.1228092326639363,1.802759938648878,0.4428585266789947,0.8961159379235173,0.38771134409759656,1.5215736861412341,0.5353643550752447,8.542599735500746,-0.32053122569639714,-0.5491110074214445,-0.09195144397134969,0.032201258466780236,-0.20712343059181784,-0.6573218578042892,-0.09361610787992292,0.5998679927549766
fast_slow_fast,0.5735079305284354,0.8923121385039791,0.2547037225528916,0.9295265270393066,0.11774316946058504,0.8963027442982864,0.3107233442366123,8.678990172729709,0.8975923341595002,1.4245578199536317,0.3706268483653687,0.9039571878318508,0.33198666205394867,1.5564628395296278,0.42232906512134444,7.581808226195038,-0.32408440363106483,-0.5322456814496527,-0.1159231258124771,0.025569339207455855,-0.21424349259336362,-0.6601600952313414,-0.11160572088473214,1.0971819465346702
freeze1,0.273563528029869,0.5204211005320152,0.026705955527722834,0.6960589109146482,0.0006240943330112714,0.16639133989810945,0.029878196492791175,11.30156369431877,0.5226471030463775,1.0208233249684175,0.024470881124337516,0.7959625946500349,0.0003162894551072289,1.2951742231845855,0.03074608501046896,11.018981083323597,-0.24908357501650852,-0.5004022244364024,0.0022350744033853183,-0.09990368373538672,0.0003078048779040425,-1.1287828832864761,-0.0008678885176777833,0.28258261099517235
freeze2,0.4441804715121786,0.8529907936851183,0.03537014933923881,0.7378895722524549,0.0008970163350492536,0.1401059228926897,0.050697018019855024,10.411261902344775,0.4671001078638558,0.8988612186163664,0.03533899711134533,0.7359014253190378,0.0010519852304469168,0.6703424528241158,0.05039470549672842,9.923911049099258,-0.02291963635167721,-0.045870424931248044,3.1152227893474493e-05,0.00198814693341709,-0.00015496889539766325,-0.530236529931426,0.00030231252312660356,0.4873508532455162
gait_fast,0.5028640996075995,0.8044842752647908,0.2012439239504082,0.9050892670550816,0.048757781049108814,0.858624080318976,0.26300190246085925,5.472372458164973,0.7154857503205893,1.1486234982196726,0.28234800242150604,0.8559206088674597,0.1024300846150489,1.2657333551662897,0.3826645892212085,5.065575960650223,-0.21262165071298977,-0.34413922295488175,-0.08110407847109785,0.04916865818762195,-0.05367230356594009,-0.40710927484731374,-0.11966268676034925,0.40679649751474933
gait_slow,0.4675839887015264,0.7531106740946977,0.18205730330835507,0.8754580701731772,0.05564132096183426,0.8435024998707217,0.2797844687711049,4.748680588068536,0.6593338955830503,1.0838618795920467,0.2348059115740539,0.8420259402656295,0.10645326378226969,1.264386795451806,0.39268353775468706,4.488949472478577,-0.19174990688152393,-0.33075120549734904,-0.052748608265698826,0.033432129907547736,-0.05081194282043543,-0.4208842955810843,-0.11289906898358215,0.2597311155899593
pause,0.19277836715669505,0.37945228759790695,0.006104446715483117,0.17022443316500538,0.00015857791770738713,0.07229739001819066,0.006322734122208896,14.72028602902418,0.3207321288645275,0.6364765874213643,0.0049876703076907215,0.22766318878560254,1.1854654850690989e-05,0.3556652510716092,0.0043983205338008705,17.60023353973984,-0.12795376170783246,-0.2570242998234573,0.0011167764077923952,-0.057438755620597165,0.00014672326285669615,-0.2833678610534185,0.0019244135884080252,-2.8799475107156596
