motion_name,rmse_mean_tcn_causal,acc_channel_rmse_mean_tcn_causal,gyr_channel_rmse_mean_tcn_causal,pearson_mean_tcn_causal,psd_distance_mean_tcn_causal,acc_norm_rmse_tcn_causal,gyr_norm_rmse_tcn_causal,hf_ratio_improvement_mean_tcn_causal,rmse_mean_lowpass,acc_channel_rmse_mean_lowpass,gyr_channel_rmse_mean_lowpass,pearson_mean_lowpass,psd_distance_mean_lowpass,acc_norm_rmse_lowpass,gyr_norm_rmse_lowpass,hf_ratio_improvement_mean_lowpass,rmse_mean_delta_tcn_causal_minus_lowpass,acc_channel_rmse_mean_delta_tcn_causal_minus_lowpass,gyr_channel_rmse_mean_delta_tcn_causal_minus_lowpass,pearson_mean_delta_tcn_causal_minus_lowpass,psd_distance_mean_delta_tcn_causal_minus_lowpass,acc_norm_rmse_delta_tcn_causal_minus_lowpass,gyr_norm_rmse_delta_tcn_causal_minus_lowpass,hf_ratio_improvement_mean_delta_tcn_causal_minus_lowpass
explosiv,0.8034417986427829,1.2157572836609882,0.39112631362457734,0.9224403905246712,0.18879530410666756,1.015170312483432,0.39889828552634027,5.627996997497433,1.0541642773117723,1.6386341311500572,0.46969442347348744,0.8999863078323787,0.37967034532321414,1.529324642732992,0.5008864145915387,4.986478622102075,-0.25072247866898945,-0.42287684748906895,-0.0785681098489101,0.022454082692292543,-0.19087504121654658,-0.5141543302495601,-0.10198812906519844,0.6415183753953579
gait_fast,0.5113127818386941,0.8145409538944317,0.20808460978295637,0.9016900867673936,0.04914636271551179,0.8798797484946075,0.27894681774841373,5.440420722149346,0.7208203207001233,1.1582448249135306,0.28339581648671575,0.855920618718876,0.10327774999353302,1.2821769699380903,0.3871614508709315,5.098925685031361,-0.20950753886142914,-0.34370387101909894,-0.07531120670375938,0.04576946804851756,-0.054131387278021234,-0.4022972214434828,-0.10821463312251778,0.34149503711798523
gait_slow,0.46927014733013056,0.7471848926411266,0.19135540201913454,0.8718598568118974,0.054780699655004164,0.8508404824027569,0.3024937173026561,4.702588319131811,0.6628654092844123,1.0914792597637486,0.2342515588050759,0.8420259547425716,0.10654902562871563,1.2794184519434875,0.39234123005979815,4.505464603381142,-0.19359526195428173,-0.34429436712262196,-0.04289615678594136,0.02983390206932579,-0.05176832597371146,-0.4285779695407306,-0.08984751275714203,0.1971237157506689
rotation,0.27597502899326143,0.4705150759909102,0.0814349819956127,0.9460071720971575,0.010800608988435953,0.2760994544433009,0.05606781517065341,4.721563566185491,0.34905003091340425,0.5708707020728178,0.1272293597539907,0.9325078575704522,0.018928837478139733,0.4148864683364668,0.08176158298888514,4.517670949657681,-0.07307500192014282,-0.10035562608190757,-0.04579437775837798,0.013499314526705275,-0.00812822848970378,-0.1387870138931659,-0.02569376781823173,0.20389261652780988
shaking,0.8370050028359145,1.2939463105571472,0.3800636951146819,0.9389068942942655,0.24080960143671468,1.3254367716512399,0.4847410029737818,4.965135687403886,1.1509665860743425,1.7909842140588648,0.5109489580898202,0.9162240176309782,0.5991254527157511,1.781038197076046,0.7639141517360449,4.199430142109924,-0.31396158323842804,-0.4970379035017176,-0.1308852629751383,0.022682876663287388,-0.3583158512790364,-0.4556014254248062,-0.2791731487622631,0.7657055452939616
