model_name,model_role,num_windows,rmse_mean,acc_norm_rmse,gyr_norm_rmse,pearson_mean,hf_ratio_improvement_mean,psd_distance_mean
tcn,trained,8633,0.11546993903940339,0.11815200699021317,0.12168318429069584,0.8509977600932553,5.754332031067911,0.006554975423319917
gru,trained_comparison,8633,0.12242891374190523,0.12158437486705387,0.1321088459244305,0.8398497442357566,5.601504211981967,0.007361672669869928
transformer,trained_comparison,8633,0.100209667729305,0.09851502787586003,0.1007972365451758,0.8814719021356423,5.707999890592005,0.006267903974631611
identity,baseline,8633,0.2555297214083152,0.25237926266691324,0.3454668104249059,0.7254491385123033,0.0,0.024807907708955634
lowpass,baseline,8633,0.16210835333507104,0.17281194249823728,0.16090011460848777,0.8397894287403923,5.461497381691607,0.014876206546927548
