time_s,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
2.125,-1.249704,-11.112569,8.891014,-1.718333,0.388431,0.269537
2.15,-3.761839,-6.370566,4.787631,-0.503427,0.597704,-0.103746
2.175,-9.353132,-4.209448,5.443158,-0.354933,0.423082,-0.199237
2.2,-2.951415,-2.645473,4.001523,-0.669764,-1.182258,-1.051572
2.225,-2.288963,-3.63752,7.73569,-0.189268,0.219378,-0.894058
2.25,-5.590719,-0.893775,9.105073,-0.400111,-0.313088,-0.942228
2.275,-1.30512,-5.158951,6.872207,-0.15267,-0.620086,-0.527989
2.3,-6.295973,-3.656332,8.525065,0.262601,-0.351506,0.160281
2.325,-2.682335,-7.528441,7.010676,0.191545,-1.75465,0.402314
2.35,2.550122,-4.105711,5.94058,2.372401,-1.358894,0.089355
2.375,2.702326,3.186561,7.456014,1.151348,-0.464722,-0.499042
2.4,-1.857013,-2.954233,5.653787,-1.800012,0.395233,-0.362724
2.425,-3.55149,-6.338468,8.590802,-0.106526,-0.443714,0.306654
2.45,-4.20941,-5.068077,9.786306,0.466681,-0.04947,0.226843
2.475,-1.591175,-2.921725,8.585445,-0.311147,-1.063768,0.799255
2.5,-1.660332,-4.450634,6.937734,-0.35275,0.130983,0.141549
2.525,-2.490795,-3.601428,6.331045,-0.812043,0.128364,0.138271
2.55,-4.395389,-5.958502,6.981974,-1.460799,0.448547,-0.243386
2.575,-4.293799,-9.050693,6.283603,0.194449,-0.554511,-0.30236
2.6,-3.827399,-3.44483,8.898089,2.15773,-0.724922,0.377209
2.625,-1.874632,-1.812365,8.604118,0.713266,-1.185003,0.728627
2.65,-3.09044,-6.278481,8.01255,0.246235,-1.011857,0.502618
2.675,0.580967,-5.136699,7.853936,1.209824,-1.263801,-0.038881
2.7,1.041535,0.048955,8.295477,0.634683,0.098173,0.269208
2.725,-1.592319,-1.920972,8.99183,-2.108065,0.388852,0.090784
2.75,-2.634865,-7.126004,6.970101,-1.200609,0.441973,0.402754
2.775,-1.531948,-4.805176,8.274399,-0.000481,0.051871,0.419903
2.8,-1.916626,-5.909605,8.086831,0.341119,0.256764,0.53567
2.825,-1.143928,-4.41671,8.269608,1.79196,0.131101,0.687038
2.85,-3.310506,-0.490031,8.900496,-0.089271,0.640704,0.111648
2.875,-3.450503,-4.436373,7.888427,-1.635367,0.232548,-0.112653
2.9,-3.954283,-6.361918,6.728505,0.073848,0.282524,-0.089548
2.925,-4.102716,-3.907449,9.16992,0.59651,-0.089465,0.179137
2.95,-3.606623,-4.059316,8.391031,0.369879,-0.110875,-0.131892
2.975,-3.16451,-2.737922,8.319353,0.498424,0.041992,-0.107085
3.0,-3.44448,-2.84829,8.318891,-0.564183,-0.168955,-0.141295
3.025,-2.113024,-5.44272,8.07552,-0.201203,-0.065217,-0.173941
3.05,-2.442417,-4.427378,8.264723,1.205266,-0.047989,-0.024339
3.075,-2.024007,-0.896812,9.731259,0.411827,-0.110269,0.006109
3.1,-2.152819,-2.779677,8.390589,-0.988435,0.190638,-0.058921
3.125,-2.615374,-6.932951,6.710981,-0.523541,-0.224045,0.051698
3.15,-1.401017,-4.172512,8.428075,0.911753,0.047708,0.177016
3.175,-2.358549,-1.961789,9.649677,-0.080682,0.233914,-0.051413
3.2,-3.24297,-4.246724,8.737833,-0.783501,0.196555,0.040912
3.225,-2.512919,-5.105969,7.449712,-0.077396,-0.000182,0.106044
3.25,-2.3407,-3.854029,8.539413,-0.057675,0.139447,0.156598
3.275,-1.442869,-4.569047,7.59996,-0.433753,0.369474,-0.126604
3.3,-4.699827,-5.865239,7.224714,-0.750893,0.581738,-0.600169
3.325,-3.486622,-6.21909,7.631623,0.058265,0.019724,-0.388433
3.35,-4.550445,-6.062714,8.341181,0.184405,0.202771,-0.587867
3.375,-3.756307,-5.236536,8.970602,0.716593,-0.494434,-0.105008
