variant_name,description,outputs_root,Seeds,seed_list,time_l1,mse,attach_latent_dim,spectral,acc_channel_rmse_improvement,acc_channel_rmse_improvement_std,acc_channel_rmse_mean,acc_channel_rmse_std,acc_norm_rmse,acc_norm_rmse_std,gyr_channel_rmse_improvement,gyr_channel_rmse_improvement_std,gyr_channel_rmse_mean,gyr_channel_rmse_std,gyr_norm_rmse,gyr_norm_rmse_std,HF Improve. Mean,HF Improve. Std,input_acc_channel_rmse_mean,input_acc_channel_rmse_std,input_acc_norm_rmse,input_acc_norm_rmse_std,input_gyr_channel_rmse_mean,input_gyr_channel_rmse_std,input_gyr_norm_rmse,input_gyr_norm_rmse_std,input_rmse_mean,input_rmse_std,num_windows,num_windows_std,pearson_mean,pearson_std,PSD Dist. Mean,PSD Dist. Std,RMSE Mean,RMSE Std,Variant,Variant label,Latent,L1,MSE,Spectral,Delta RMSE %,Delta PSD %,Delta HF %,HF loss %,RMSE,PSD Dist.,HF Improve.
full_model,Attachment latent code + L1/MSE/spectral composite loss.,outputs/supervised_tcn_causal_ablations/full_model,5,"42,43,44,45,46",1.0,1.0,8,0.2,0.850734622634762,0.0032101238408193,0.6393122529981017,0.0032101238408193,0.5190141499005401,0.002115806521355,0.2529614004975661,0.001278998678351,0.1408182205368024,0.001278998678351,0.1762104523233357,0.0022267994668575,8.279837222191064,0.061149146357453,1.490046875632864,0.0,1.2493681899278055,0.0,0.3937796210343687,0.0,0.6131447047228668,0.0,0.941913248333616,0.0,8633.0,0.0,0.8492120581390807,0.0006055144417777,0.0539155809146344,0.0016498803555838,0.3900652367674521,0.0021292954114655,Full model,Full model,Y,Y,Y,Y,0.0,0.0,0.0,-0.0,0.3901 +/- 0.0021,0.05392 +/- 0.00165,8.280 +/- 0.061
no_l1_loss,Remove L1 reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_l1_loss,5,"42,43,44,45,46",0.0,1.0,8,0.2,0.8428382547489834,0.0067466693436781,0.6472086208838803,0.0067466693436782,0.5304561418344057,0.0011870293995894,0.2504146263204562,0.0013689333835183,0.1433649947139124,0.0013689333835183,0.1793260440711511,0.0017246507538676,8.288305898479097,0.0385423884738066,1.490046875632864,0.0,1.2493681899278055,0.0,0.3937796210343687,0.0,0.6131447047228668,0.0,0.941913248333616,0.0,8633.0,0.0,0.8494474321257547,0.0008666552334983,0.0544424964603429,0.0012011582670045,0.3952868077988963,0.0040470496062391,w/o L1 loss,w/o L1,Y,N,Y,Y,1.3386404476124072,0.9772973540668657,0.10228070988322338,-0.10228070988322338,0.3953 +/- 0.0040,0.05444 +/- 0.00120,8.288 +/- 0.039
no_mse_loss,Remove MSE reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_mse_loss,5,"42,43,44,45,46",1.0,0.0,8,0.2,0.8518467505826057,0.0046621787893486,0.6382001250502581,0.0046621787893486,0.5234787512423472,0.0047814002347109,0.2517006734102809,0.0014341359214432,0.1420789476240877,0.0014341359214432,0.181812723771624,0.0017888499828854,8.279806100424253,0.0361420225469598,1.490046875632864,0.0,1.2493681899278055,0.0,0.3937796210343687,0.0,0.6131447047228668,0.0,0.941913248333616,0.0,8633.0,0.0,0.8501678862306647,0.0007385459740155,0.0538998776397442,0.0016494980878871,0.3901395363371729,0.0030239371766828,w/o MSE loss,w/o MSE,Y,Y,N,Y,0.019047985495083138,-0.029125671325072135,-0.000375874138301011,0.000375874138301011,0.3901 +/- 0.0030,0.05390 +/- 0.00165,8.280 +/- 0.036
no_spectral_loss,Remove spectral consistency loss only.,outputs/supervised_tcn_causal_ablations/no_spectral_loss,5,"42,43,44,45,46",1.0,1.0,8,0.0,0.8483576911188628,0.0122523872533595,0.6416891845140009,0.0122523872533596,0.5192647935690131,0.0058615843847975,0.2515258581122988,0.0021566482791451,0.1422537629220698,0.0021566482791451,0.1760225075886483,0.0022902417596633,8.198536919042962,0.0932261506990768,1.490046875632864,0.0,1.2493681899278055,0.0,0.3937796210343687,0.0,0.6131447047228668,0.0,0.941913248333616,0.0,8633.0,0.0,0.8448636695516069,0.0007581399581558,0.0568562080056247,0.0011301135864407,0.3919714737180353,0.0071703567619788,w/o spectral loss,w/o spectral,Y,Y,Y,N,0.4886969590985836,5.454132258439824,-0.9819070226429953,0.9819070226429953,0.3920 +/- 0.0072,0.05686 +/- 0.00113,8.199 +/- 0.093
mse_only,Use only MSE reconstruction loss as a reconstruction-only reference.,outputs/supervised_tcn_causal_ablations/mse_only,5,"42,43,44,45,46",0.0,1.0,8,0.0,0.822522643723944,0.0045812352486164,0.6675242319089196,0.0045812352486164,0.538976052551741,0.006383877275576,0.2423244806947663,0.0021974681948224,0.1514551403396023,0.0021974681948224,0.185772985038799,0.0024371445267165,8.075249319787925,0.0433700172824007,1.490046875632864,0.0,1.2493681899278055,0.0,0.3937796210343687,0.0,0.6131447047228668,0.0,0.941913248333616,0.0,8633.0,0.0,0.8380796930358665,0.0008454674028648,0.0656172013095819,0.0013281350467923,0.409489686124261,0.0032875241172108,MSE only,MSE only,Y,N,Y,N,4.979795051151747,21.703596987065588,-2.470916962652553,2.470916962652553,0.4095 +/- 0.0033,0.06562 +/- 0.00133,8.075 +/- 0.043
no_attachment_latent,Disable attachment latent code while retaining the final composite loss.,outputs/supervised_tcn_causal_ablations/no_attachment_latent,5,"42,43,44,45,46",1.0,1.0,0,0.2,0.8462060744190116,0.0021530547498137,0.6438408012138522,0.0021530547498137,0.5267463778124575,0.0029739191216134,0.2511908806272792,0.0004404837561043,0.1425887404070894,0.0004404837561043,0.1788349212638362,0.0006662928070319,8.253696224048891,0.0243207456997858,1.490046875632864,0.0,1.2493681899278055,0.0,0.3937796210343687,0.0,0.6131447047228668,0.0,0.941913248333616,0.0,8633.0,0.0,0.8483075143462246,0.0005298079377971,0.0561462791004847,0.0004271282908506,0.3932147708104708,0.001128086587436,w/o attachment latent,w/o attach. latent,N,Y,Y,Y,0.8074377683895959,4.137390616976204,-0.31571874471290134,0.31571874471290134,0.3932 +/- 0.0011,0.05615 +/- 0.00043,8.254 +/- 0.024
