motion_name,rmse_acc_x,pearson_acc_x,input_rmse_acc_x,psd_distance_acc_x,rmse_acc_y,pearson_acc_y,input_rmse_acc_y,psd_distance_acc_y,rmse_acc_z,pearson_acc_z,input_rmse_acc_z,psd_distance_acc_z,rmse_gyr_x,pearson_gyr_x,input_rmse_gyr_x,psd_distance_gyr_x,rmse_gyr_y,pearson_gyr_y,input_rmse_gyr_y,psd_distance_gyr_y,rmse_gyr_z,pearson_gyr_z,input_rmse_gyr_z,psd_distance_gyr_z,rmse_mean,input_rmse_mean,pearson_mean,psd_distance_mean,acc_norm_rmse,gyr_norm_rmse,input_acc_norm_rmse,input_gyr_norm_rmse,acc_channel_rmse_mean,gyr_channel_rmse_mean,input_acc_channel_rmse_mean,input_gyr_channel_rmse_mean,acc_channel_rmse_improvement,gyr_channel_rmse_improvement,hf_ratio_improvement_acc,hf_ratio_improvement_gyr,hf_ratio_improvement_mean
canonical,0.17475803808245638,0.8765152289029238,0.37649555481462316,0.0055259679685377705,0.3535560118373145,0.7198488421257768,1.5092786920002916,0.027025180440705298,0.2157423387154598,0.7812698791832565,0.7903403583363715,0.026180684989817977,0.07127439319261943,0.8069189519379875,0.3141046079404822,0.002463710273514411,0.02865240043902304,0.8739969472039608,0.08613678858223879,0.0005084346851228878,0.03061546162247065,0.9220469261503442,0.07372593501138247,0.0005808506063800678,0.14576644064822397,0.5250136561142316,0.8300994625840415,0.010380804827346402,0.1792412472973493,0.05863972061885182,0.5313302954743532,0.27565003376750447,0.24801879621174355,0.04351408508470437,0.8920382017170954,0.1579891105113678,0.6440194055053517,0.11447502542666342,15.104839257989816,7.855542894237661,11.48019107611374
explosiv,0.7268748455128428,0.9554332028508608,1.8206801997402966,0.1540715893694018,1.4864724457263947,0.8828982047025123,3.7418305142451143,0.3717027944661637,1.422638281270609,0.9133726399024417,2.806798934532424,0.3858651886703999,0.5737788939185566,0.8918173369671624,1.6496268583051228,0.06725598429818046,0.3023181000566584,0.9616978939528338,0.6003074212978452,0.06606517216875499,0.2889754773007106,0.9288281946009471,0.5049288818770546,0.06352218978576028,0.800176340630962,1.8540288016663096,0.9223412454961264,0.18474715312644352,1.0034810462240444,0.39746446245807715,2.710093823428881,1.3031845888849032,1.2119951908366156,0.38835749042530854,2.7897698828392783,0.9182877204933408,1.5777746920026627,0.5299302300680323,4.506434715563612,6.767427299566668,5.63693100756514
fast,0.4966772062757697,0.9460453825074626,1.2787674572318792,0.07692100728395504,0.8999683362073623,0.9185058577693324,2.9554960190103605,0.20311108320548346,0.7885831407325056,0.931264206964289,1.8356458974429049,0.18009778946903032,0.2928620625103716,0.9496064256577487,1.1992895524133929,0.034875426909500566,0.14661443482663555,0.9443949949470907,0.4468234389997983,0.01000624080719695,0.12845430229118882,0.9504074025969508,0.3040327786544087,0.01564975808119546,0.4588599138073056,1.336675857292124,0.9400373784071456,0.08677688429272698,0.777817709538011,0.2296340945179019,2.062595104153913,0.9339305877027353,0.7284095610718793,0.189310266542732,2.0233031245617146,0.6500485900225332,1.2948935634898355,0.46073832347980126,4.893296290170444,13.75517067151413,9.324233480842286
fast_slow,0.6093360789120197,0.9800007636679354,1.5131956027104305,0.09986903933996263,1.5540773211190333,0.9024040062624498,3.5964906859856387,0.3352346909993615,1.507089816291745,0.9079698141301731,3.005042956998715,0.4129629111983097,0.5614426413407693,0.9240209299091108,1.4952455774522744,0.11937109520199905,0.23749245475404537,0.9439037695329315,0.5919714620480171,0.027851769250012762,0.2273433084384753,0.9229327999084364,0.3822239929810166,0.03422922127056854,0.782796936809348,1.7640283796960154,0.9302053472351729,0.17158645454336902,0.8610789506194684,0.4329472904953246,2.211015587586623,1.1955645092977927,1.2235010721075994,0.34209280151109667,2.704909748564928,0.8231470108271027,1.4814086764573287,0.48105420931600607,6.007711761471283,12.323326405566592,9.165519083518937
fast_slow_fast,0.589649207830163,0.9373408112504864,1.4924010926281057,0.09148258756732053,1.0696489296498752,0.9171191871608083,3.1799936983556973,0.2533983828413165,0.9310404257871033,0.9098314192656455,2.305155920463481,0.24051404724366962,0.3931058018418428,0.9364393342543097,1.4098017149421918,0.05871535507338839,0.18342939988083562,0.9394151511062089,0.5415105074192287,0.018079832197113878,0.15735284638580024,0.9476773966716397,0.3383519060815507,0.023499940553979096,0.5540377685626034,1.5445358066483759,0.9313038832848498,0.114281690912798,0.8801081908245881,0.30082126801051867,2.3003885049905097,1.0778718838118948,0.8634461877557139,0.2446293493694929,2.3258502371490946,0.7632213761476572,1.4624040493933808,0.5185920267781642,5.015691458096779,12.313361539551906,8.664526498824342
freeze1,0.19661416485905647,0.7874083785141841,0.2684943176805973,0.001039725793816615,0.48956760242581365,0.6409110441923097,0.8369518339633941,0.0011739044653950258,0.7527291744947433,0.2753208967739105,1.9251985371112823,0.0009894117334624752,0.04348487835377455,0.6510645791829102,0.13789855539798737,0.00016381039458792656,0.022425319906324147,0.8297324590162678,0.04536340460181236,3.1271759689843746e-05,0.015941030252724885,0.9381523062293242,0.021985374856740236,2.8677491172857117e-05,0.2534603617154062,0.5393153372686357,0.6870982773181511,0.000571133606354124,0.14749779999256135,0.03305654795840383,0.2603509649634361,0.11695957705378532,0.4796369805932045,0.02728374283760786,1.010214896251758,0.06841577828551332,0.5305779156585534,0.04113203544790546,16.09029531625137,5.205103052518261,10.647699184384816
freeze2,0.19034231826663017,0.8504363835711303,0.28641321286559107,0.0004256839252775535,0.4783694576472044,0.760838502372346,1.0235823288559913,0.0021232160725048743,1.8176164790987968,0.5504052541385648,3.2385826110839844,0.0027041728346375747,0.059746112674474716,0.7249445731317905,0.23639160990715027,0.0004348221214058867,0.023805270669981837,0.7932328853719898,0.06401545032858849,4.454361942407559e-05,0.022374871512874962,0.7183496510837284,0.036260852497071026,3.1737993185743105e-05,0.43204241831166046,0.8142076775897295,0.7330345416115917,0.0009606960944059514,0.13138497322797776,0.05088252536952496,0.4354805901646614,0.21858671307563782,0.8287760850042105,0.035308751619110505,1.5161927176018557,0.11222263757760327,0.6874166325976452,0.07691388595849276,15.991568115926523,4.780361961507085,10.385965038716805
gait_fast,0.7515257075208749,0.8961922332288055,1.9291398633684358,0.06458302680866343,0.721265773952301,0.8270729764431352,1.877754296002717,0.043167120731092204,0.951993598715572,0.8722332883659457,1.7052355303626343,0.13283916002099055,0.23471948231565834,0.9245309343099869,0.8128834034063913,0.008840086154747398,0.2689717354941104,0.9587855429171955,0.7492705646668345,0.02796577841178481,0.132074882443352,0.9242760223722363,0.23595001589979409,0.006384715214414938,0.5100918634069781,1.2183722789511344,0.9005151662728842,0.04729664789028223,0.8735491495964856,0.27639588904039464,1.9204552357805333,0.9343405339187882,0.8082616933962492,0.2119220334177069,1.8373765632445955,0.5993679946576732,1.0291148698483463,0.3874459612399664,3.138551005655399,7.687370713376465,5.412960859515931
gait_slow,0.6869721134011663,0.8893091148342402,2.0330725265608267,0.08406229146953277,0.589818757941138,0.7835700824793164,1.3191369204213783,0.02807458543726891,0.9567650100766862,0.8714043991904622,1.5771954188181918,0.18041077111548767,0.17158586342684315,0.8823182003757688,0.5422796214828209,0.0036273155294475647,0.28949544562858603,0.9425125792005634,0.8497458433274051,0.0320396802616054,0.10753121324726996,0.8569671439450915,0.16917522216139583,0.002376952324914761,0.46702806728694835,1.0817675921286698,0.871013586670907,0.05509859935637618,0.8430529522668547,0.29332951757465286,1.9155423299673031,0.9442820598482617,0.7445186271396635,0.18953750743423306,1.6431349552667989,0.5204002289905406,0.8986163281271355,0.3308627215563076,3.912700204771955,5.416732518802757,4.664716361787356
pause,0.3257376153288143,0.1254263382474509,0.33932453221863224,5.0051885481090204e-05,0.5035831148425738,0.05948151308931901,1.1223072873694555,0.0006486664807328322,0.3367590165209203,0.18194567209928145,1.10792856986324,7.671262776403594e-05,0.005102964439651086,0.21591002237428958,0.008238047243849862,1.2259156248108281e-06,0.004013683454000524,0.26416368043446947,0.006130554891812304,1.1863532858821406e-06,0.006980842731094786,0.13791374135547946,0.008037459313692081,8.857028352811843e-07,0.19702953955284247,0.431994408483447,0.16414016126671496,0.00012978816095398876,0.0715713131729336,0.005387250582377116,0.0556825379353194,0.00823918359265441,0.3886932488974361,0.0053658302082487995,0.8565201298171093,0.00746868714978475,0.4678268809196731,0.0021028569415359505,1.7112957319744082,28.266564035001032,14.98892988348772
