kc_type,experiment_id,motion_folder,motion_index,motion_name,segment,modality,rigid_path,nonrigid_path,aligned_sampling_frequency,aligned_n_samples,used_local_resampling,rmse_x,pearson_r_x,mean_diff_x,std_ratio_x,rigid_total_power_x,nonrigid_total_power_x,rigid_low_power_x,rigid_mid_power_x,rigid_high_power_x,nonrigid_low_power_x,nonrigid_mid_power_x,nonrigid_high_power_x,high_band_energy_ratio_x,rmse_y,pearson_r_y,mean_diff_y,std_ratio_y,rigid_total_power_y,nonrigid_total_power_y,rigid_low_power_y,rigid_mid_power_y,rigid_high_power_y,nonrigid_low_power_y,nonrigid_mid_power_y,nonrigid_high_power_y,high_band_energy_ratio_y,rmse_z,pearson_r_z,mean_diff_z,std_ratio_z,rigid_total_power_z,nonrigid_total_power_z,rigid_low_power_z,rigid_mid_power_z,rigid_high_power_z,nonrigid_low_power_z,nonrigid_mid_power_z,nonrigid_high_power_z,high_band_energy_ratio_z,rmse_norm,pearson_r_norm,mean_diff_norm,std_ratio_norm,rigid_total_power_norm,nonrigid_total_power_norm,rigid_low_power_norm,rigid_mid_power_norm,rigid_high_power_norm,nonrigid_low_power_norm,nonrigid_mid_power_norm,nonrigid_high_power_norm,high_band_energy_ratio_norm,rmse_mean_axes
arm,exp01,motion01_canonical,motion01,canonical,seg1,acc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,0.45749518547942336,0.9867603511969049,-0.24296672016287102,1.036098473081559,5.434899625591097,5.821159107082212,5.3524717917441365,0.016451649517032464,0.06263741926684704,5.564240593006926,0.02464355068009352,0.15687854477074378,2.504549941639637,1.3035416702361802,0.9351536712662181,-0.74224628245376,1.064528505423851,5.939667424253818,6.989839040389353,5.699764032505254,0.09255056780321728,0.12680614600561688,5.70331214442985,0.19536078939238152,0.93963978335263,7.410049220363487,0.5548219859563056,0.9921941558055061,0.13351229305417645,1.0374789818476948,12.6921788428556,13.145843973252136,12.508483805200783,0.049922103479035584,0.1233897068226187,12.87575225567904,0.05776885390957469,0.17985828156462222,1.4576441276639338,0.6013190205767408,0.7027723178394145,0.13815193508762616,1.545537445870846,0.2341671367794261,0.6023114481029642,0.06819338419299902,0.042991877386681386,0.11272590123417932,0.19596034718681798,0.05954102055861274,0.25685141232429765,2.2785483150800467,0.7719529472239697
arm,exp01,motion01_canonical,motion01,canonical,seg1,gyr,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,0.3218770778473571,0.9393914008422729,0.003303269923412231,1.1395609045471595,0.7383668792825178,0.9095784982513192,0.6187630041803012,0.06610097460289235,0.05067917203687031,0.6302076924476713,0.08657390829916418,0.1716984445447562,3.387948887907118,0.10318591759443908,0.9823999261411505,1.3695654960928795e-06,1.0384466763859712,0.3041663099851298,0.3241848934844727,0.2966476506423507,0.004437360055357117,0.002854220549009763,0.3069273455650192,0.005190757812752249,0.007419803267325017,2.5995900240784255,0.08534250402576002,0.9829003969924897,-0.012090337486802773,1.0077706643645898,0.20844398159452693,0.2110094668075152,0.1993181419018001,0.005868023692818879,0.0030081918073026005,0.19765509103166393,0.006029131484311647,0.004942974781352984,1.6431714123781564,0.28645136068737015,0.961229130719136,0.09911226891067956,1.0591695749740244,0.6754609443298818,0.7441072363331513,0.6150218680172052,0.030859815323676276,0.027750994831582887,0.6215632683001842,0.040781361374685965,0.06465915066467384,2.3299759542226033,0.1701351664891854
arm,exp01,motion01_canonical,motion01,canonical,seg1,mag,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,0.21911017687451065,0.9959736564602115,0.2186771166723213,1.0169622293833336,0.022923595202087834,0.023997075614261683,0.022901047191558107,8.173826915575525e-06,9.147732596614922e-06,0.023972678468318433,9.264940709930352e-06,9.726585875536058e-06,1.0632783271186799,0.30306394465281167,0.9899180515654676,0.30193763193852224,1.0259193312212345,0.026840626885376764,0.028425750804400254,0.02675554929675961,5.7812101498821285e-05,2.0396418426223424e-05,0.028305990982192154,7.205806460957738e-05,3.9080316894435665e-05,1.9160381573733765,0.025117937255684886,0.996675465795893,0.0019878946339366636,1.0294081145249303,0.06296043316989378,0.06470624481773253,0.06291777389551798,2.6007774611832956e-05,1.1430554277862642e-05,0.06464980257332845,3.572049025500532e-05,1.4872015088999836e-05,1.301075558227885,0.10907897038936643,0.044932634907129926,0.06905820825659077,2.156398544418096,0.0009383124476390999,0.004890315013132039,0.0009218480207967006,2.974821920232066e-06,9.183529640764154e-06,0.00486410233584003,9.847121158043709e-06,1.1466666338692065e-05,1.2486120847458657,0.18243068626100242
arm,exp01,motion01_canonical,motion01,canonical,seg2,acc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,0.4391024329263179,0.8854994550577052,-0.2567996362349196,1.2705677514214029,0.11358714693340574,0.26589539709469,0.09511067472307462,0.005207815820587773,0.011859415844498046,0.1349552309616489,0.006747197506154093,0.050833087829961675,4.2863062138307955,1.6547397725835558,0.913010533956959,0.8929314007426943,1.1099354498365874,8.10040936062369,9.867091497425045,7.920693198072632,0.0714198551458453,0.08612360505668872,7.989305783151517,0.2045176479194721,1.5675449931999093,18.20110749138881,0.6638711288608511,0.9901045909838274,-0.2982063910342306,1.0520740052818627,9.852089695984098,10.676055807106566,9.779001000818102,0.02618796636527895,0.0405512895504895,10.426057619077751,0.039584773058148795,0.1664310817291609,4.104211815972883,0.8647165112691083,0.5019707052257041,0.06935329253261324,2.466892312335003,0.1133391695991659,0.8260224277722572,0.01627695552520849,0.029072510357056554,0.056027154460749365,0.061932079662147276,0.0733576063161164,0.5955166750506984,10.629072291334502,0.9192377781235749
arm,exp01,motion01_canonical,motion01,canonical,seg2,gyr,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,0.5579681738934019,0.8630866126724275,4.108651638600644e-05,1.249585992159072,0.4570534208960302,0.8366029618780368,0.3271680115402515,0.07421838325476643,0.05099923546842118,0.34320936039935085,0.10225771134531708,0.36444952603426833,7.146176264814597,0.08685874977647642,0.7807964497672459,0.009939488726429165,1.4464351481663074,0.005969875369300987,0.014033217185058441,0.0029129922340541013,0.0011308484111664618,0.0018259698188752681,0.003047744248877696,0.001241011892333146,0.0052791113687049775,2.8911273955588124,0.0846622907161655,0.7894946022866252,0.015229947106503126,1.3644489377799702,0.007495644959988822,0.01452524398472629,0.0026227750019734504,0.002477743692175609,0.002269327940275395,0.0032437605232352625,0.0025380537706141374,0.004320202693719157,1.9037366156480413,0.49358191308271576,0.8862044810004305,0.1995692903022027,1.1862632999411091,0.29692430123039515,0.5027042280254301,0.1961281697291432,0.05929818974698104,0.03762114271916557,0.2840242553688112,0.06044300744625019,0.112816743256734,2.9987590780240265,0.24316307146201463
arm,exp01,motion01_canonical,motion01,canonical,seg2,mag,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,0.02989589756438661,0.9703700538843177,0.017961193600487577,0.8443981620359915,0.0007877999486197839,0.0009093098863825891,0.0007705370658593467,3.787808201502367e-06,8.925715629729702e-06,0.0008909291456320383,3.970565740810146e-06,9.54646681587021e-06,1.0695463694279645,0.09299259593260464,0.9866895120778256,-0.08634687618332054,1.0195040044378165,0.03683794497866425,0.03795318521401439,0.03675304519964883,6.044689348064666e-05,1.7591091952660223e-05,0.037806988532016444,8.45793448491017e-05,5.2652247704786434e-05,2.9931198048057652,0.03158095283464578,0.9934541508516297,0.005040624884680274,1.0534470797223918,0.03964171437177145,0.04345868369480758,0.03958641689033401,3.471004026237446e-05,1.377035801333966e-05,0.043380821623749136,4.4052802273391964e-05,2.5846068360211432e-05,1.8769350410671033,0.02125123465693129,0.9654456629496765,-0.012337886307137174,0.5371327928919188,0.0003105432125996629,7.532817645232033e-05,0.0002939977883870618,2.7853589673806735e-06,9.396850858475071e-06,5.9411460229071254e-05,2.567721191241961e-06,9.033502911867176e-06,0.9613330132175927,0.05148981544387901
arm,exp01,motion01_canonical,motion01,canonical,seg3,acc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,0.3986561560695678,0.9409084664944315,-0.27281585110031326,1.11056486959542,0.12176666328377905,0.2241379353785184,0.10774863905450843,0.005196168598388488,0.007587338795619902,0.14575949772109204,0.0072413327253867945,0.04055819250692998,5.345509617416625,1.757411678863759,0.8438359930961619,1.3623602404117245,1.1095137014308043,2.9854149349444,3.6271985624590184,2.889632748771178,0.02391361723694826,0.05967499578691059,2.3774215814848985,0.050741918990691796,1.1749796688322878,19.689648123466213,0.9389355288701108,0.983429482518439,-0.8028209712312819,1.2249622687986483,2.04961702949707,3.119559536041704,2.014537388971695,0.007431022416224712,0.02205448073452886,2.992058151190152,0.007669728516501876,0.099146639629361,4.495532713705649,0.798106023716109,0.4600694794609844,0.13609138450931932,2.7054701116897504,0.07599848972759435,0.6974158489645641,0.020198236600386388,0.014349733146964753,0.03386608729183428,0.03516934984240651,0.026818065945792995,0.5997836142607265,17.710449071825153,1.031667787934479
arm,exp01,motion01_canonical,motion01,canonical,seg3,gyr,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,0.4513786216381307,0.8213655640860232,0.0016640248599064955,1.310969619648718,0.31540646107575493,0.5484416623785331,0.29948519974203197,0.010057552791360797,0.00535597767417367,0.327958245263932,0.01552814943782507,0.19866504680387795,37.09220964936829,0.10022948436795681,0.6788119635284312,0.0013149019308711187,1.5778209705538067,0.00418126080183161,0.012531206618807475,0.0028172845574606685,0.0007538668846467295,0.0005517763454772867,0.003779247409560583,0.0008746400261635103,0.004393827720356552,7.963059216670173,0.1182522022992969,0.6102523365288249,-0.0016309312592274908,1.7741209594230192,0.005233092286098063,0.018049759633062313,0.004188090989143633,0.0005558651968752705,0.00043792298805350364,0.005292380696499225,0.0007171280366035411,0.007623148582270854,17.407509479570823,0.4260598865031971,0.8455777467258998,0.2289457967920124,1.1828575009935083,0.22786260107822473,0.3551379733915504,0.2116092506884205,0.010905348294561367,0.004797728298457499,0.275230228898297,0.02142656953861974,0.03068709812038031,6.396172564596922,0.22328676943512815
arm,exp01,motion01_canonical,motion01,canonical,seg3,mag,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,0.0583613503958353,0.8049602533839808,-0.04334008289866989,1.2579484431191166,0.0004223901055626525,0.0007446924652966115,0.00040531643724489835,3.636139357625391e-06,9.135639203365497e-06,0.000726330302704431,4.02276489776908e-06,9.536608808964747e-06,1.0438906958541927,0.13811139036843692,0.9863434711232167,-0.1359842148925606,1.0213981617677224,0.015581204872113376,0.014252954356547491,0.015554818883626033,1.1711358031680853e-05,9.857719414302867e-06,0.01420240971762363,1.5396488508885165e-05,3.0362551894139237e-05,3.0800785189733406,0.04942905936221589,0.9765359568080644,-0.0144757387484661,0.8909889700502783,0.006050806613065175,0.009053638145361313,0.006026050324884854,9.824848023491225e-06,9.182543049633176e-06,0.0090212301743902,1.3199938882707206e-05,1.3003652722926819e-05,1.416127562540393,0.06352211251992884,0.9539300080462607,0.05417302757241364,0.5396189421006612,5.8399384705835826e-05,3.443679706013164e-05,4.207560356458601e-05,2.6170348224968712e-06,8.849032933291827e-06,1.8784555340360864e-05,2.4605078959048056e-06,8.63527868557582e-06,0.9758443408255199,0.08196726670882938
arm,exp01,motion01_canonical,motion01,canonical,seg4,acc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,0.377467725444501,0.973019623368545,-0.20246956709293268,1.1094257998717587,1.2162020372470732,1.4628831486747462,1.2020795841147918,0.005469756830670303,0.0075994139274014275,1.3767517225117785,0.008919198213347308,0.07393846643848485,9.729495871142547,1.758611953387806,0.9012565129059255,1.5494020696607076,0.9949379966755252,3.0482622921375326,2.8286100918360697,2.964188987109022,0.03987880571751208,0.038390759685004106,2.3689595313825875,0.06972307431323824,0.38264605694937415,9.967139490857045,1.2367213274312487,0.9821547093724261,-1.1282815482661965,1.162154674587865,2.9343059719249456,3.947533059285059,2.9138153148385575,0.009773595069621,0.007919666148153495,3.9015416945024524,0.00916056086559765,0.031077359547625024,3.9240744449747758,0.5784430849945752,0.5991739568499214,-0.02518639613374846,1.537708801537044,0.1811210484515942,0.3791036584095535,0.11913527473196261,0.033298211697565,0.02178497255407211,0.08460219140949816,0.04568070210837323,0.23749441782243574,10.90175428144576,1.124267002087852
