motion_name,rmse_acc_x,pearson_acc_x,input_rmse_acc_x,psd_distance_acc_x,rmse_acc_y,pearson_acc_y,input_rmse_acc_y,psd_distance_acc_y,rmse_acc_z,pearson_acc_z,input_rmse_acc_z,psd_distance_acc_z,rmse_gyr_x,pearson_gyr_x,input_rmse_gyr_x,psd_distance_gyr_x,rmse_gyr_y,pearson_gyr_y,input_rmse_gyr_y,psd_distance_gyr_y,rmse_gyr_z,pearson_gyr_z,input_rmse_gyr_z,psd_distance_gyr_z,rmse_mean,input_rmse_mean,pearson_mean,psd_distance_mean,acc_norm_rmse,gyr_norm_rmse,input_acc_norm_rmse,input_gyr_norm_rmse,acc_channel_rmse_mean,gyr_channel_rmse_mean,input_acc_channel_rmse_mean,input_gyr_channel_rmse_mean,acc_channel_rmse_improvement,gyr_channel_rmse_improvement,hf_ratio_improvement_acc,hf_ratio_improvement_gyr,hf_ratio_improvement_mean
canonical,0.1955578117335046,0.8561542182129896,0.37649555481462316,0.007224441685872824,0.420511105614291,0.7194992529443237,1.5092786920002916,0.038699563478935904,0.25265384966676885,0.7543385790743712,0.7903403583363715,0.033182744577822054,0.07849756690927527,0.7700162681239088,0.3141046079404822,0.0038968075331276644,0.035288332399002025,0.8358830873356234,0.08613678858223879,0.0014840509409377878,0.03857736970345617,0.8808458029085772,0.07372593501138247,0.0007360040245081543,0.170181006004383,0.5250136561142316,0.8027895347666323,0.014203935373534064,0.20090030185581947,0.06498765667942775,0.5313302954743532,0.27565003376750447,0.28957425567152145,0.050787756337244486,0.8920382017170954,0.1579891105113678,0.6024639460455739,0.10720135417412331,15.061616019526328,7.678478624840864,11.370047322183595
explosiv,0.8169740352590206,0.952692469878798,1.8206801997402966,0.19572767035520666,1.4530486231638213,0.8872181502352218,3.7418305142451143,0.3971044981789033,1.401040908062862,0.9135567589538658,2.806798934532424,0.4070388391329828,0.5951452049916074,0.8865322505724529,1.6496268583051228,0.07666922550624033,0.3258854915024871,0.9573377605064555,0.6003074212978452,0.07926913535796966,0.3130970512658863,0.9216469021904079,0.5049288818770546,0.06659352031050021,0.817531885707614,1.8540288016663096,0.9198307153895336,0.20373381480696715,1.044218714105881,0.4199237094150256,2.710093823428881,1.3031845888849032,1.2236878554952346,0.41137591591999356,2.7897698828392783,0.9182877204933408,1.5660820273440437,0.5069118045733473,4.459765512561203,6.69922904607053,5.579497279315867
fast,0.5601025664247572,0.9412825323749915,1.2787674572318792,0.10697425614608409,0.9656966795715002,0.9161559013502347,2.9554960190103605,0.3290299860943588,0.8588748925114766,0.9265066983880182,1.8356458974429049,0.23524501623519603,0.3154535674346754,0.9479663852418627,1.1992895524133929,0.053619939837151576,0.1762553477480721,0.9383660515854892,0.4468234389997983,0.01824655916471992,0.15375727776240988,0.9427655107051676,0.3040327786544087,0.02248453460824653,0.5050233885754819,1.336675857292124,0.9355071799409607,0.1276000486809595,0.8281732867794255,0.256155179905741,2.062595104153913,0.9339305877027353,0.794891379502578,0.2151553976483858,2.0233031245617146,0.6500485900225332,1.2284117450591368,0.4348931923741475,4.867307642338756,13.485569270845373,9.176438456592065
fast_slow,0.6730008030740114,0.9766468559106906,1.5131956027104305,0.13435788769140625,1.6244998956528993,0.8966027168929843,3.5964906859856387,0.4563264429461784,1.5946108625485347,0.9021396755631642,3.005042956998715,0.45016359098416825,0.5723708267825154,0.9203348242827939,1.4952455774522744,0.13299573299759337,0.2704815629010017,0.9346126405578584,0.5919714620480171,0.04187403975122904,0.25041936514182733,0.9183237671937428,0.3822239929810166,0.04253491499372243,0.8308972193501316,1.7640283796960154,0.924776746733539,0.20970876822738296,0.9200199158718952,0.4476020299184781,2.211015587586623,1.1955645092977927,1.2973705204251484,0.36442391827511483,2.704909748564928,0.8231470108271027,1.4075392281397794,0.4587230925519879,5.961889297411923,11.728408695529591,8.845148996470757
fast_slow_fast,0.6486756246670016,0.9347047019517476,1.4924010926281057,0.12227509393068582,1.137213716443096,0.9149262965729628,3.1799936983556973,0.41087534012139737,0.9948242134769403,0.9009734824032549,2.305155920463481,0.2846112151382093,0.4134261865046851,0.9312815808399372,1.4098017149421918,0.0783000861712661,0.21779366456238286,0.9323930963501206,0.5415105074192287,0.029463149281753618,0.18547729879528993,0.9417407753368189,0.3383519060815507,0.040096303642269286,0.599568450741566,1.5445358066483759,0.9260033222424737,0.16093686471426358,0.9323539813803066,0.32377294443237287,2.3003885049905097,1.0778718838118948,0.9269045181956792,0.27223238328745264,2.3258502371490946,0.7632213761476572,1.3989457189534156,0.4909889928602045,5.001440358090611,11.904734535736907,8.45308744691376
freeze1,0.22145326882600785,0.837204300639323,0.2684943176805973,0.0004786335019161925,0.7003351271152496,0.5504968471308611,0.8369518339633941,0.0011763693008106201,0.8745615586638451,0.2393099186965914,1.9251985371112823,0.0016379146836698055,0.0568759860470891,0.5840980498565477,0.13789855539798737,0.00020697297204606003,0.021796058490872385,0.8349994857933112,0.04536340460181236,3.8603160828643016e-05,0.022767874971032144,0.8861346300911782,0.021985374856740236,4.689356392191257e-05,0.3162983123523494,0.5393153372686357,0.6553738720346354,0.0005975645305322057,0.24735083132982255,0.04389698505401611,0.2603509649634361,0.11695957705378532,0.5987833182017008,0.033813306502997874,1.010214896251758,0.06841577828551332,0.41143157805005703,0.03460247178251545,16.015412703722667,1.509234163199763,8.762323433461216
freeze2,0.2886978849768639,0.834137142276588,0.28641321286559107,0.0005327167542418465,0.3905358165502548,0.7286896831850092,1.0235823288559913,0.002191329140623566,1.9053074322640895,0.546628914419913,3.2385826110839844,0.0032383213416323996,0.06959587018936872,0.7139622817153533,0.23639160990715027,0.0006798133880693058,0.02982977218925953,0.7308293059980935,0.06401545032858849,6.693031673421501e-05,0.027594533562660218,0.6554536504161865,0.036260852497071026,5.0548035960673585e-05,0.45192688495541616,0.8142076775897295,0.7016168296685239,0.0011266098295436677,0.20288635641336442,0.058992774412035945,0.4354805901646614,0.21858671307563782,0.8615137112637361,0.042340058647096154,1.5161927176018557,0.11222263757760327,0.6546790063381195,0.06988257893050712,15.900839248417247,4.37245109098585,10.136645169701548
gait_fast,0.8111197354611505,0.8928051244539362,1.9291398633684358,0.0991871561579147,0.7461401470776262,0.8122425409803999,1.877754296002717,0.04889219446667456,0.9827312774222179,0.8581716261377671,1.7052355303626343,0.15327432090765025,0.2532675311749278,0.911672794616021,0.8128834034063913,0.010783134533301613,0.2758001381237739,0.9559955134793608,0.7492705646668345,0.03375868043489208,0.1279838334895175,0.9278935773471406,0.23595001589979409,0.006250448650152085,0.5328404437915356,1.2183722789511344,0.8931301961691043,0.058690989191764215,0.9060737341715784,0.28723677282905197,1.9204552357805333,0.9343405339187882,0.8466637199869982,0.21901716759607306,1.8373765632445955,0.5993679946576732,0.9907128432575975,0.3803508270616003,3.0989930734568745,7.637704560647469,5.368348817052173
gait_slow,0.7530929288961602,0.8916888656382805,2.0330725265608267,0.1361957727559119,0.5937799786902823,0.7776766343615577,1.3191369204213783,0.02932417331495979,0.984301742625499,0.8616384642400943,1.5771954188181918,0.1838767840437387,0.18415957417561668,0.8680109181404628,0.5422796214828209,0.004004155473539753,0.2830325506545556,0.9411391267844648,0.8497458433274051,0.03110863568264994,0.10835277287658515,0.8566220738156873,0.16917522216139583,0.0024150294770187083,0.48445325798644984,1.0817675921286698,0.8661293471634245,0.06448742512463647,0.8745433744628849,0.28904091767299006,1.9155423299673031,0.9442820598482617,0.7770582167373138,0.19184829923558583,1.6431349552667989,0.5204002289905406,0.8660767385294853,0.3285519297549548,3.8896726267628146,5.318936646657328,4.604304636710071
pause,0.34066089452022597,0.10698799912527909,0.33932453221863224,6.0506753349424496e-05,0.47717020245535036,0.03780892067545131,1.1223072873694555,0.00033040480532127686,0.35026672915333795,0.16075784538574123,1.10792856986324,0.00016038064050441053,0.010950235104454415,0.12932937609966733,0.008238047243849862,2.5533052570110505e-06,0.007551741788518571,0.18237666618407264,0.006130554891812304,1.8342656753404861e-06,0.010190423110145189,0.09426953939643436,0.008037459313692081,7.852457931635724e-07,0.19946503768867208,0.431994408483447,0.11858839114444099,9.274416931677117e-05,0.10005239741433235,0.010672011146587985,0.0556825379353194,0.00823918359265441,0.3893659420429714,0.009564133334372725,0.8565201298171093,0.00746868714978475,0.46715418777413786,-0.0020954461845879755,1.9007464408371257,22.594250691206305,12.247498566021715
