setting,method,method_family,model_type,causal_online,rmse_mean,rmse_std,pearson_mean,pearson_std,psd_distance_mean,psd_distance_std,hf_improvement_mean,hf_improvement_std,params_k,fp32_size_mb,cpu_window_ms_mean,cpu_window_ms_std,stream_ms_step_mean,stream_ms_step_std,embedded_feasibility,rmse_wilcoxon_p_vs_tcn_causal,paired_motion_groups,rmse_delta_vs_tcn_causal,rmse_gap_vs_tcn_causal_percent
anomaly_test_only,TCN-causal,proposed causal neural model,dilated convolution,yes,0.4057,0.0022,0.8476,0.0006,0.0614,0.0016,8.3192,0.0629,101.326,0.3865,1.4289,0.0415,1.2711,0.0611,possible_on_embedded_linux,reference,0,0.0,0.0
anomaly_test_only,Transformer-causal,causal neural comparator,causal self-attention mask,yes,0.4434,0.0068,0.8413,0.0023,0.0738,0.0014,8.0733,0.1064,399.11,1.5225,1.597,0.0396,1.785,0.0407,possible_on_embedded_linux,4.76837158203125e-06,21,0.03900842623416914,9.292580724673407
anomaly_test_only,GRU-causal,causal neural comparator,recurrent hidden state,yes,0.416,0.0033,0.8388,0.001,0.0636,0.001,8.314,0.0293,152.07,0.5801,3.1304,0.0411,0.1237,0.0007,possible_on_embedded_linux,0.0037527084350585938,21,0.009194462057243955,2.5388217894996243
anomaly_test_only,LSTM-causal,causal neural comparator,recurrent hidden/cell state,yes,0.4252,0.0021,0.8358,0.0007,0.0636,0.0004,8.2843,0.0343,202.502,0.7725,1.4418,0.0386,0.2685,0.0166,possible_on_embedded_linux,1.33514404296875e-05,21,0.017440758369606048,4.8065072713828
anomaly_test_only,MLP-causal,causal neural comparator,per-timestep zero-history,yes,0.7055,0.002,0.7256,0.0007,0.1917,0.0007,6.2863,0.087,18.182,0.0694,0.1337,0.0103,0.0417,0.0002,yes_embedded_friendly,1.9073486328125e-06,21,0.2459502166993474,73.89696820310574
anomaly_test_only,Identity/raw,classical/statistical baseline,raw signal baseline,window/filter,0.835540012929626,1.1102230246251563e-16,0.7237306247999981,0.0,0.2334594120074917,0.0,1.9772192057843117,2.220446049250313e-16,0.0,0.0,0.0014397520571946,1.4591649495177194e-05,,,yes_classical_filter,9.5367431640625e-07,21,0.36405017550287755,105.95021270141137
anomaly_test_only,Moving-average low-pass,classical/statistical baseline,statistical/filter baseline,window/filter,0.5742526644211893,0.0,0.8378146367771437,0.0,0.1402583732499585,0.0,8.03496208551679,0.0,0.0,0.0,0.0304015446454286,0.0003865452682552,,,yes_classical_filter,9.5367431640625e-07,21,0.1584886169280123,41.5461337000713
anomaly_test_only,Butterworth low-pass,classical/statistical baseline,statistical/filter baseline,window/filter,0.5873018031483171,0.0,0.7957813680402447,0.0,0.1284416060760903,0.0,8.148843703710034,0.0,0.0,0.0,2.069714565761388,0.0111729639789129,,,yes_classical_filter,9.5367431640625e-07,21,0.17113641136916125,44.76258396556991
anomaly_test_only,Savitzky-Golay,classical/statistical baseline,statistical/filter baseline,window/filter,0.6012956110023372,0.0,0.780179011785039,0.0,0.1282237190463217,0.0,8.256381306001165,0.0,0.0,0.0,2.091537544503808,0.0173417518185807,,,yes_classical_filter,9.5367431640625e-07,21,0.18203007471664168,48.21188341196381
anomaly_test_only,Wiener filter,classical/statistical baseline,statistical/filter baseline,window/filter,0.668334753787544,0.0,0.735116304518502,0.0,0.1455688629990597,0.0,7.67475810153862,8.881784197001252e-16,0.0,0.0,0.4301251787692308,0.0020586810164125,,,yes_classical_filter,9.5367431640625e-07,21,0.23139644164482828,64.73619763064926
