time_s,original_acc_x,original_acc_y,original_acc_z,original_gyr_x,original_gyr_y,original_gyr_z,rigid_acc_x,rigid_acc_y,rigid_acc_z,rigid_gyr_x,rigid_gyr_y,rigid_gyr_z,compensated_acc_x,compensated_acc_y,compensated_acc_z,compensated_gyr_x,compensated_gyr_y,compensated_gyr_z
43.549999,-1.16892803,5.25061321,8.16712856,-0.03847700,0.01788400,0.06742500,-0.87835258,3.74371767,8.79846001,0.03290097,-0.02796351,0.05707394,-0.79183942,4.00109434,8.75411224,0.04058506,-0.00752686,0.03815497
43.575001,-1.24424005,4.83828402,8.00521088,0.04121200,-0.06750600,0.10172200,-0.80414146,3.94731164,8.77905464,0.03574513,-0.05336517,0.07278673,-0.79836565,3.96145105,8.78660774,0.08818190,-0.04922679,0.06538422
43.599998,-0.90820903,5.96834421,8.30597878,0.34666401,-0.04778900,-0.02133500,-0.75806987,4.29216814,8.95097828,-0.01148769,-0.03317809,0.04040320,-0.69723463,4.39803839,8.94713974,0.01108811,-0.04670452,0.02418349
43.625000,-0.85414702,6.08166885,8.54752636,-0.30591300,0.02818500,0.07272800,-0.56462854,3.86724210,8.92821217,0.07954965,0.00176709,0.06331065,-0.59326929,4.15964365,8.94233227,-0.02073932,-0.00997723,0.03014613
43.650002,-0.96206498,4.00521088,8.02956009,-0.12121100,-0.00250700,0.24016300,-0.69762391,3.58690667,8.87321568,0.07571455,0.00234540,0.09117696,-0.52978283,4.10522509,8.87404251,0.15270473,-0.00641948,0.13870960
43.674999,-0.98155999,4.82237387,8.02636909,0.44838500,0.06222400,-0.09632500,-0.69350833,3.89995146,8.81400394,0.05554262,-0.00869707,0.10123035,-0.64584196,3.60536623,8.63261032,0.11095778,0.00077957,0.03674990
43.700001,-0.95525402,6.82613087,8.37187481,0.31201199,-0.03413500,0.14295600,-0.65274423,4.39481163,8.90103054,-0.01385689,0.00158216,0.06002593,-0.59835058,4.57009840,8.92773628,-0.01184743,-0.01041903,0.08935157
43.724998,-1.01851797,6.49840593,8.48741913,-0.36858299,0.12982900,-0.08095400,-0.86709553,4.45512104,9.09457493,-0.01549991,0.04514064,0.01360592,-0.77401066,4.59744835,9.05034828,-0.05912756,0.05396091,-0.00415608
43.750000,-1.34536302,4.52069092,8.03010559,-0.29856101,-0.02270700,0.19726200,-0.73851997,3.81716514,8.84126472,0.01702196,0.04276874,0.02202715,-0.72660983,4.33716917,8.92968178,0.00985272,0.01627561,0.06559849
43.775002,-0.75793302,4.83062077,7.96347618,0.31150600,0.02871900,-0.14228199,-0.81941307,3.94057679,8.88590908,-0.00683727,0.02584900,0.01516029,-0.67164618,3.90056324,8.71460724,0.03355578,0.01724629,-0.00391619
43.799999,-1.31791401,6.37908888,8.38126278,0.24632201,0.11867000,0.01029600,-0.79564333,4.32403755,8.95981979,0.01528647,0.02714785,-0.00353700,-0.80619681,4.36574316,8.87593460,0.00519929,0.02511072,-0.02069303
43.825001,-1.06262398,6.31465721,8.21468830,-0.22375099,-0.10007200,-0.03650600,-0.77238733,4.33638191,8.89108086,-0.02209860,0.03558257,-0.03332771,-0.73165989,4.58373070,8.93404484,-0.05733038,0.01490993,-0.02246624
43.849998,-0.85389298,4.86799383,8.06345272,-0.34846500,0.12563799,0.04282400,-0.81358320,3.88640285,8.88096142,-0.06462296,0.02951321,-0.01700964,-0.71585566,4.15914154,8.80768967,-0.02645681,0.03483821,-0.01699019
43.875000,-1.44389296,4.67564297,8.10028076,0.08695000,-0.03156000,-0.03952100,-0.79412991,3.86363292,8.84137249,-0.06699467,0.01668380,0.00597770,-0.71020406,3.86172009,8.85892391,-0.04547388,0.00091652,-0.00396026
43.900002,-0.82802999,6.06966019,8.07795811,0.21079600,0.00552200,-0.05464700,-0.82669741,4.11979771,8.74673557,-0.07025037,0.01533533,-0.01785430,-0.81264871,4.33619785,8.79099083,-0.09077936,-0.00404265,-0.02584181
43.924999,-1.20800304,6.04338789,8.26807308,-0.24622799,0.04083300,-0.01975900,-0.75554961,4.23249149,8.87449646,-0.06010788,0.01684445,-0.03703866,-0.69296587,4.37529087,8.83789253,-0.06248688,0.01500860,-0.03968724
43.950001,-0.98106998,4.70293713,8.27313614,-0.35335401,-0.02003300,0.02597600,-0.78447533,3.65954614,8.84054470,-0.03580671,0.03673300,-0.01833323,-0.69120520,3.91909695,8.97366905,-0.06442538,0.01925339,-0.02041527
43.974998,-0.96389300,4.47409916,8.02835369,0.22848800,0.06558200,-0.03622700,-0.69704562,3.86956668,8.84080601,-0.00737814,0.05317174,-0.00923411,-0.64902693,3.84028387,8.82380772,0.03216397,0.02991374,-0.01555130
44.000000,-0.94865000,6.05690289,8.23828220,0.16160300,0.05544300,-0.09641100,-0.69430870,3.79601860,8.72892284,-0.02837637,0.04213634,0.00188950,-0.64462018,4.06004429,8.71047974,-0.06613997,0.05944153,-0.03765095
44.025002,-0.93342400,5.13981915,8.47704029,-0.41813201,0.02132400,0.14150500,-0.68210816,3.66991282,8.96907997,-0.01839801,0.05640686,0.01218151,-0.56715411,3.98612452,8.95536232,-0.03566987,0.02834728,0.02254784
44.049999,-0.94495702,4.25463676,7.87527800,0.13756800,0.12168200,-0.06815100,-0.77897578,3.97785807,8.82916546,0.02548553,0.08782773,0.02150988,-0.67292416,3.91386223,8.77010345,0.01626488,0.07471316,0.00482535
44.075001,-1.35517895,6.12987614,8.09998894,0.41020399,0.11279800,-0.04311400,-0.85924125,3.95578718,8.65440273,0.00046783,0.05127173,0.01512446,-0.83685887,4.26353884,8.69102287,-0.01570124,0.07311051,-0.00360768
44.099998,-1.17167604,5.93546677,8.15029144,-0.37707499,-0.04132300,0.03532600,-0.87424570,4.00559139,8.79585934,-0.02604751,0.02532661,-0.01994989,-0.78370965,4.19974613,8.73655319,-0.00086456,0.01775239,-0.00575806
44.125000,-0.95682698,4.85634089,8.03317165,-0.03124800,0.01014700,-0.04155000,-0.74728972,4.19583559,8.95283699,-0.02942455,0.02565880,-0.04106751,-0.65938985,4.30655432,8.92547703,-0.04429062,0.01180949,-0.04836132
44.150002,-1.22395301,5.45585108,8.35328960,0.10304500,0.08004200,-0.09317800,-0.89037126,3.67399549,8.91635799,0.01297508,0.01054303,-0.03553861,-0.79505306,3.87405109,8.93799973,-0.02249172,0.01578663,-0.04339870
44.174999,-1.10922003,5.06853104,8.31072330,-0.21682900,-0.10533200,0.06206900,-0.71586448,3.75545645,8.88632774,-0.04575862,0.00662353,-0.00834228,-0.64098907,3.67189217,8.95577812,0.00120247,-0.00303619,-0.01496314
44.200001,-0.66510201,4.96292782,8.16165733,0.11240000,0.05329700,-0.04275300,-0.73251206,3.87195134,8.93244553,-0.01407868,0.01988087,-0.00511857,-0.56440443,3.98347425,8.95521736,-0.01704190,0.02119181,-0.00617569
44.224998,-1.53355896,5.80097389,8.10407829,0.16670699,0.11609600,-0.07154600,-0.93407273,4.15726137,8.81560516,-0.01139268,0.00847182,-0.02193155,-0.85915595,4.12836123,8.82001305,-0.02296820,0.02189856,-0.02451764
44.250000,-1.23139596,5.86240005,8.08599854,-0.08925900,-0.13490599,0.00367000,-0.98824108,4.23796606,8.80910015,0.02261961,-0.00221268,-0.04805545,-0.82283741,4.13334131,8.86066914,-0.00545613,-0.01277156,-0.03427082
44.275002,-1.15728796,5.64214420,8.03224659,0.05261000,0.07253300,-0.11425900,-0.91612834,4.32807779,8.81634998,-0.03317868,0.00372185,-0.09387497,-0.87137961,4.29207373,8.95562744,0.00041637,0.00566565,-0.08050231
44.299999,-1.28534198,5.83092880,8.22943592,-0.12336100,-0.06461600,-0.13930500,-0.81128651,4.03066444,8.83282566,-0.04508772,0.00603934,-0.12116066,-0.72910768,4.10556650,8.87582779,-0.07289834,0.00147286,-0.11915343
44.325001,-0.82547098,5.15844584,8.13659191,-0.19549499,-0.05968400,-0.04963500,-0.76121002,3.86013174,8.86624718,-0.03631726,-0.00607548,-0.12186588,-0.61238509,3.94786406,8.95514488,-0.02363026,-0.00542605,-0.11427348
44.349998,-1.26085997,4.60152102,8.06700993,0.01752900,0.03225900,-0.14036100,-0.87019503,3.81922102,8.89381886,0.02942535,-0.04569610,-0.09236959,-0.69549704,3.55370855,8.92871475,0.07434361,-0.02328832,-0.11612930
44.375000,-1.26481795,5.25402212,8.60104656,0.11245200,-0.12320700,-0.02618000,-0.94102991,3.52191520,9.01442528,-0.01260488,-0.05071948,-0.05251323,-0.68912274,3.41849947,9.23895741,-0.03470661,-0.05820036,-0.05288684
44.400002,-1.16786206,5.00199509,8.33529472,-0.16913000,0.02392900,-0.01007400,-1.13885951,3.66908884,9.01832962,-0.02996351,-0.04061684,-0.01518884,-0.88675284,3.47475195,9.01390266,0.00790480,-0.02600219,-0.03189838
44.424999,-2.03307509,4.95511580,7.92761421,0.18541300,-0.01859800,-0.01232200,-1.32741320,4.16412497,8.87120724,-0.01206442,-0.07323849,-0.01605770,-1.20577753,3.82173777,8.96351910,-0.01326750,-0.07291795,-0.00902767
44.450001,-1.46737504,6.47674513,8.10258293,0.24964300,-0.20722200,-0.11910300,-1.41114271,4.34884357,8.83914471,-0.05627776,-0.09398466,-0.07605158,-1.10672367,4.16698360,8.94281960,-0.08405808,-0.10212402,-0.05424281
44.474998,-1.91031802,6.98892593,8.27011013,-0.17765300,0.03191000,-0.15050000,-1.42559981,4.72598362,8.98689270,-0.14439239,-0.07605150,-0.17329681,-1.36567199,4.56931973,9.10459900,-0.16700590,-0.09134340,-0.13995661
44.500000,-1.64626706,6.64078283,8.36477470,-0.09716600,-0.25635701,-0.27130100,-1.16637123,5.32492685,9.30300331,-0.23539910,-0.01836449,-0.29512659,-1.12421489,5.05761385,9.29431534,-0.13078584,-0.06420704,-0.25102758
44.525002,-0.91240901,6.52290106,8.69958401,-0.59069002,0.02976700,-0.36326599,-1.05113304,3.98142385,9.11074829,-0.14157440,0.03793171,-0.34856865,-0.96213126,4.31305838,9.28782272,-0.30911270,0.00971994,-0.34756631
44.549999,-1.70180500,3.31626701,8.09791279,-0.82098597,-0.03268800,-0.12569700,-0.99074811,2.90034866,8.73005676,-0.08046023,-0.00984642,-0.26609960,-0.88992053,3.30574942,9.04594421,-0.08892919,0.00268555,-0.26857564
44.575001,-0.89396697,2.40562010,7.67942381,0.36214101,-0.26476300,-0.14163500,-0.89842999,3.04515719,8.74224758,-0.02545266,-0.08788649,-0.13938208,-0.62869823,2.72003126,8.71665573,0.11295875,-0.08757959,-0.14980401
44.599998,-0.85801798,6.17395115,8.03160477,1.02407503,0.02542400,-0.28217801,-0.63536161,4.26810503,8.74040985,0.05258740,-0.09733682,-0.12740272,-0.59291244,3.63673878,8.74191093,-0.00324449,-0.09432223,-0.15137514
44.625000,-1.15848505,7.66936588,8.54197598,-0.45259699,-0.20258300,-0.11474100,-0.70344126,3.77594733,8.69580364,-0.01566412,-0.11720278,-0.16920522,-0.44904381,4.16919518,8.80026436,-0.21621157,-0.08613683,-0.17478113
44.650002,-0.97355700,2.67305803,7.77413797,-1.17080903,-0.14526300,0.14695300,-1.05575037,2.95957494,8.66866970,-0.02144115,-0.13694394,-0.13494959,-0.70670599,3.19669867,8.74916077,0.05887302,-0.12562208,-0.11632919
44.674999,-1.81128597,2.61561203,7.68153620,1.01894295,-0.06847500,-0.30222601,-1.10787833,3.44586110,8.73523426,0.01711024,-0.13771580,-0.10723159,-1.05348194,3.24941254,8.76644707,0.10762127,-0.15428166,-0.14928654
44.700001,-0.99435300,8.02120972,8.79756069,0.72420597,-0.25654101,-0.21442600,-0.84516323,3.90955877,8.76261806,-0.01921528,-0.13351181,-0.11530552,-0.82575512,3.80575323,8.90427208,-0.12244525,-0.14246283,-0.12419381
44.724998,-0.75095499,5.95294189,8.35056782,-1.18953705,-0.15600100,0.14144699,-0.70041353,3.81197906,8.90398979,-0.03712557,-0.13427830,-0.12679863,-0.55003017,4.20068121,8.90535259,-0.08422294,-0.17941441,-0.08856767
44.750000,-1.09439397,2.09253001,7.74601603,-0.12494400,-0.14039400,-0.09497500,-0.60343307,3.51310205,8.88422394,0.02222542,-0.11483602,-0.11281411,-0.54642522,3.53393126,9.02254295,0.12587103,-0.14369439,-0.13125809
44.775002,-0.73257899,5.57019806,8.51918507,1.05444503,-0.07969600,-0.25630000,-0.72129351,3.58074665,8.97781754,0.00594662,-0.07148268,-0.09461841,-0.49936071,3.66138172,8.88220692,0.00799553,-0.11394208,-0.12411357
44.799999,-1.10443401,7.19193077,8.90131187,-0.37762499,0.01131200,-0.04955500,-0.73542035,3.64016938,8.98796654,0.00554222,-0.06174324,-0.08616116,-0.60065889,3.90305853,9.03376579,-0.08613013,-0.05150315,-0.11447271
44.825001,-0.87272298,3.37406492,8.04981804,-0.68955600,-0.26124799,0.17339900,-0.47577035,3.50714183,9.01100159,-0.00037126,-0.07796438,-0.05506970,-0.44531313,3.84823608,9.03793144,0.04520947,-0.12469925,0.00609624
44.849998,-0.27375200,3.61925292,8.38360500,0.50281298,0.01194600,-0.18890101,-0.46960959,3.13655615,9.07381058,-0.01754272,-0.05677569,-0.01313789,-0.17434379,3.06000280,9.01409245,-0.01605225,-0.07333677,-0.03135065
44.875000,-1.34050500,6.18440485,8.67891121,0.38334101,0.10104400,-0.01198800,-0.79682857,3.79431415,9.09079933,-0.01191594,-0.03504810,-0.00027332,-0.59678984,3.79575872,8.99054718,-0.02066092,-0.01954173,-0.02582395
44.900002,-1.31161106,6.07122803,8.51007748,-0.27636999,-0.14283299,-0.01181800,-0.90350193,4.03282976,9.05873680,-0.00333188,-0.02757893,-0.04319994,-0.87791133,4.20603371,9.15595531,-0.04313786,-0.03841961,-0.03044642
44.924999,-0.72801298,4.48954582,8.46420193,-0.34345701,-0.04328700,0.01262300,-0.66672993,3.39411235,9.08574200,-0.03714132,-0.02015409,-0.05798507,-0.62410271,3.86616087,9.13226700,-0.02200345,-0.04553084,-0.03159617
44.950001,-0.93287301,4.09639406,8.25731277,0.13921700,-0.02133900,-0.06852900,-0.53721404,3.45259166,8.98870659,-0.00312433,-0.01835330,-0.04026097,-0.45755011,3.26727200,9.01496315,0.03786758,-0.01959598,-0.03347113
44.974998,-0.82718599,5.51019812,8.45572090,0.29903400,0.02013900,-0.09057300,-0.82612938,3.63431406,8.96363735,0.01812566,-0.01404553,-0.03841654,-0.59976327,3.80849934,8.95559883,-0.01895778,-0.00351201,-0.05078864
45.000000,-1.44330502,5.62825394,8.42704296,-0.18196499,0.00834900,-0.02352500,-0.84218752,3.73090529,8.91138554,-0.01759532,-0.01645505,-0.04662180,-0.83445317,3.91503525,9.03236198,-0.02192994,-0.02065015,-0.05909071
45.025002,-0.89190602,4.98273182,8.26011658,0.05119600,-0.10246800,-0.04316400,-0.75252676,4.16449022,9.09651947,-0.01425109,0.01394202,-0.08168732,-0.72485507,4.27386284,9.07125378,0.01667622,-0.01984530,-0.05142025
45.049999,-0.86637300,6.06347179,8.47314644,0.13239600,0.10120300,-0.22752300,-0.66625696,3.80539536,8.99923038,-0.04716253,0.04197339,-0.11532028,-0.54460210,3.93788767,9.04358673,-0.07065241,0.02640362,-0.12547676
45.075001,-1.13138998,4.42882586,8.31394672,-0.75009102,-0.01677500,0.08684500,-0.80693221,2.96194625,8.76594448,0.00879207,0.00507735,-0.05786227,-0.60794395,3.39083338,8.79364300,-0.06125967,0.02784774,-0.05706506
45.099998,-1.21457899,3.05554795,7.97620392,0.31227800,-0.03709900,-0.01367400,-0.86449111,3.57056928,8.96653461,-0.02685970,-0.01020647,-0.01492281,-0.79041648,3.47227526,9.03808594,0.06790746,-0.03578617,-0.01001269
45.125000,-1.00651205,6.49979210,8.67920971,0.74906301,0.10182300,-0.25042301,-0.93125600,3.93531108,9.09490108,0.02739489,0.02757558,-0.03109225,-0.85506320,3.83045769,8.99013615,-0.02363810,0.03066030,-0.06634865
45.150002,-1.32901394,5.84978008,8.91822815,-0.91818500,-0.02781400,0.19113600,-0.91029322,2.85858703,8.91828156,0.05428483,0.01925925,0.00308070,-0.72474653,3.24796915,9.07685471,-0.11643300,0.00960301,0.00184098
45.174999,-1.15061998,2.04047108,7.35738707,-0.00483100,-0.05258200,0.13246700,-0.85708779,3.87508965,8.82326698,0.01347480,-0.01819091,0.04321999,-0.86128277,3.68253374,8.77635193,0.20232226,-0.03564782,0.05168857
45.200001,-1.11054802,6.35747099,8.50578690,1.14349902,0.09362900,-0.30278000,-0.98882753,3.90043783,8.97024632,0.01175934,-0.00405261,0.01894475,-0.81053770,3.87834930,8.86457825,-0.04074608,-0.01070141,-0.02760078
45.224998,-1.51424599,7.40889502,8.71083832,-0.61043400,0.02383200,0.17049800,-1.09851933,3.79413247,8.82237720,-0.01575493,0.01052885,-0.00196459,-1.01674509,4.24459314,8.89846992,-0.06824747,0.00128494,-0.01415980
45.250000,-1.38297105,3.23750710,7.80850792,-0.68161500,-0.09024000,0.10191000,-1.02759838,3.75337315,8.91348076,-0.03043276,0.01390122,-0.00297405,-0.97511035,3.90422487,8.95265579,0.05568203,-0.02139131,-0.00077463
45.275002,-0.97153401,3.83131790,8.24801064,0.56327897,0.08942300,-0.10928200,-0.95802701,3.11587834,8.86500931,0.03356926,0.01727176,0.03155662,-0.79558128,3.29582834,8.81351852,-0.04000518,0.01337260,0.00232412
45.299999,-1.42925298,5.75121021,8.45321655,0.17156699,0.01137400,0.08930300,-0.92562431,3.35914087,8.73766232,0.03481579,-0.00878524,0.08518559,-0.78795737,3.48204279,8.83541393,0.01848623,-0.01391803,0.05969542
45.325001,-1.11173105,4.68235397,7.94775105,-0.28956300,-0.06245800,0.17752799,-0.95912039,3.84702063,8.85162449,0.01417387,-0.03760468,0.10438541,-0.87935489,3.83102322,8.67397404,0.05259120,-0.03579745,0.09382297
45.349998,-1.15617096,5.15847492,8.49493694,0.41302401,0.00602100,-0.00719900,-0.77485687,3.84571123,9.09337234,0.03309463,-0.02034092,0.06863221,-0.71147692,3.96731472,9.23297119,-0.02899853,-0.05035746,0.08518515
45.375000,-1.01336300,6.05251122,8.43154430,0.02811500,0.02910500,0.05838300,-0.90869194,3.95382309,9.04093361,0.06917019,-0.01575216,0.06015542,-0.75798321,4.03678942,8.96254921,0.06316251,0.00291943,0.04799903
45.400002,-1.38952696,5.00613880,8.21046543,-0.22903401,-0.06620900,0.13026600,-0.77955991,3.83598804,8.88736820,0.02467948,-0.04252096,0.05788198,-0.80432487,3.92595243,8.97091675,0.04087647,-0.04464321,0.04273922
45.424999,-0.71817797,4.90326309,8.15814590,0.13847400,-0.08289800,0.02376400,-0.76571602,3.74661136,8.93097019,-0.02065456,-0.05999485,0.05630119,-0.62623292,4.00868225,8.92379665,0.00078962,-0.06210756,0.05296718
45.450001,-1.27140903,5.37609386,8.23725986,0.02180600,0.02341800,0.06664200,-0.81581134,3.75190496,8.83551598,0.03015559,-0.07902484,0.05505043,-0.68691432,3.69989061,8.85514355,0.02638509,-0.07078239,0.04900800
45.474998,-1.16223598,5.34465790,8.07639027,0.08172600,-0.15651999,0.04965400,-0.82857090,3.95691133,8.81581020,0.02539657,-0.09003966,0.03106801,-0.75590509,4.12509537,8.86669827,0.02591527,-0.08655006,0.03209861
45.500000,-0.84214002,5.36563206,8.16518402,-0.05622100,-0.08903100,0.03781000,-0.69961107,3.73963547,8.78706646,0.01132083,-0.10206793,0.01987932,-0.62017757,3.89733696,8.78378105,0.02317453,-0.10940771,0.01838529
45.525002,-1.05691195,4.91438007,8.27212143,-0.05486400,-0.08438200,0.05125300,-0.66408390,3.79752612,8.95734596,-0.00134961,-0.10535305,0.02058861,-0.60377204,3.80307770,8.96575546,0.03317767,-0.10176622,0.02191148
45.549999,-0.86281902,5.11912298,8.20581245,0.07658400,-0.14530399,0.03214500,-0.66241074,3.59831667,8.83836174,0.02087290,-0.12014200,0.03267066,-0.48560429,3.66701555,8.89960384,0.00370265,-0.11343265,0.02033640
45.575001,-0.94956303,4.91557598,8.08739376,0.04291800,-0.09483900,0.10076700,-0.65028518,3.81394076,8.84428692,0.06929225,-0.14737809,0.04844144,-0.59658605,3.85452223,8.79233360,0.10574542,-0.13471992,0.04416499
45.599998,-0.87247401,5.52641201,8.44195271,0.26414701,-0.18069400,0.00911600,-0.54658222,4.01312780,9.06852913,0.02767501,-0.13472189,0.03230819,-0.42684612,4.00016022,9.05550766,0.03915474,-0.15198331,0.03247947
45.625000,-0.57335597,6.01934004,8.30363941,0.01023200,-0.09580500,0.02869600,-0.42782348,4.21026850,9.02310944,0.02741340,-0.10883261,-0.00125247,-0.37477669,4.20939827,8.91870117,0.03032581,-0.12653603,0.00315647
45.650002,-0.83522201,5.83585405,8.34249306,-0.08908900,-0.11095100,-0.02947900,-0.41054353,3.99102521,8.95191002,-0.05529450,-0.10852985,-0.04271856,-0.32772240,4.32289553,9.04968739,-0.04396975,-0.10509980,-0.03328376
45.674999,-0.54960299,4.59578514,8.46366119,-0.50107002,-0.13855900,0.05762700,-0.45177609,3.22351122,8.97499084,-0.04385124,-0.11916295,-0.01339213,-0.19181152,3.38983679,9.00043678,-0.05247957,-0.11104909,-0.02417483
45.700001,-0.57915097,3.59463310,7.68715000,0.33667701,-0.24551199,0.08723700,0.38440055,4.43197870,9.00968647,0.07391013,-0.12556355,0.01150362,-0.03115528,3.56725264,8.83889580,0.16439345,-0.18514283,0.03175984
45.724998,0.12169500,8.99255562,8.52396870,1.15879405,-0.09297000,-0.42396000,-0.13673092,4.56736231,8.82311535,-0.19506225,-0.12393031,-0.11691331,0.15029043,5.15881729,9.22472477,-0.24226898,-0.15296440,-0.12327866
