model_name,model_role,num_windows,rmse_mean,input_rmse_mean,acc_norm_rmse,gyr_norm_rmse,input_acc_norm_rmse,input_gyr_norm_rmse,acc_channel_rmse_mean,gyr_channel_rmse_mean,input_acc_channel_rmse_mean,input_gyr_channel_rmse_mean,acc_channel_rmse_improvement,gyr_channel_rmse_improvement,pearson_mean,hf_ratio_improvement_mean,psd_distance_mean
tcn,trained,3023,0.5773343977967842,1.3392869434413723,0.9108118423887073,0.3201369329114123,2.102935926260422,1.0548053896336518,0.9058513088298251,0.24881748676374296,2.025400627598747,0.6531732592839978,1.1195493187689212,0.40435577252025484,0.9070916938091699,5.069452095002253,0.09941941075001533
identity,baseline,3023,1.2119204909633907,1.3392869434413723,1.9772035341723408,0.9031399381024288,2.102935926260422,1.0548053896336518,1.83292131237164,0.5909196695551414,2.025400627598747,0.6531732592839978,0.19247931522710648,0.062253589728856494,0.7824835697522454,1.3062829350029566,0.41320392998884414
lowpass,baseline,3023,0.7864976121783199,1.3392869434413723,1.3169646352613322,0.4440779152557422,2.102935926260422,1.0548053896336518,1.2545914314518836,0.3184037929047564,2.025400627598747,0.6531732592839978,0.7708091961468629,0.3347694663792415,0.876549011378442,4.691365082471607,0.2221873497710927
butterworth,baseline,3023,0.7882682141020178,1.3392869434413723,1.3727652741669425,0.3936422011377963,2.102935926260422,1.0548053896336518,1.277635347112489,0.29890108109154634,2.025400627598747,0.6531732592839978,0.7477652804862573,0.35427217819245144,0.8604226002841674,4.674312181027227,0.19237790071013425
savgol,baseline,3023,0.8108022240435346,1.3392869434413723,1.410251377371617,0.4254753057438812,2.102935926260422,1.0548053896336518,1.3078962475807379,0.3137082005063315,2.025400627598747,0.6531732592839978,0.7175043800180086,0.33946505877766625,0.854960476716075,4.763900461750677,0.19300438026180175
wiener,baseline,3023,0.9391967891956026,1.3392869434413723,1.5692952900996793,0.6232055178266946,2.102935926260422,1.0548053896336518,1.4583233002150569,0.4200702781761483,2.025400627598747,0.6531732592839978,0.5670773273836898,0.23310298110784952,0.8139493637063313,4.435024413986722,0.23057052040310885
