motion_name,kc_type,experiment_id,motion_folder,motion_index,segment_id,sampling_frequency_hz,time_s,acc_nonrigid_norm,acc_rigid_norm,gyr_nonrigid_norm,gyr_rigid_norm,nonrigid_acc_x,rigid_acc_x,nonrigid_acc_y,rigid_acc_y,nonrigid_acc_z,rigid_acc_z,nonrigid_gyr_x,rigid_gyr_x,nonrigid_gyr_y,rigid_gyr_y,nonrigid_gyr_z,rigid_gyr_z
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.450000,10.01907063,9.72523975,0.08169154,0.07422397,0.00129700,0.38802969,7.60788679,9.02101326,-6.51934290,-3.61262345,0.04222900,-0.01914809,0.02265700,-0.01728670,0.06615800,0.06959683
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.475000,9.86782265,9.84108639,0.35756963,0.09464475,-0.21820700,0.25987095,7.15274000,9.11373901,-6.79445505,-3.70394492,-0.33932701,-0.03367686,-0.00915100,-0.04003986,0.11238100,0.07886892
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.500000,9.55103683,9.89978790,0.20382015,0.09701316,-0.08599800,0.38165602,6.74206018,9.22835636,-6.76457977,-3.56336641,-0.15232100,-0.05615204,-0.10785200,-0.04397791,0.08190800,0.06576051
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.525000,9.72453117,9.92709446,0.27319080,0.08268000,0.34338599,0.43532246,7.13619518,9.30085087,-6.59722090,-3.44265580,0.26820201,-0.07238659,0.04783300,0.00629758,0.02032000,0.03945256
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.550000,10.22335148,9.98018837,0.20482373,0.07167462,-0.22386201,0.36019361,7.62716484,9.23672581,-6.80390692,-3.76262212,0.10983800,-0.05129249,0.17195900,0.02133425,-0.01784600,0.04528997
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.575000,10.13463593,9.98912716,0.30925828,0.06495273,-0.29530299,0.35193661,7.39236403,9.25345898,-6.92651415,-3.74597239,-0.27239200,-0.04043928,-0.11042400,-0.01669513,0.09617600,0.04800828
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.600000,9.71930695,9.93277836,0.28968811,0.06776397,0.34910601,0.49927905,6.94628096,9.22620296,-6.78912687,-3.64526963,-0.27170700,-0.03603845,-0.08123700,-0.02326874,0.05911900,0.05245714
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.625000,9.65361786,9.90722179,0.10791076,0.06520825,0.06588000,0.39140084,6.76668787,9.19447041,-6.88476086,-3.66900015,0.00294700,-0.04038478,0.09745200,-0.01533065,0.04625100,0.04884829
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.650000,9.96614647,10.01147652,0.25184777,0.06769735,-0.33288801,0.30227959,7.14454889,9.27123165,-6.94036579,-3.76597333,0.25154501,-0.06054596,0.01046400,-0.02398359,0.00655100,0.01849066
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.675000,10.30149174,10.02283859,0.10936400,0.07278811,0.07485300,0.42809618,7.66996908,9.27304554,-6.87653303,-3.77950382,0.07742300,-0.06295578,-0.07553200,-0.03505340,-0.01615800,-0.01029264
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.700000,9.94884300,9.88766670,0.30608529,0.03715215,0.05801600,0.49197829,7.40654707,9.17226410,-6.64222622,-3.65970874,-0.30330700,-0.02351953,-0.03179400,-0.02642674,0.02611900,-0.01134642
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.725000,9.64034367,9.94876671,0.19288024,0.01967591,-0.02652400,0.37813941,6.80828285,9.28190231,-6.82515907,-3.56107545,-0.18891500,0.01075626,-0.03826200,-0.00572433,-0.00706600,-0.01544915
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.750000,9.66804790,9.83493519,0.14635403,0.03584319,0.01798000,0.36184570,6.86443806,9.10281181,-6.80810690,-3.70591784,0.14045800,0.02047549,0.00376200,-0.00706971,-0.04095000,-0.02855709
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.775000,9.73945045,9.70554829,0.09895658,0.03723662,-0.10756400,0.34269169,7.11809015,8.97392559,-6.64666224,-3.68088150,0.09700700,0.01085952,-0.00405400,-0.02649261,-0.01912100,-0.02380710
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.800000,9.65697861,9.72956848,0.05514828,0.03330303,-0.08538300,0.36442477,7.14832401,9.06754208,-6.49241209,-3.50875711,-0.00939600,0.00324142,-0.05341000,-0.01944832,-0.01002100,-0.02683929
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.825000,9.66219234,9.79344749,0.05388479,0.03655923,0.10826500,0.38619238,7.14243984,9.15403080,-6.50628805,-3.45921707,0.02248900,-0.00084792,-0.01762400,0.01253384,-0.04568600,-0.03433309
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.850000,9.84394836,9.82991600,0.09299251,0.04225795,-0.16601001,0.30508813,7.14884281,9.11053944,-6.76533890,-3.67861867,0.00567600,0.01054731,0.07704600,0.01821866,-0.05176200,-0.03664108
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.875000,9.70114422,9.75138664,0.14239529,0.03617677,-0.27254701,0.22934197,6.95052195,8.99482346,-6.76225996,-3.75900149,-0.12381000,0.03169200,-0.07004100,-0.01042771,-0.00646200,-0.01398709
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.900000,9.47829723,9.75688076,0.04274494,0.02960752,-0.05870900,0.22295091,6.74400711,9.08552647,-6.65980816,-3.54967856,-0.01705100,0.02234617,-0.02793400,-0.01829140,0.02749700,-0.00653289
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.925000,9.65802383,9.89122391,0.30840662,0.02947082,-0.05784200,0.37655643,7.05652189,9.26379204,-6.59390402,-3.44625473,0.29944700,-0.00349309,0.01916500,0.01048775,-0.07126600,-0.02731913
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.950000,10.14497280,9.92687225,0.21111028,0.03536277,0.06387800,0.38691211,7.65169191,9.22844219,-6.66093016,-3.63716030,0.19966900,-0.00004107,0.05165700,0.02936658,-0.04507100,-0.01970096
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.975000,10.14127350,9.97546959,0.24538286,0.01355743,-0.30226699,0.29875648,7.43903112,9.25115395,-6.88584614,-3.71979642,-0.24399900,-0.01241027,0.02440200,-0.00097000,0.00904300,-0.00537105
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,1.000000,9.65553856,9.94236565,0.28613055,0.03000659,-0.07638400,0.38584507,6.90209198,9.26749229,-6.75164604,-3.57985210,-0.24318901,-0.01262164,-0.14819600,-0.02700732,0.02770800,0.00341964
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,1.025000,9.62707138,9.91565514,0.10748341,0.01173380,0.33493999,0.39863077,6.88849115,9.27306557,-6.71691990,-3.48877668,0.10328200,-0.00131998,0.02732100,0.00006750,0.01179300,0.01165912
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,1.050000,9.96235657,9.94373703,0.28589842,0.01014460,-0.32429200,0.27906850,7.24753380,9.23348236,-6.82763815,-3.68005848,0.24660701,0.00524088,0.13950400,0.00066055,-0.03823000,0.00866081
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,1.075000,10.00463009,9.83581734,0.10476501,0.03584982,-0.34839100,0.19083096,7.43314600,9.11927128,-6.68727016,-3.68045855,-0.03699800,0.00300658,-0.08773100,-0.02953881,0.04370500,0.02009051
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,1.100000,9.70614719,9.86937618,0.20952974,0.03815128,-0.03200200,0.25479439,7.11056519,9.21707439,-6.60667276,-3.51926231,-0.19779600,-0.01795169,-0.04387000,-0.02461786,0.05343100,0.02296124
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,1.125000,9.65322971,9.80726433,0.02466826,0.03112456,-0.01751000,0.37772968,6.97813606,9.13658142,-6.67009497,-3.54438233,-0.02208600,-0.02483924,0.00462500,0.00580608,-0.00996700,0.01783366
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,1.150000,9.80714417,9.86432076,0.05473733,0.03355179,-0.04376900,0.34701136,7.05522203,9.14936733,-6.81190109,-3.67062545,0.03766500,-0.02503967,0.02273000,-0.00186465,0.03257100,0.02225446
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,1.175000,9.85161877,9.83220959,0.01344249,0.03710780,-0.10773100,0.34895530,7.17245913,9.11802197,-6.75267506,-3.66227388,0.00745000,-0.03030118,-0.01108900,-0.01232304,0.00149400,0.01752056
