motion_name,kc_type,experiment_id,motion_folder,motion_index,segment_id,sampling_frequency_hz,time_s,acc_nonrigid_norm,acc_rigid_norm,gyr_nonrigid_norm,gyr_rigid_norm,nonrigid_acc_x,rigid_acc_x,nonrigid_acc_y,rigid_acc_y,nonrigid_acc_z,rigid_acc_z,nonrigid_gyr_x,rigid_gyr_x,nonrigid_gyr_y,rigid_gyr_y,nonrigid_gyr_z,rigid_gyr_z
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.674999,9.91407299,10.11331177,0.83592039,0.37635860,-0.85500199,-0.12763999,-6.76113176,-7.59435511,7.20034122,6.67746592,-0.82899201,-0.34294450,-0.07387100,-0.06252311,-0.07796300,-0.14186512
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.700001,10.36108303,10.02931881,0.50069147,0.39396611,-0.40541700,-0.24721432,-8.36410141,-7.74102449,6.10159683,6.37202072,-0.47988799,-0.36649945,-0.06226300,-0.06339543,-0.12854099,-0.12987870
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.724998,10.35069752,9.99622250,0.15472986,0.19659886,-0.72821599,0.01491346,-8.26717758,-8.20435810,6.18550110,5.71075773,0.01687000,0.08186015,-0.08621400,-0.07662997,-0.12737300,-0.16148645
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.750000,9.75194454,9.80175114,0.44773370,0.15463403,0.05019300,-0.08674482,-7.64313412,-7.67982674,6.05643511,6.08991480,0.41207001,0.01688046,-0.06227500,-0.07882657,-0.16366300,-0.13195874
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.775002,9.54166222,9.98797226,0.30197087,0.23842449,-1.22855902,-0.31313506,-6.63041306,-7.84141588,6.75067282,6.17848969,-0.30090201,-0.19090669,-0.01769800,-0.10916752,-0.01819800,-0.09210497
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.799999,10.28820896,9.90302944,0.51251835,0.34997708,-0.38431999,-0.43831044,-7.76101303,-7.37027931,6.74286413,6.59976244,-0.45535699,-0.32480270,-0.19792800,-0.09090120,-0.12708101,-0.09340308
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.825001,10.29758739,10.10632229,0.36352152,0.31381989,-0.98247498,-0.07079880,-7.73261595,-7.76000404,6.72916698,6.47418499,-0.35393801,-0.28639328,-0.00444700,-0.12830265,0.08280100,-0.00049717
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.849998,9.94757175,9.70943356,0.27408546,0.14551750,-0.00054700,-0.03366997,-7.51640797,-7.61086464,6.51596498,6.02882290,0.11608800,-0.12723856,-0.19705100,-0.04715375,-0.15105399,-0.05255681
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.875000,8.77040386,9.74820805,0.31464347,0.46560609,-0.65697098,-0.13489015,-5.88028479,-7.65327597,6.47384214,6.03628492,-0.27030900,-0.44149244,0.15814900,-0.05511318,-0.03037200,-0.13724424
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.900002,9.85583878,9.91293716,1.19865072,0.42554095,-0.41117999,0.02281890,-7.84457207,-8.01285839,5.95240879,5.83608675,-1.14860702,-0.38478631,-0.22369500,-0.00443221,-0.25966501,-0.18167266
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.924999,11.23446274,9.82110691,0.27871379,0.23383680,0.18991600,0.02537990,-9.58479214,-7.94799185,5.85737514,5.76913404,0.06840000,-0.06863105,0.26002201,0.09222600,-0.07342600,-0.20362660
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.950001,9.17177105,9.64194202,0.82345873,0.24333616,-1.27890599,-0.09637428,-7.07558489,-7.81655169,5.69402122,5.64440250,0.75925702,0.13231091,0.01427900,0.01784336,-0.31844801,-0.20344022
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,35.974998,8.76995373,9.45611477,0.37422708,0.23720741,0.20184900,0.12575965,-6.70470285,-7.85786915,5.64962816,5.25891352,-0.31663099,0.14080302,-0.18469200,-0.09495746,-0.07536300,-0.16560480
slow1,arm,exp01,motion03_slow1,motion03,seg2,40.0,36.000000,10.63770771,9.77477741,0.23337151,0.32974112,-0.53553200,0.18793903,-9.41530037,-8.35167503,4.92200613,5.07547855,-0.20900699,0.26758087,-0.09172600,-0.15945143,-0.04862800,-0.10818934
