motion_name,kc_type,experiment_id,motion_folder,motion_index,segment_id,sampling_frequency_hz,time_s,acc_nonrigid_norm,acc_rigid_norm,gyr_nonrigid_norm,gyr_rigid_norm,nonrigid_acc_x,rigid_acc_x,nonrigid_acc_y,rigid_acc_y,nonrigid_acc_z,rigid_acc_z,nonrigid_gyr_x,rigid_gyr_x,nonrigid_gyr_y,rigid_gyr_y,nonrigid_gyr_z,rigid_gyr_z
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.450001,9.44419384,9.53091526,0.30855918,0.06146008,-1.30096495,-0.89308476,4.57620811,3.56364727,8.15834618,8.79438210,0.30329001,0.01007454,-0.05162500,-0.04466266,-0.02363900,0.04100111
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.474998,9.97246265,9.55729580,0.13982338,0.08118568,-0.95917600,-0.86353368,5.65834618,3.76159072,8.15555763,8.74337769,0.10335300,0.01162957,-0.05426900,-0.05431718,0.07696500,0.05920736
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.500000,9.87621689,9.76653862,0.09261673,0.05597376,-1.17776501,-0.80241472,5.38360786,4.08204269,8.19568729,8.83619499,-0.06919700,0.01156755,-0.01738900,-0.03368664,0.05905300,0.04317944
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.525002,9.81919479,9.72505760,0.06365544,0.05341430,-1.03094196,-0.81587738,5.30246687,3.95875859,8.19985294,8.84529972,0.05547700,0.03586512,-0.01346800,-0.01073415,0.02815900,0.03809932
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.549999,9.77943325,9.60207367,0.07966460,0.07156722,-1.16892803,-0.87835258,5.25061321,3.74371767,8.16712856,8.79846001,-0.03847700,0.03290097,0.01788400,-0.02796351,0.06742500,0.05707394
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.575001,9.43612862,9.65917778,0.12885207,0.09707453,-1.24424005,-0.80414146,4.83828402,3.94731164,8.00521088,8.77905464,0.04121200,0.03574513,-0.06750600,-0.05336517,0.10172200,0.07278673
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.599998,10.26816750,9.95577145,0.35059223,0.05352730,-0.90820903,-0.75806987,5.96834421,4.29216814,8.30597878,8.95097828,0.34666401,-0.01148769,-0.04778900,-0.03317809,-0.02133500,0.04040320
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.625000,10.52503967,9.74614525,0.31570005,0.10168336,-0.85414702,-0.56462854,6.08166885,3.86724210,8.54752636,8.92821217,-0.30591300,0.07954965,0.02818500,0.00176709,0.07272800,0.06331065
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.650002,9.02447319,9.59617329,0.26902911,0.11853874,-0.96206498,-0.69762391,4.00521088,3.58690667,8.02956009,8.87321568,-0.12121100,0.07571455,-0.00250700,0.00234540,0.24016300,0.09117696
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.674999,9.41495323,9.66318989,0.46281686,0.11579381,-0.98155999,-0.69350833,4.82237387,3.89995146,8.02636909,8.81400394,0.44838500,0.05554262,0.06222400,-0.00869707,-0.09632500,0.10123035
