motion_name,kc_type,experiment_id,motion_folder,motion_index,segment_id,sampling_frequency_hz,time_s,acc_nonrigid_norm,acc_rigid_norm,gyr_nonrigid_norm,gyr_rigid_norm,nonrigid_acc_x,rigid_acc_x,nonrigid_acc_y,rigid_acc_y,nonrigid_acc_z,rigid_acc_z,nonrigid_gyr_x,rigid_gyr_x,nonrigid_gyr_y,rigid_gyr_y,nonrigid_gyr_z,rigid_gyr_z
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,45.099998,8.62736416,9.68994617,0.31477115,0.03237755,-1.21457899,-0.86449111,3.05554795,3.57056928,7.97620392,8.96653461,0.31227800,-0.02685970,-0.03709900,-0.01020647,-0.01367400,-0.01492281
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,45.125000,10.88986015,9.95344830,0.79635108,0.04977570,-1.00651205,-0.93125600,6.49979210,3.93531108,8.67920971,9.09490108,0.74906301,0.02739489,0.10182300,0.02757558,-0.25042301,-0.03109225
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,45.150002,10.74806976,9.40935135,0.93828052,0.05768234,-1.32901394,-0.91029322,5.84978008,2.85858703,8.91822815,8.91828156,-0.91818500,0.05428483,-0.02781400,0.01925925,0.19113600,0.00308070
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,45.174999,7.72130775,9.67475891,0.14260334,0.04878983,-1.15061998,-0.85708779,2.04047108,3.87508965,7.35738707,8.82326698,-0.00483100,0.01347480,-0.05258200,-0.01819091,0.13246700,0.04321999
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,45.200001,10.67703915,9.83140469,1.18660533,0.02266295,-1.11054802,-0.98882753,6.35747099,3.90043783,8.50578690,8.97024632,1.14349902,0.01175934,0.09362900,-0.00405261,-0.30278000,0.01894475
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,45.224998,11.53530979,9.66625690,0.63424540,0.01905083,-1.51424599,-1.09851933,7.40889502,3.79413247,8.71083832,8.82237720,-0.61043400,-0.01575493,0.02383200,0.01052885,0.17049800,-0.00196459
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,45.250000,8.56544590,9.72593975,0.69507402,0.03358931,-1.38297105,-1.02759838,3.23750710,3.75337315,7.80850792,8.91348076,-0.68161500,-0.03043276,-0.09024000,0.01390122,0.10191000,-0.00297405
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,45.275002,9.14617729,9.44536400,0.58070838,0.04920395,-0.97153401,-0.95802701,3.83131790,3.11587834,8.24801064,8.86500931,0.56327897,0.03356926,0.08942300,0.01727176,-0.10928200,0.03155662
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,45.299999,10.32356739,9.40677166,0.19375145,0.09244407,-1.42925298,-0.92562431,5.75121021,3.35914087,8.45321655,8.73766232,0.17156699,0.03481579,0.01137400,-0.00878524,0.08930300,0.08518559
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,45.325001,9.29123974,9.69900703,0.34534609,0.11185404,-1.11173105,-0.95912039,4.68235397,3.84702063,7.94775105,8.85162449,-0.28956300,0.01417387,-0.06245800,-0.03760468,0.17752799,0.10438541
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,45.349998,10.00552559,9.90350056,0.41313064,0.07886309,-1.15617096,-0.77485687,5.15847492,3.84571123,8.49493694,9.09337234,0.41302401,0.03309463,0.00602100,-0.02034092,-0.00719900,0.06863221
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,45.375000,10.42836189,9.90943527,0.07103611,0.09301248,-1.01336300,-0.90869194,6.05251122,3.95382309,8.43154430,9.04093361,0.02811500,0.06917019,0.02910500,-0.01575216,0.05838300,0.06015542
