motion_name,rmse_acc_x,pearson_acc_x,input_rmse_acc_x,psd_distance_acc_x,rmse_acc_y,pearson_acc_y,input_rmse_acc_y,psd_distance_acc_y,rmse_acc_z,pearson_acc_z,input_rmse_acc_z,psd_distance_acc_z,rmse_gyr_x,pearson_gyr_x,input_rmse_gyr_x,psd_distance_gyr_x,rmse_gyr_y,pearson_gyr_y,input_rmse_gyr_y,psd_distance_gyr_y,rmse_gyr_z,pearson_gyr_z,input_rmse_gyr_z,psd_distance_gyr_z,rmse_mean,input_rmse_mean,pearson_mean,psd_distance_mean,acc_norm_rmse,gyr_norm_rmse,input_acc_norm_rmse,input_gyr_norm_rmse,acc_channel_rmse_mean,gyr_channel_rmse_mean,input_acc_channel_rmse_mean,input_gyr_channel_rmse_mean,acc_channel_rmse_improvement,gyr_channel_rmse_improvement,hf_ratio_improvement_acc,hf_ratio_improvement_gyr,hf_ratio_improvement_mean
canonical,0.20473385145146908,0.8776443206228496,0.37649555481462316,0.006101646310137519,0.35233944118530913,0.7127481663183769,1.5092786920002916,0.026169270168652888,0.21641612854066558,0.7786922599412117,0.7903403583363715,0.02436694706225353,0.07146192399509758,0.8069670397093988,0.3141046079404822,0.002187608251143884,0.028358514051598668,0.8825457992384381,0.08613678858223879,0.0005399108126661516,0.030935860992493954,0.9192457554896539,0.07372593501138247,0.0005009973814263834,0.15070762003610566,0.5250136561142316,0.8296405568866548,0.009977729997713392,0.18155003706289624,0.05888838788748465,0.5313302954743532,0.27565003376750447,0.25782980705914793,0.043585433013063404,0.8920382017170954,0.1579891105113678,0.6342083946579474,0.1144036774983044,15.11814305132039,7.932150084874429,11.52514656809741
explosiv,0.7472827022863646,0.9557076289980766,1.8206801997402966,0.16190019773908346,1.5281443133192547,0.8777943901602782,3.7418305142451143,0.3603120110444113,1.4292796145556337,0.9094945298570075,2.806798934532424,0.38557408602091375,0.5760002663327476,0.8909131192036149,1.6496268583051228,0.06505091780744482,0.3099322055103415,0.9606869770680091,0.6003074212978452,0.06724236650864487,0.2962985803325803,0.9266496707532522,0.5049288818770546,0.06432305219140119,0.8144896137228204,1.8540288016663096,0.9202077193400398,0.1840671052186499,1.0340335731284094,0.40105562335101225,2.710093823428881,1.3031845888849032,1.234902210053751,0.3940770173918898,2.7897698828392783,0.9182877204933408,1.5548676727855273,0.5242107031014511,4.483885024838687,6.801665937595229,5.642775481216958
fast,0.5201311606555604,0.9465118604423147,1.2787674572318792,0.08405611309131193,0.9283878582959565,0.9132568004391888,2.9554960190103605,0.1971894059737224,0.8135156758917639,0.9269017432640925,1.8356458974429049,0.18238182106875647,0.3019457583138809,0.9463844246791354,1.1992895524133929,0.033029453175612976,0.15077726729393293,0.9431028044232224,0.4468234389997983,0.011175718584289932,0.12924392304154866,0.9500374955158389,0.3040327786544087,0.014566560840661092,0.47400027391544053,1.336675857292124,0.9376991881272988,0.08706651212239247,0.8041339383747143,0.23774783969588148,2.062595104153913,0.9339305877027353,0.7540115649477602,0.1939889828831208,2.0233031245617146,0.6500485900225332,1.2692915596139545,0.45605960713941246,4.897695471203701,13.78386509068731,9.340780280945506
fast_slow,0.6292453380158314,0.9786605155373725,1.5131956027104305,0.10379077525173601,1.5804588430776045,0.8990831653150348,3.5964906859856387,0.34495036846134236,1.5260465524804134,0.9063648047300353,3.005042956998715,0.4045354564745839,0.5727251419081137,0.92292620909143,1.4952455774522744,0.12265597937277142,0.24425270839665944,0.942263266892958,0.5919714620480171,0.029765607480322406,0.23002844728672733,0.9229672663478933,0.3822239929810166,0.03311856946655518,0.7971261718608917,1.7640283796960154,0.9287108713191207,0.17313612608455187,0.8928377761863745,0.4431865636330958,2.211015587586623,1.1955645092977927,1.2452502445246165,0.34900209919716685,2.704909748564928,0.8231470108271027,1.4596595040403115,0.4741449116299359,6.014699855023109,12.350855043679019,9.182777449351065
fast_slow_fast,0.6116609861298153,0.9375630438036808,1.4924010926281057,0.09382617727571166,1.09726452440733,0.9158932865856229,3.1799936983556973,0.2459804007379803,0.9434345637802921,0.9061940988940018,2.305155920463481,0.24307148377188026,0.40636601436362113,0.9373407977259433,1.4098017149421918,0.057009242211368195,0.1884782859653656,0.9369271848794062,0.5415105074192287,0.018236761512441992,0.15878379484832597,0.9469635109422213,0.3383519060815507,0.02216104058483043,0.5676646949157917,1.5445358066483759,0.9301469871384793,0.11338085101570214,0.9074357000179589,0.3103504358571843,2.3003885049905097,1.0778718838118948,0.8841200247724791,0.25120936505910424,2.3258502371490946,0.7632213761476572,1.4417302123766156,0.5120120110885529,5.024171751575989,12.291234480926294,8.65770311625114
freeze1,0.21995337456464767,0.8222278363149174,0.2684943176805973,0.0008325982111273333,0.5450956776738167,0.5911536203855653,0.8369518339633941,0.001041344035184011,0.7043298169970512,0.24563421234747573,1.9251985371112823,0.001722567027900368,0.042531683668494226,0.648556722897725,0.13789855539798737,0.00013870334114471917,0.021143233124166726,0.8547469947542512,0.04536340460181236,3.0091310054558563e-05,0.020908268727362157,0.9146453141003906,0.021985374856740236,3.220093594791251e-05,0.2589936757925898,0.5393153372686357,0.6794941168000542,0.0006329174768931504,0.1989810898900032,0.034772228263318536,0.2603509649634361,0.11695957705378532,0.4897929564118385,0.028194395173341037,1.010214896251758,0.06841577828551332,0.5204219398399194,0.040221383112172285,16.302883341208304,4.666701148694209,10.484792244951255
freeze2,0.20899542346596717,0.803460147411298,0.28641321286559107,0.00050411560368957,0.4451078806072474,0.7334709149493595,1.0235823288559913,0.0020407284362590873,1.813605497032404,0.5770044880113917,3.2385826110839844,0.002945494750019861,0.0596804385073483,0.7117465682205083,0.23639160990715027,0.00043199269775868744,0.02464790311641991,0.7786788892351133,0.06401545032858849,3.949804181502259e-05,0.02225283975712955,0.7042404274294912,0.036260852497071026,3.194255887137842e-05,0.42904833041441937,0.8142076775897295,0.718100239209527,0.0009989620147356011,0.14327383041381836,0.049648696277290585,0.4354805901646614,0.21858671307563782,0.8225696003685394,0.035527060460299256,1.5161927176018557,0.11222263757760327,0.6936231172333162,0.076695577117304,15.99910712765337,5.011779162078716,10.505443144866042
gait_fast,0.747479348303062,0.8979977781892547,1.9291398633684358,0.06696586189006437,0.7039534394009948,0.8348532405888901,1.877754296002717,0.04517431330991197,0.9575293326741222,0.873583515046761,1.7052355303626343,0.12773233689840172,0.2295398314992709,0.9276604526150656,0.8128834034063913,0.008836860263564573,0.26224289923227334,0.9593644068687103,0.7492705646668345,0.027057762314705244,0.12824239034178148,0.927204656500652,0.23595001589979409,0.006317313867381463,0.5048312069085841,1.2183722789511344,0.9034440083015556,0.04701407475733822,0.8598800700304691,0.27134548021306104,1.9204552357805333,0.9343405339187882,0.802987373459393,0.20667504035777523,1.8373765632445955,0.5993679946576732,1.0343891897852027,0.39269295429989803,3.144086561993565,7.745244437842699,5.444665499918131
gait_slow,0.6898377901353177,0.891092440763909,2.0330725265608267,0.09407363809243992,0.5746783338440289,0.7974661570781771,1.3191369204213783,0.02866910669554501,0.9521278868446935,0.8739366719338302,1.5771954188181918,0.17177138564276456,0.16778592668918882,0.8884509320101046,0.5422796214828209,0.003699492184045958,0.27746153694237785,0.9435580235534013,0.8497458433274051,0.030870637831921087,0.10243440209741488,0.8620284163625673,0.16917522216139583,0.0023518060950196156,0.46072097942550355,1.0817675921286698,0.8760887736169983,0.05523934442362269,0.8304152634580555,0.28247771836881697,1.9155423299673031,0.9442820598482617,0.7388813369413467,0.18256062190966052,1.6431349552667989,0.5204002289905406,0.9042536183254524,0.3378396070808801,3.920638313005542,5.59431597537533,4.757477144190436
pause,0.326422518456266,0.14854976981791781,0.33932453221863224,2.1393857354095894e-05,0.5101849258655593,0.04733105464009772,1.1223072873694555,0.001131669143112612,0.34662026195299056,0.2026662134346415,1.10792856986324,7.229799106685927e-05,0.0063610532764522805,0.21031324330131754,0.008238047243849862,8.266447106767113e-07,0.003955774651175099,0.26005899860525716,0.006130554891812304,8.871429472938936e-07,0.007226402010946047,0.1755404829783163,0.008037459313692081,6.633218733482983e-07,0.20012848936889824,0.431994408483447,0.17407662712959132,0.00020462301684414768,0.06671584528826532,0.0059053392526471895,0.0556825379353194,0.00823918359265441,0.39440923542493866,0.005847743312857809,0.8565201298171093,0.00746868714978475,0.46211089439217057,0.0016209438369269409,1.7155920664086217,30.16563866220118,15.9406153643049
