variant_name,description,outputs_root,attach_latent_dim,time_l1,mse,derivative,spectral,smoothness,attach_l2,attach_temporal,acc_channel_rmse_improvement,acc_channel_rmse_mean,acc_norm_rmse,gyr_channel_rmse_improvement,gyr_channel_rmse_mean,gyr_norm_rmse,hf_ratio_improvement_mean,input_acc_channel_rmse_mean,input_acc_norm_rmse,input_gyr_channel_rmse_mean,input_gyr_norm_rmse,input_rmse_mean,num_windows,pearson_mean,psd_distance_mean,rmse_mean,seed,seed_label
full_model,Attachment latent code + composite loss.,outputs/supervised_tcn_causal_ablations/full_model/seed_runs/seed_0042,8,1.0,0.5,0.3,0.2,0.0,0.001,0.001,0.8567295178502111,0.6333173577826527,0.5167931141427804,0.2550112836029978,0.13876833743137085,0.1752852635611921,8.356055724919756,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8513325428860242,0.05279822529649601,0.38604284760701174,42,seed_0042
full_model,Attachment latent code + composite loss.,outputs/supervised_tcn_causal_ablations/full_model/seed_runs/seed_0043,8,1.0,0.5,0.3,0.2,0.0,0.001,0.001,0.8484310042131765,0.6416158714196873,0.5207738707472728,0.2524490089260754,0.1413306121082932,0.17837178508284948,8.27357994353203,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8511253418857607,0.05700356409670256,0.3914732417639903,43,seed_0043
full_model,Attachment latent code + composite loss.,outputs/supervised_tcn_causal_ablations/full_model/seed_runs/seed_0044,8,1.0,0.5,0.3,0.2,0.0,0.001,0.001,0.8460701705676542,0.6439767050652097,0.5208605637468141,0.24999658731719993,0.1437830337171687,0.18129030066783652,8.243875548989553,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8507010821091386,0.05700370240754918,0.3938798693911892,44,seed_0044
mse_only,Use only MSE reconstruction loss.,outputs/supervised_tcn_causal_ablations/mse_only/seed_runs/seed_0042,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8295163165329072,0.6605305590999566,0.5300820951990729,0.24496729091820782,0.14881233011616088,0.18238973248026424,8.127094460076284,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8379334138285154,0.0642306857028139,0.40467144460805876,42,seed_0042
mse_only,Use only MSE reconstruction loss.,outputs/supervised_tcn_causal_ablations/mse_only/seed_runs/seed_0043,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8145461628572979,0.6755007127755659,0.5436348093307444,0.24074985582055852,0.1530297652138101,0.18572355318050407,8.09173040596581,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8389328066290241,0.06630354553513254,0.414265238994688,43,seed_0043
mse_only,Use only MSE reconstruction loss.,outputs/supervised_tcn_causal_ablations/mse_only/seed_runs/seed_0044,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8280736017856657,0.6619732738471983,0.5339063971466194,0.24445457542985144,0.14932504560451718,0.18276127374556347,8.13049204925276,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8383665085164024,0.06444444071747155,0.40564915972585774,44,seed_0044
no_attachment_latent,Disable attachment latent code and its regularization terms.,outputs/supervised_tcn_causal_ablations/no_attachment_latent/seed_runs/seed_0042,0,1.0,0.5,0.3,0.2,0.0,0.0,0.0,0.8533147349203529,0.6367321407125108,0.5299878858320469,0.2513713965197804,0.1424082245145882,0.18028485541831524,8.326706856291914,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8513359089150707,0.056647058429818306,0.38957018261354953,42,seed_0042
no_attachment_latent,Disable attachment latent code and its regularization terms.,outputs/supervised_tcn_causal_ablations/no_attachment_latent/seed_runs/seed_0043,0,1.0,0.5,0.3,0.2,0.0,0.0,0.0,0.848917152047253,0.6411297235856106,0.5250525918379159,0.25112973181471676,0.14264988921965185,0.18033404349796384,8.296455307165285,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8513240589442254,0.057223854647531616,0.3918898064026314,43,seed_0043
no_attachment_latent,Disable attachment latent code and its regularization terms.,outputs/supervised_tcn_causal_ablations/no_attachment_latent/seed_runs/seed_0044,0,1.0,0.5,0.3,0.2,0.0,0.0,0.0,0.8470225937487514,0.6430242818841124,0.5279654458141004,0.25121224539468906,0.14256737563967958,0.1807959848373751,8.275244266351685,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.849415646046198,0.0574810828161661,0.39279582876189595,44,seed_0044
no_attachment_regularization,Keep attachment latent code but remove its explicit regularization terms.,outputs/supervised_tcn_causal_ablations/no_attachment_regularization/seed_runs/seed_0042,8,1.0,0.5,0.3,0.2,0.0,0.0,0.0,0.8553042495576123,0.6347426260752516,0.5148214714016498,0.2552309651624862,0.1385486558718824,0.17472901041184727,8.357253725674049,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8512800663680223,0.0522049382376364,0.3866456409735669,42,seed_0042
