segment_id,rmse_acc_x,pearson_acc_x,input_rmse_acc_x,psd_distance_acc_x,rmse_acc_y,pearson_acc_y,input_rmse_acc_y,psd_distance_acc_y,rmse_acc_z,pearson_acc_z,input_rmse_acc_z,psd_distance_acc_z,rmse_gyr_x,pearson_gyr_x,input_rmse_gyr_x,psd_distance_gyr_x,rmse_gyr_y,pearson_gyr_y,input_rmse_gyr_y,psd_distance_gyr_y,rmse_gyr_z,pearson_gyr_z,input_rmse_gyr_z,psd_distance_gyr_z,rmse_mean,input_rmse_mean,pearson_mean,psd_distance_mean,acc_norm_rmse,gyr_norm_rmse,input_acc_norm_rmse,input_gyr_norm_rmse,acc_channel_rmse_mean,gyr_channel_rmse_mean,input_acc_channel_rmse_mean,input_gyr_channel_rmse_mean,acc_channel_rmse_improvement,gyr_channel_rmse_improvement,hf_ratio_improvement_acc,hf_ratio_improvement_gyr,hf_ratio_improvement_mean
seg1,0.41290606780746436,0.9532636407949234,0.784001471614541,0.032269608846951195,0.7507642454803476,0.9182672771428779,1.741269471497559,0.18106070650873635,0.6102088923166471,0.9325672990940302,1.3065336129550638,0.11807635283120842,0.17191951253282767,0.9630613858655687,0.5417620238899686,0.01186082992983262,0.12290130239428244,0.983011296682762,0.2134542393041957,0.009932920246632537,0.11640026265843414,0.966093598229146,0.1844811393221503,0.009210430491256015,0.36418338053166727,0.7952503264305797,0.9527107496348848,0.06040180814243619,0.5536214370784908,0.1404372032634537,1.0560027905671476,0.4037061322998517,0.5912930685348197,0.13707369252851473,1.2772681853557213,0.3132324675054382,0.6859751168209016,0.17615877497692348,0.9378803451943772,2.4662717644117924,1.7020760548030847
seg2,0.4086342620561553,0.9521999891972492,0.9984382112885766,0.03299217920411818,0.9475661245756593,0.8587602735260105,2.971198527352067,0.11495017296941783,0.7267018620283335,0.8767463415842491,1.5894438956923431,0.13408537586341626,0.34942482077922266,0.9166162513089486,1.2292175698982852,0.0182358743514572,0.13238269001242461,0.9665642628000783,0.27671356706045946,0.01300552338931071,0.1287149601619004,0.9700729504971757,0.23260547819913502,0.015905424008834934,0.44890411993561596,1.216269541581811,0.9234933448189518,0.05486242496442585,0.7257817302987004,0.24340518706950676,1.8921806123077285,0.9115700999162423,0.6943007495533827,0.2035074903178492,1.8530268781109958,0.5795122050526266,1.1587261285576127,0.37600471473477737,6.202866860256033,7.559438266810848,6.881152563533441
seg3,0.45138755375470463,0.9447762707394755,1.239827743031724,0.03243902766115993,0.8436539437484825,0.8420183567793711,2.008438557282012,0.12677113572692333,0.8376602463802607,0.8950803928173231,1.3086650308952283,0.14257115341730248,0.24012572825405154,0.941535688487542,0.8449499039228144,0.018979175156036372,0.13243740395073586,0.9716247754798865,0.3274505239594956,0.005060795218139228,0.07955578461472082,0.9598418819321977,0.19062249184767152,0.0033765228393685945,0.43080344345049265,0.9866590418231577,0.9258128943726327,0.054866301669821656,0.7279012494715625,0.19967804884052004,1.6583014743601587,0.7383700273091042,0.7109005812944826,0.15070630560650272,1.518977110402988,0.45434097324332723,0.8080765291085055,0.30363466763682445,2.509227740051189,5.729769482528354,4.119498611289772
seg4,1.2111982447968805,0.8785319920403752,3.2365061780270707,0.23177789156130563,1.064116649317508,0.8012990700082034,2.262706473469734,0.22577097484474276,1.436895053742566,0.8644750540591917,2.4827520256500453,0.3676200655160235,0.2909288205089409,0.8868081627106872,0.9933147891667682,0.017873005519258738,0.49561262881948476,0.9373980234463734,1.3667608735449368,0.07097021140897362,0.1951211099793943,0.8650772188110221,0.3459425731159467,0.012582718689738502,0.7823120845274625,1.7813304854957503,0.8722649201793089,0.15443247792334044,1.5048448148914302,0.4950743723557396,3.167320467349367,1.6005087719066449,1.2374033159523181,0.3272208531026067,2.6606548923822833,0.9020060786092173,1.4232515764299654,0.5747852255066106,2.7841294274084807,6.6185196503168475,4.701324538862664
seg5,0.9887783472436871,0.874827359986594,2.4769346735654416,0.125468941680485,1.1978674955896997,0.8187971508410116,2.6563077867760354,0.2695527503484948,1.76409761109321,0.8351886044763108,3.213892177124105,0.3613414090889086,0.5397108263475896,0.8616374200387864,1.4580819741526518,0.17688742852007974,0.4163059065920615,0.9396937229125771,1.106553182836932,0.058402100054834725,0.31099108290185523,0.8179504223861342,0.44481928001551435,0.0409562283259297,0.8696252116280172,1.8927648457451134,0.8580157801069023,0.17210147633645542,1.0572400235344594,0.530851684644405,2.71040993601655,1.59819119044338,1.316914484642199,0.4223359386138355,2.7823782124885272,1.0031514790016993,1.4654637278463285,0.5808155403878639,5.729055943051654,9.994566736080687,7.861811339566171
