variant,variant_label,changed_term,changed_weight_value,time_l1,mse,spectral,metric,metric_label,metric_direction,mean,std,delta_vs_baseline,delta_percent_vs_baseline,num_seeds,seed_list
mse_0p125,MSE = 0.125,mse,0.125,1.0,0.125,0.2,rmse,RMSE,lower,0.3899492780967675,0.001976200684488979,0.0007042807836248888,0.1809350893361139,5,"42,43,44,45,46"
mse_0p125,MSE = 0.125,mse,0.125,1.0,0.125,0.2,pearson,Pearson,higher,0.8500388994214196,0.0007113944798147406,0.00047681011705869025,0.05612422247432348,5,"42,43,44,45,46"
mse_0p125,MSE = 0.125,mse,0.125,1.0,0.125,0.2,psd_distance,PSD Dist.,lower,0.053987116501009916,0.0011328739678283662,-1.800794072073786e-05,-0.03334487404092124,5,"42,43,44,45,46"
mse_0p125,MSE = 0.125,mse,0.125,1.0,0.125,0.2,hf_ratio_improvement,HF Improve.,higher,8.301930179268597,0.016358091075563463,0.0037259478482152275,0.04490065253042665,5,"42,43,44,45,46"
mse_0p125,MSE = 0.125,mse,0.125,1.0,0.125,0.2,acc_norm_rmse,Acc Norm RMSE,lower,0.5223337910304313,0.0030343143796455235,0.0013224543842865755,0.2538244931097818,5,"42,43,44,45,46"
mse_0p125,MSE = 0.125,mse,0.125,1.0,0.125,0.2,gyr_norm_rmse,Gyr Norm RMSE,lower,0.18181969893131916,0.0019509050007759144,0.004190529265870269,2.359144769838655,5,"42,43,44,45,46"
mse_0p25,MSE = 0.25,mse,0.25,1.0,0.25,0.2,rmse,RMSE,lower,0.3894094651642703,0.002824297303430095,0.00016446785112766982,0.0422530417251214,5,"42,43,44,45,46"
mse_0p25,MSE = 0.25,mse,0.25,1.0,0.25,0.2,pearson,Pearson,higher,0.8500502587270203,0.0011858295970548628,0.00048816942265939023,0.057461300216340105,5,"42,43,44,45,46"
mse_0p25,MSE = 0.25,mse,0.25,1.0,0.25,0.2,psd_distance,PSD Dist.,lower,0.05343232747186214,0.001168722147094824,-0.0005727969698685123,-1.0606344782827732,5,"42,43,44,45,46"
mse_0p25,MSE = 0.25,mse,0.25,1.0,0.25,0.2,hf_ratio_improvement,HF Improve.,higher,8.308293678233987,0.021932163210405805,0.010089446813605463,0.12158590620610069,5,"42,43,44,45,46"
mse_0p25,MSE = 0.25,mse,0.25,1.0,0.25,0.2,acc_norm_rmse,Acc Norm RMSE,lower,0.5212819986072977,0.0017283480245732087,0.0002706619611529959,0.05194934200382311,5,"42,43,44,45,46"
mse_0p25,MSE = 0.25,mse,0.25,1.0,0.25,0.2,gyr_norm_rmse,Gyr Norm RMSE,lower,0.17972206420090203,0.0027818524822001535,0.002092894535453138,1.1782380897208193,5,"42,43,44,45,46"
mse_0p75,MSE = 0.75,mse,0.75,1.0,0.75,0.2,rmse,RMSE,lower,0.3875310012690612,0.0017110617806428612,-0.0017139960440814006,-0.4403386185853823,5,"42,43,44,45,46"
mse_0p75,MSE = 0.75,mse,0.75,1.0,0.75,0.2,pearson,Pearson,higher,0.8495640180086843,0.0005014278392321642,1.928704323361785e-06,0.0002270233509290708,5,"42,43,44,45,46"
mse_0p75,MSE = 0.75,mse,0.75,1.0,0.75,0.2,psd_distance,PSD Dist.,lower,0.05390511604006284,0.0009458543650544872,-0.00010000840166781572,-0.18518317048916486,5,"42,43,44,45,46"
mse_0p75,MSE = 0.75,mse,0.75,1.0,0.75,0.2,hf_ratio_improvement,HF Improve.,higher,8.309470221042375,0.02851138332637033,0.0112659896219931,0.13576418834493703,5,"42,43,44,45,46"
mse_0p75,MSE = 0.75,mse,0.75,1.0,0.75,0.2,acc_norm_rmse,Acc Norm RMSE,lower,0.518891298828879,0.0017321263761363778,-0.002120037817265774,-0.4069081933826788,5,"42,43,44,45,46"
mse_0p75,MSE = 0.75,mse,0.75,1.0,0.75,0.2,gyr_norm_rmse,Gyr Norm RMSE,lower,0.17605761387152943,0.0022187568419397077,-0.0015715557939194602,-0.8847397062539709,5,"42,43,44,45,46"
mse_1p0,MSE = 1,mse,1,1.0,1.0,0.2,rmse,RMSE,lower,0.3864784030822581,0.0016044408889067687,-0.0027665942308844893,-0.7107590977357635,5,"42,43,44,45,46"
mse_1p0,MSE = 1,mse,1,1.0,1.0,0.2,pearson,Pearson,higher,0.8495262120895731,0.000587557305961422,-3.5877214787816136e-05,-0.004223024454539061,5,"42,43,44,45,46"
mse_1p0,MSE = 1,mse,1,1.0,1.0,0.2,psd_distance,PSD Dist.,lower,0.05290564500008934,0.0009713664834180359,-0.0010994794416413142,-2.035879841046581,5,"42,43,44,45,46"
mse_1p0,MSE = 1,mse,1,1.0,1.0,0.2,hf_ratio_improvement,HF Improve.,higher,8.311668866759002,0.023859990972212225,0.013464635338619857,0.16225962826556212,5,"42,43,44,45,46"
mse_1p0,MSE = 1,mse,1,1.0,1.0,0.2,acc_norm_rmse,Acc Norm RMSE,lower,0.5166027622698933,0.0019499036899465953,-0.004408574376251417,-0.8461570922103734,5,"42,43,44,45,46"
mse_1p0,MSE = 1,mse,1,1.0,1.0,0.2,gyr_norm_rmse,Gyr Norm RMSE,lower,0.17530263741283833,0.002207815940727278,-0.0023265322526105636,-1.3097692552368574,5,"42,43,44,45,46"
spec_0p05,Spectral = 0.05,spectral,0.05,1.0,0.5,0.05,rmse,RMSE,lower,0.38786799141404776,0.0029560680253982357,-0.0013770058990948408,-0.3537632875438235,5,"42,43,44,45,46"
spec_0p05,Spectral = 0.05,spectral,0.05,1.0,0.5,0.05,pearson,Pearson,higher,0.8481476208372563,0.0007244895776225175,-0.0014144684671046903,-0.16649383075260415,5,"42,43,44,45,46"
spec_0p05,Spectral = 0.05,spectral,0.05,1.0,0.5,0.05,psd_distance,PSD Dist.,lower,0.055298865614481274,0.0012385774564353297,0.0012937411727506204,2.395589652138502,5,"42,43,44,45,46"
spec_0p05,Spectral = 0.05,spectral,0.05,1.0,0.5,0.05,hf_ratio_improvement,HF Improve.,higher,8.246907050009918,0.0429584761842988,-0.051297181410463466,-0.6181720765106196,5,"42,43,44,45,46"
