model_name,model_role,num_seeds,num_windows_mean,num_windows_std,rmse_mean_mean,rmse_mean_std,input_rmse_mean_mean,input_rmse_mean_std,acc_norm_rmse_mean,acc_norm_rmse_std,gyr_norm_rmse_mean,gyr_norm_rmse_std,input_acc_norm_rmse_mean,input_acc_norm_rmse_std,input_gyr_norm_rmse_mean,input_gyr_norm_rmse_std,acc_channel_rmse_mean_mean,acc_channel_rmse_mean_std,gyr_channel_rmse_mean_mean,gyr_channel_rmse_mean_std,input_acc_channel_rmse_mean_mean,input_acc_channel_rmse_mean_std,input_gyr_channel_rmse_mean_mean,input_gyr_channel_rmse_mean_std,acc_channel_rmse_improvement_mean,acc_channel_rmse_improvement_std,gyr_channel_rmse_improvement_mean,gyr_channel_rmse_improvement_std,pearson_mean_mean,pearson_mean_std,hf_ratio_improvement_mean_mean,hf_ratio_improvement_mean_std,psd_distance_mean_mean,psd_distance_mean_std
tcn,trained,5,3023.0,0.0,0.5767224315505419,0.005582608440492783,1.3392869434413723,0.0,0.9172880424407788,0.006207857438673224,0.3129984699720329,0.004857252277163208,2.102935926260422,0.0,1.0548053896336518,0.0,0.9072599943781068,0.007936736878384852,0.24618486872297735,0.0032596029875109197,2.025400627598747,0.0,0.6531732592839978,0.0,1.1181406332206398,0.007936736878384731,0.40698839056102043,0.003259602987510888,0.9061208852690446,0.0016773880051053247,5.0874078923335695,0.02704076419274354,0.09834708811121835,0.0026974327858269045
gru,trained_comparison,3,3023.0,0.0,0.5994172607150667,0.0038477566660017055,1.3392869434413723,0.0,0.9379853250524356,0.0033318150626428056,0.3401124566717038,0.006531891728280494,2.102935926260422,0.0,1.0548053896336518,0.0,0.9434237065318878,0.0043500233991355,0.2554108148982458,0.0034018150933824163,2.025400627598747,0.0,0.6531732592839978,0.0,1.0819769210668586,0.0043500233991354805,0.397762444385752,0.0034018150933823694,0.9031429693399794,0.0009469524959649994,5.079854579316456,0.020046570174823263,0.10530469215412057,0.0015905451614881996
transformer,trained_comparison,3,3023.0,0.0,0.5226702297556831,0.007899300699957406,1.3392869434413723,0.0,0.856525407960908,0.014516979482913426,0.29418389918488014,0.010913324197455634,2.102935926260422,0.0,1.0548053896336518,0.0,0.824597200425227,0.010036666227875102,0.22074325908613904,0.005771460337389162,2.025400627598747,0.0,0.6531732592839978,0.0,1.2008034271735193,0.01003666622787501,0.4324300001978587,0.005771460337389116,0.9162957278696858,0.0015652397004304514,5.073703482965404,0.011952612431605553,0.09412585359845833,0.004316716873123667
identity,baseline,5,3023.0,0.0,1.2119204909633907,0.0,1.3392869434413723,0.0,1.9772035341723408,0.0,0.9031399381024288,0.0,2.102935926260422,0.0,1.0548053896336518,0.0,1.83292131237164,0.0,0.5909196695551414,0.0,2.025400627598747,0.0,0.6531732592839978,0.0,0.1924793152271064,0.0,0.0622535897288564,0.0,0.7824835697522454,0.0,1.3062829350029566,0.0,0.4132039299888441,0.0
lowpass,baseline,5,3023.0,0.0,0.7864976121783199,0.0,1.3392869434413723,0.0,1.3169646352613322,0.0,0.4440779152557422,0.0,2.102935926260422,0.0,1.0548053896336518,0.0,1.2545914314518836,0.0,0.3184037929047564,0.0,2.025400627598747,0.0,0.6531732592839978,0.0,0.7708091961468629,0.0,0.3347694663792415,0.0,0.876549011378442,0.0,4.691365082471607,0.0,0.22218734977109272,2.7755575615628914e-17
butterworth,baseline,5,3023.0,0.0,0.7882682141020178,0.0,1.3392869434413723,0.0,1.3727652741669425,0.0,0.3936422011377963,0.0,2.102935926260422,0.0,1.0548053896336518,0.0,1.277635347112489,0.0,0.2989010810915463,0.0,2.025400627598747,0.0,0.6531732592839978,0.0,0.7477652804862573,0.0,0.3542721781924514,0.0,0.8604226002841674,0.0,4.674312181027227,0.0,0.1923779007101342,0.0
savgol,baseline,5,3023.0,0.0,0.8108022240435346,0.0,1.3392869434413723,0.0,1.410251377371617,0.0,0.4254753057438812,0.0,2.102935926260422,0.0,1.0548053896336518,0.0,1.307896247580738,0.0,0.3137082005063315,0.0,2.025400627598747,0.0,0.6531732592839978,0.0,0.7175043800180086,0.0,0.3394650587776662,0.0,0.854960476716075,0.0,4.763900461750677,0.0,0.1930043802618017,0.0
wiener,baseline,5,3023.0,0.0,0.9391967891956025,1.1102230246251565e-16,1.3392869434413723,0.0,1.5692952900996793,0.0,0.6232055178266946,0.0,2.102935926260422,0.0,1.0548053896336518,0.0,1.4583233002150569,0.0,0.4200702781761483,0.0,2.025400627598747,0.0,0.6531732592839978,0.0,0.5670773273836898,0.0,0.2331029811078495,0.0,0.8139493637063314,1.1102230246251565e-16,4.435024413986722,0.0,0.23057052040310883,2.7755575615628914e-17
