motion_name,rmse_mean_tcn,acc_channel_rmse_mean_tcn,gyr_channel_rmse_mean_tcn,pearson_mean_tcn,psd_distance_mean_tcn,acc_norm_rmse_tcn,gyr_norm_rmse_tcn,hf_ratio_improvement_mean_tcn,rmse_mean_lowpass,acc_channel_rmse_mean_lowpass,gyr_channel_rmse_mean_lowpass,pearson_mean_lowpass,psd_distance_mean_lowpass,acc_norm_rmse_lowpass,gyr_norm_rmse_lowpass,hf_ratio_improvement_mean_lowpass,rmse_mean_delta_tcn_minus_lowpass,acc_channel_rmse_mean_delta_tcn_minus_lowpass,gyr_channel_rmse_mean_delta_tcn_minus_lowpass,pearson_mean_delta_tcn_minus_lowpass,psd_distance_mean_delta_tcn_minus_lowpass,acc_norm_rmse_delta_tcn_minus_lowpass,gyr_norm_rmse_delta_tcn_minus_lowpass,hf_ratio_improvement_mean_delta_tcn_minus_lowpass
canonical,0.15353734917527725,0.26203371322057634,0.04504098512997823,0.8259218860117731,0.010679572961346563,0.18904442905914037,0.0598186130317944,11.503792927723575,0.2808704482828475,0.5074890975290063,0.05425179903668874,0.8292300785208654,0.033499189919945056,0.37406241257717326,0.06782255754329856,11.204192588469718,-0.12733309910757026,-0.24545538430842995,-0.00921081390671051,-0.0033081925090923114,-0.022819616958598493,-0.1850179835180329,-0.008003944511504164,0.2996003392538569
explosiv,0.8112052695783601,1.2220613507480271,0.4003491884086934,0.9205672329531467,0.18597229164080106,1.019637751730822,0.40944946149395683,5.61389783568102,1.066372262107703,1.6561264963810054,0.4766180278344006,0.8999863091732775,0.383648329517341,1.5348194763822072,0.5176535496393503,4.904916780488514,-0.25516699252934283,-0.43406514563297827,-0.07626883942570722,0.020580923779869198,-0.19767603787653995,-0.5151817246513852,-0.10820408814539345,0.7089810551925062
fast,0.4773029779411631,0.7547223109148967,0.1998836449674295,0.9382881108192849,0.09356548603705489,0.7996340892134377,0.23923608250266765,9.318940768175608,0.7200418258718668,1.1578254203001657,0.28225823144356793,0.9172881161684149,0.26247381478294785,1.2994427921680303,0.31221870608950175,8.763132175258503,-0.24273884793070372,-0.40310310938526894,-0.08237458647613843,0.02099999465086999,-0.16890832874589295,-0.49980870295459257,-0.0729826235868341,0.5558085929171046
fast_slow,0.8049007875104555,1.2593574366030784,0.3504441384178324,0.9280494577556286,0.17980123940594636,0.8813130938949493,0.4402364313459167,9.092344571622164,1.1228092326639363,1.802759938648878,0.4428585266789947,0.8961159379235173,0.3877113462437615,1.5215736861412341,0.5353643550752447,8.542599758538627,-0.3179084451534808,-0.5434025020457995,-0.09241438826116233,0.031933519832111346,-0.20791010683781516,-0.6402605922462848,-0.09512792372932799,0.549744813083537
fast_slow_fast,0.5731522482639226,0.8926761319299066,0.25362836459793875,0.9292240208736319,0.1199972221786205,0.9063361526511254,0.31003716302747353,8.596132231661958,0.8975923341595002,1.4245578199536317,0.3706268483653687,0.9039571878318508,0.3319866614498363,1.5564628395296278,0.42232906512134444,7.581808077217984,-0.3244400858955776,-0.5318816880237252,-0.11699848376742994,0.025266833041781123,-0.2119894392712158,-0.6501266868785024,-0.11229190209387091,1.0143241544439743
freeze1,0.26661663056972124,0.5057221744209528,0.027511086718489723,0.7124924072041383,0.0004931073979226615,0.17010946422815323,0.032490213960409166,11.083890359465151,0.5226471030463775,1.0208233249684175,0.024470881124337516,0.7959625946500349,0.0003162894528486504,1.2951742231845855,0.03074608501046896,11.018981305053867,-0.2560304724766563,-0.5151011505474647,0.0030402055941522073,-0.08347018744589663,0.00017681794507401114,-1.1250647589564322,0.0017441289499402074,0.06490905441128447
freeze2,0.4398226550469796,0.8436622443298498,0.0359830657641093,0.7214507581012606,0.0009823363359449408,0.15168520361185073,0.05046031698584556,10.520216234155916,0.4671001078638558,0.8988612186163664,0.03533899711134533,0.7359014253190378,0.001051985237010437,0.6703424528241158,0.05039470549672842,9.923910968780795,-0.027277452816876213,-0.055198974286516544,0.0006440686527639655,-0.014450667217777213,-6.964890106549615e-05,-0.518657249212265,6.561148911714276e-05,0.5963052653751202
gait_fast,0.5071752689736367,0.805885948386343,0.2084645895609305,0.9024787651457425,0.04629458740677881,0.8676309663160094,0.2747891297781831,5.448126294434929,0.7154857503205893,1.1486234982196726,0.28234800242150604,0.8559206088674597,0.10243008427818467,1.2657333551662897,0.3826645892212085,5.065576004943541,-0.20831048134695251,-0.3427375498333296,-0.07388341286057554,0.04655815627828286,-0.056135496871405864,-0.39810238885028026,-0.1078754594430254,0.38255028949138836
gait_slow,0.46568555997619193,0.7421619238304579,0.18920919612192585,0.8730026919809144,0.05209851092493818,0.8399058298635408,0.2938415843226109,4.710506280827669,0.6593338955830503,1.0838618795920467,0.2348059115740539,0.8420259402656295,0.10645326235136335,1.264386795451806,0.39268353775468706,4.488949489360573,-0.1936483356068584,-0.34169995576158885,-0.04559671545212804,0.03097675171528491,-0.054354751426425166,-0.4244809655882652,-0.09884195343207614,0.22155679146709595
pause,0.19730071152970638,0.3890321374383001,0.005569285621112656,0.17347330235675626,0.0001183985113772201,0.08013833053410054,0.005888088732691748,16.89857817170759,0.3207321288645275,0.6364765874213643,0.0049876703076907215,0.22766318878560254,1.1854654710522335e-05,0.3556652510716092,0.0043983205338008705,17.600233126855898,-0.12343141733482113,-0.24744444998306414,0.0005816153134219348,-0.054189886428846284,0.00010654385666669776,-0.27552692053750866,0.0014897681988908775,-0.7016549551483067
pause1,0.10783382173660294,0.19633805843298893,0.019329585040216906,0.8563250029089564,0.0009699982257148931,0.10222016694514376,0.02146096576593424,11.279002772871438,0.23820716688785243,0.45189873705569067,0.024515596720014222,0.8717146834518473,0.0011512001101099836,0.34782750810447494,0.026452245180936237,10.831466771843308,-0.1303733451512495,-0.2555606786227017,-0.0051860116797973164,-0.015389680542890916,-0.00018120188439509056,-0.2456073411593312,-0.004991279415001996,0.44753600102812996
pause2,0.13744861550157011,0.24103353728747204,0.033863693715668185,0.29533550648268025,0.004008536736137596,0.2007018583205839,0.05476257582389129,11.814736966078398,0.2536962619882413,0.46917609800067217,0.03821642597581053,0.31423878219676415,0.005415507700954034,0.3454921272893747,0.07063357967611712,11.77769190324904,-0.11624764648667119,-0.22814256071320013,-0.004352732260142343,-0.0189032757140839,-0.0014069709648164381,-0.14479026896879077,-0.015871003852225833,0.03704506282935682
pause3,0.14046479218328992,0.2729303482520793,0.007999236114500534,0.05590743361300226,7.245367239658322e-05,0.05748073499915855,0.00625363227113017,7.5672775542918025,0.23769037194350467,0.4705777201047611,0.004803023782248298,0.09120290904564025,2.7706421131251923e-06,0.3290132137281554,0.0040090180243298945,10.685998594384596,-0.09722557976021476,-0.19764737185268183,0.0031962123322522356,-0.035295475432637995,6.968303028345802e-05,-0.27153247872899683,0.0022446142468002753,-3.118721040092794
pause4,0.2919438656848345,0.5601060498316409,0.023781681538028066,0.14531636004368387,0.007844940275421292,0.10514965972279088,0.03823929393419333,12.255083515305706,0.3097977326888233,0.5964854247068281,0.023110040670818528,0.2104874950533131,0.00806114453072865,0.40459302214242643,0.03939970520806452,13.046948838131108,-0.017853867003988833,-0.036379374875187165,0.0006716408672095379,-0.06517113500962923,-0.00021620425530735794,-0.29944336241963554,-0.0011604112738711897,-0.7918653228254016
quasistatic1,0.21671079682510025,0.41272997776783693,0.0206916158823636,0.8738049266375993,0.0011138337314019402,0.11182269559067208,0.02081945741228992,7.569929948261935,0.2799328970873224,0.5365401150193065,0.023325679155338244,0.8961737081028016,0.0010975488242957188,0.38350003703089897,0.02205959046841599,7.335185037370808,-0.06322210026222214,-0.12381013725146961,-0.0026340632729746453,-0.02236878146520227,1.628490710622139e-05,-0.27167734144022687,-0.00124013305612607,0.23474491089112703
quasistatic2,0.2626741822957866,0.486240572837137,0.03910779175443613,0.9208610845594072,0.005816899430284312,0.13033890538677878,0.029408391420634426,7.450017308843903,0.3038509458959179,0.5598893644757011,0.0478125273161346,0.9317465147801786,0.008031384194445539,0.3379571583350094,0.03518202848903531,7.0478950075142395,-0.04117676360013128,-0.07364879163856414,-0.00870473556169847,-0.010885430220771375,-0.0022144847641612266,-0.2076182529482306,-0.005773637068400884,0.40212230132966376
rotation,0.2840050746816941,0.48465153263300975,0.08335861673037852,0.9436605625025095,0.010360812925191762,0.2767410158149658,0.056047688346476325,4.7339874360971566,0.3536442924150696,0.5807025333325709,0.12658605149756835,0.9325078583789156,0.018905394594814856,0.41268742320037655,0.07494708926927658,4.502309868437317,-0.0696392177333755,-0.09605100069956118,-0.043227434767189835,0.011152704123593926,-0.008544581669623094,-0.13594640738541075,-0.018899400922800257,0.2316775676598395
shaking,0.8488563684868654,1.3009149100398645,0.3967978269338665,0.9373414468377884,0.23626106928588347,1.31863611575069,0.514719090194711,4.914055508170867,1.1634869887095287,1.8035475755878314,0.523426401831226,0.9162240177897519,0.6060980270982356,1.7861551698542346,0.796609322185089,4.105239871964621,-0.3146306202226633,-0.5026326655479669,-0.1266285748973595,0.021117429048036485,-0.3698369578123521,-0.46751905410354455,-0.281890231990378,0.808815636206246
slow,0.26231226017857845,0.45924813865214337,0.0653763817050136,0.9558575887482461,0.013334672661439359,0.2154651847596352,0.04455892262646021,6.534594910328031,0.3495033412630487,0.6099034264556363,0.08910325607046103,0.9484215703950224,0.01906839401423747,0.5322339681860728,0.05544389347808484,6.340223854766832,-0.08719108108447027,-0.15065528780349297,-0.02372687436544743,0.007436018353223717,-0.0057337213527981126,-0.31676878342643766,-0.010884970851624626,0.1943710555611986
slow1,0.19984810952468426,0.3439447883119698,0.055751430737398744,0.961316566452744,0.014055700289086932,0.21485444358021943,0.06882874559342246,11.216299565069557,0.323440493773541,0.5817428829385243,0.06513810460855768,0.9538694768585897,0.02087826035114312,0.6448309217378037,0.07023278997500533,10.872783879711559,-0.12359238424885674,-0.2377980946265545,-0.009386673871158935,0.007447089594154299,-0.006822560062056188,-0.4299764781575842,-0.0014040443815828696,0.3435156853579979
slow2,0.6292372036389671,1.1572424402242307,0.10123196705370335,0.8674884026162066,0.03429442256374304,0.28275776775302114,0.11824935455177281,11.269028266806451,0.7888135350300922,1.4581541595426766,0.11947291051750786,0.8465085205409958,0.04728309242532674,0.8964286056724755,0.13549434275844613,10.995945522253939,-0.15957633139112515,-0.30091171931844585,-0.018240943463804504,0.020979882075210843,-0.012988669861583695,-0.6136708379194544,-0.01724498820667332,0.2730827445525126
