motion_name,rmse_acc_x,pearson_acc_x,psd_distance_acc_x,rmse_acc_y,pearson_acc_y,psd_distance_acc_y,rmse_acc_z,pearson_acc_z,psd_distance_acc_z,rmse_gyr_x,pearson_gyr_x,psd_distance_gyr_x,rmse_gyr_y,pearson_gyr_y,psd_distance_gyr_y,rmse_gyr_z,pearson_gyr_z,psd_distance_gyr_z,rmse_mean,pearson_mean,psd_distance_mean,hf_ratio_improvement_acc,hf_ratio_improvement_gyr,hf_ratio_improvement_mean
canonical,0.04686212757475335,0.8940344760091611,0.0003520221914023771,0.13953779860378496,0.8009525382172628,0.003239845674087343,0.10654236490372568,0.7725559247897738,0.0037710099640375075,0.04817987867414062,0.7966263835084438,0.0027167941913613836,0.03064667440352919,0.841317626183346,0.0014363764000960217,0.046573389173665256,0.8698935799308698,0.0028050343414062952,0.06972370555559984,0.8292300881064761,0.002386847127065155,10.021434329985116,3.906663844594019,6.964049087289568
explosiv,0.17065051220104857,0.9575197132254645,0.013622900290308389,0.36893957723247806,0.8466822626859255,0.028642965925062804,0.42467109956226107,0.8561446367521578,0.029612141136145142,0.42649132402897894,0.8772026619513479,0.05998855801675344,0.2620382312622111,0.9661137277004977,0.06557005680858881,0.41219755846186207,0.8962548490659288,0.10521248276603713,0.3441647171248066,0.8999863085635537,0.05044151749048262,3.3523132401817444,3.347364694951259,3.3498389675665017
fast,0.10740305763454391,0.942368389166461,0.006308512111669437,0.29445286289287304,0.8902337384610597,0.02333919498347765,0.2698420078654845,0.861249083098903,0.022837432272125577,0.23264851762897495,0.9432910673725524,0.03539971755084913,0.18565454568575102,0.936955968379564,0.02486044254119422,0.24287730983901734,0.9296304394557459,0.05098250305929718,0.22214638359110744,0.917288114322381,0.027287967086435532,3.3938758069917743,9.924354672999213,6.659115239995494
fast_slow,0.1312785407814842,0.9760250308250962,0.007332198698126236,0.4457614689778823,0.8300957627385336,0.031326382314504235,0.4793439135241967,0.8530540101257457,0.03711657328676665,0.4025450457747166,0.9063278855495451,0.07673893597535565,0.27285153712504184,0.9175940446409628,0.04402246141538713,0.3349409305562194,0.8935988948359137,0.07635254787220709,0.3444535727899235,0.8961159381192995,0.0454815165937245,3.3485862426378445,6.349046944434962,4.848816593536403
fast_slow_fast,0.12485213375212403,0.9343563132124959,0.0072628762335265815,0.35018435899345646,0.8700741644923053,0.030667583270516576,0.3549249309447727,0.8512758639688222,0.025927849477519416,0.3288963804951414,0.9157881095775461,0.048862185443807056,0.23415796793997287,0.9254744229639231,0.04424844747784775,0.2877951045570496,0.9267742619119621,0.09467726433011976,0.28013514611375284,0.9039571893545091,0.04194103437222285,3.0802670482451218,5.939198149369587,4.509732598807354
freeze1,0.042560433968901634,0.8964585219993548,6.788550058445253e-06,0.33028819859027864,0.6958346751698112,2.9607181295432385e-05,0.22169359028339386,0.7083722727548335,2.4746617691562277e-05,0.025774492137134074,0.6369736890253437,6.569300658156862e-05,0.01189291519112885,0.8967890056934038,1.9176077694282866e-05,0.015968643315136432,0.9413475322171518,5.2071471691306216e-05,0.10802971224766225,0.7959626161433164,3.30138175020996e-05,6.461656093892254,1.6531993035843482,4.057427698738301
freeze2,0.022426593210548164,0.8923349336090295,1.804589760467934e-05,0.047866278886795045,0.6620475518135682,0.00011346540713930153,0.49217358622699975,0.6470683888688347,7.199380320344062e-05,0.03701063306070864,0.6977169759395341,0.0002496814999176422,0.01804765616543591,0.8111027664503359,3.3513017478981054e-05,0.022363383788615465,0.7051378520597323,5.534630172405741e-05,0.1066480218898505,0.7359014114568392,9.034098784468369e-05,11.586636751685267,2.668124199543496,7.127380475614382
gait_fast,0.19096470568971388,0.8251885219125484,0.0048970080527587345,0.16255112031263672,0.7994121412534436,0.0029405857724746874,0.3112784564201468,0.7718309575973886,0.012609446363313372,0.18963895658985366,0.8783280816068599,0.00788573091421399,0.3173940612929942,0.9383363957236974,0.038849773816887756,0.15847136896892722,0.9224276061878108,0.010858495149772262,0.2217164448790454,0.8559206173802915,0.013006840011570134,2.2473107549566316,4.70120821344504,3.474259484200836
gait_slow,0.1896601075997705,0.8239479255663305,0.006863478338997716,0.12245762668924887,0.7940432808843678,0.0010290532057429607,0.3174036386346667,0.782934858888945,0.014328415261660826,0.11917811163522467,0.8429429069640066,0.0021905617181407493,0.34600655371938255,0.9146271571839271,0.03794568155867296,0.10064329203399801,0.893659541342781,0.0029344071350737035,0.19922488838538188,0.8420259451383929,0.010881932869714818,2.529593931473116,3.1057385305500937,2.8176662310116054
pause,0.05648148087341161,0.15780367334645268,2.3191122050461455e-07,0.17528495997900054,0.11597993537528896,3.7056079574562143e-07,0.13614530534971328,0.20760787760366967,2.338266839090119e-06,0.0019383548958493131,0.3697164153792639,2.8021108802601616e-07,0.0034835445240051265,0.29726422014833864,1.4839026638991894e-07,0.008038192285623934,0.21760611763771437,7.8915364841778e-08,0.06356197298460063,0.22766303991512135,5.747092624330113e-07,0.7441499456220196,14.19201460480529,7.468082275213656
