motion_name,rmse_acc_x,pearson_acc_x,psd_distance_acc_x,rmse_acc_y,pearson_acc_y,psd_distance_acc_y,rmse_acc_z,pearson_acc_z,psd_distance_acc_z,rmse_gyr_x,pearson_gyr_x,psd_distance_gyr_x,rmse_gyr_y,pearson_gyr_y,psd_distance_gyr_y,rmse_gyr_z,pearson_gyr_z,psd_distance_gyr_z,rmse_mean,pearson_mean,psd_distance_mean,hf_ratio_improvement_acc,hf_ratio_improvement_gyr,hf_ratio_improvement_mean
canonical,0.03289466420987579,0.8810625248095186,0.00018148123645412344,0.06837835636000487,0.7193828522570159,0.0009597840388992877,0.04790489725842648,0.7812620721621482,0.001158225791648187,0.041622749774515716,0.8122033401389789,0.0007701451205184123,0.02447937514437151,0.8782943501886659,0.00037789547291553887,0.033403805866625835,0.9196511151791034,0.0005936578778036247,0.04144730810230337,0.8319760424559051,0.000673531589706529,10.367558905731777,4.04500713390024,7.2062830198160075
explosiv,0.12764653300834913,0.9548890579119107,0.004561984424130429,0.2810224418291601,0.8805601273017849,0.012419889098862892,0.29906425793671004,0.9132378436965172,0.01741336708134548,0.33670290055984664,0.890491055542932,0.022737209646735302,0.26460956066720565,0.9604330860077688,0.04944952940498035,0.311286696558029,0.9286266543662316,0.07330349189593353,0.2700553984265501,0.9213729708045242,0.029980911925331335,4.049324828144945,3.8626213583193976,3.9559730932321706
fast,0.08728730312656038,0.9470409514551312,0.0023365378175116873,0.1710018405260948,0.9177147394660025,0.006802120567452728,0.16944356701480082,0.9300337020241541,0.008211035013323782,0.17330313911751055,0.9476884373992288,0.010844164839354468,0.12748747136793098,0.9442279144708584,0.008238041225857246,0.13676477236350856,0.9508275442578985,0.016502608183463705,0.14421468225273434,0.9395888815122122,0.008822417941160603,3.6135260945273413,10.397409357937809,7.005467726232576
fast_slow,0.10579830911726906,0.9797774441632274,0.0029112325051615837,0.29379052419502,0.8996317176276089,0.011607955068561401,0.3242441605275067,0.9069503956877386,0.018632116898963713,0.32661785780667113,0.9237104490091311,0.039615319762071104,0.2062245555078754,0.9431188005106851,0.021440615596013513,0.24399058939889073,0.9215847072353547,0.039840443299097104,0.2501109994255389,0.9291289190389576,0.022341280521644736,3.674167401752898,6.80083326179707,5.237500331774984
fast_slow_fast,0.10308952727853986,0.9378390965054181,0.0027513578059650034,0.20367513088332045,0.9165040632551974,0.00853165208633577,0.20010490204828482,0.9082589247842126,0.011012093344340355,0.2303240157852304,0.9359138886645864,0.018252481259435908,0.15987612445772226,0.9402082940406166,0.014332524942880816,0.16861605778214567,0.9476727052254202,0.025923297777814235,0.17761429303920723,0.9310661620792418,0.013467234536128681,3.4804887850115267,6.905954177109968,5.193221481060747
freeze1,0.03315397994592786,0.7431086166782601,3.550158580765128e-05,0.09862696472555399,0.6264043319215168,3.117518622275384e-05,0.15762197598814964,0.22578630062222266,7.607374664075905e-05,0.02546645486727357,0.6486052482876064,4.6047754722167156e-05,0.01708500273525715,0.8456532163769109,2.3200919667942798e-05,0.01727672843262553,0.9421377928938555,4.327616461523576e-05,0.05820518444913129,0.671949251130062,4.254589294608498e-05,6.391257184424793,0.6233073016231516,3.5072822430239725
freeze2,0.03408150724135339,0.8356267565716203,1.4302891145234753e-05,0.08669204618781805,0.7669580093729469,6.417004069589894e-05,0.3877723631449044,0.578519684635338,0.00012066763001712388,0.03477809843607247,0.7256957331545036,0.00012736141811728885,0.019060791842639445,0.7950880031409174,3.1102172351893385e-05,0.023243829514831303,0.6985578856000211,4.260495870767045e-05,0.09760477272793651,0.7334076787458913,6.670151850585171e-05,12.390497937983273,2.721795780691338,7.556146859337305
gait_fast,0.12845781368978798,0.8982992846567975,0.001964148929800397,0.13073716183087508,0.8371632530987453,0.0014372610158579623,0.20436691963779074,0.8717280530059075,0.005968096476139687,0.13020753092499532,0.9300684337592283,0.002758462157773438,0.22535574072903122,0.9603974552078355,0.019254910905016555,0.13828785274673272,0.9256798018895365,0.00710496922784555,0.15956883659320217,0.903889380269675,0.006414641452072265,2.4833311962809534,4.973408784728024,3.7283699905044885
gait_slow,0.11904761627222757,0.8913915615151055,0.002646383858822403,0.1049209697347767,0.8023153384972732,0.0009105191910684908,0.20411266413745735,0.8712771868979706,0.007924429112149274,0.09230959921483677,0.8965652833633664,0.0010656841085502063,0.24093933367776632,0.9446556870177336,0.022419632979217216,0.11464939875493071,0.8606188504921638,0.0026681703156076057,0.14599659696533257,0.8778039846306023,0.0062724699275691995,2.819177394864813,3.287220415073124,3.0531989049689687
pause,0.056084407684171486,0.11888730315824413,9.667819943122897e-07,0.09737038864266305,0.06426535888590733,1.1595536268162375e-05,0.07597192272189118,0.18260178115684583,3.348063887913321e-06,0.002920033566520682,0.21586639129164517,3.3965223664722546e-07,0.003027082779001267,0.27014910373787926,5.900168333249938e-07,0.007454078571338739,0.17007316963134353,3.9993347877430635e-07,0.0404713189942644,0.1703071846436442,2.8733307831890853e-06,0.8092304656836681,11.996777585250562,6.403004025467114
pause1,0.021967033953651002,0.9101433096852717,1.260718756659691e-05,0.05847707798606471,0.7477522914634902,0.00012953332065272232,0.03753220626202069,0.7592966878360389,5.682319424761916e-05,0.015972475256574782,0.8809193649134456,3.2358097978670374e-05,0.01130713259213065,0.8958732829303189,2.696512595704055e-05,0.016658409493730257,0.9522480996586573,8.28749879426476e-05,0.026985722590695347,0.8577055060812038,5.6860319057549486e-05,9.870776611008102,3.7249178618215093,6.797847236414806
pause2,0.04037898355551685,0.3169270167999526,2.743800450192661e-05,0.06849719220772385,0.2248956987544866,0.0006518447860571541,0.02918391729472205,0.43405743809851566,0.00015830717912947989,0.03234754745305205,0.3907849513824235,0.0001188875895292559,0.017158807868448398,0.32015410742726697,4.78634696175817e-05,0.026905813075912496,0.19301639191691702,0.0004131104877059736,0.035745376909229284,0.3133059340632604,0.00023624191942356196,6.910984866800463,8.086833286871558,7.498909076836011
pause3,0.04287328054197133,0.05939252036820074,2.64042430789654e-07,0.08241167204188449,0.01238393751833812,9.326887451217253e-06,0.011693225611400392,0.09512016069412316,5.394180529297696e-07,0.0022544887931352214,0.08843356600350039,9.729100090640128e-08,0.005919424158387951,0.03261802281862586,2.9523524719568934e-07,0.010392005385697952,0.0347589016911237,1.7890440463678e-07,0.025924016088746223,0.05378451818231866,1.783629764612591e-06,0.1978521712935232,17.599046738503546,8.898449454898534
pause4,0.04702476969272908,0.22491380818026602,1.7586435262632283e-05,0.22710792002410202,0.04985399941983033,0.0009747601322015664,0.04110489376441781,0.2030613751525091,0.0006809170677344436,0.02248286085747877,0.17908046205036787,0.0011054965605541505,0.014103971950520398,0.1716140742314282,0.00014749433829265246,0.017434106317301423,0.10965721808906814,0.00020833253192499874,0.06154308710109158,0.15636348952057827,0.0005224311776617406,1.6629041309012116,27.544033932756054,14.603469031828634
quasistatic1,0.039572256593964995,0.9073218565025168,3.3406773249389234e-05,0.0772982418333413,0.7523968514888038,7.07199484197396e-05,0.12918502957036254,0.8359009199773475,0.00015897420256845153,0.01413458812094177,0.9102562827170354,2.420109786385183e-05,0.016112088133377257,0.9335217880251614,5.493105234775086e-05,0.018038434333720942,0.9038075083831444,5.3294916806612136e-05,0.049056773097618134,0.8738675345156682,6.592133187596586e-05,6.886638873215861,5.662877286932321,6.274758080074092
quasistatic2,0.03819225490834488,0.9719046835480162,0.00019531234674550249,0.09354214168780921,0.8553849882835783,0.0004400509571069608,0.15016676732243933,0.8783927686223858,0.0006075020360222712,0.02396380407165508,0.9179399405220529,0.00013787453562776026,0.03073619110604786,0.9711100366286738,0.000490380527726209,0.04206835166171041,0.9467647298704787,0.0008053216197372514,0.06311158512633445,0.9235828579125309,0.00044607367049432587,6.877611296172172,3.326706203187519,5.1021587496798455
rotation,0.04747254043637264,0.9659703369332282,0.0003554141225674445,0.08747456553241899,0.9017913081480647,0.000647189133556939,0.15634936540117186,0.9058544982878991,0.0011692120481682415,0.048249785986638836,0.9447006778203383,0.0005462544411491234,0.06162856239224634,0.9816620229544318,0.0016890876081238422,0.0992075811170282,0.961341782419464,0.0026239239148943003,0.08339706681097948,0.943553437760571,0.0011718468780766485,4.217307981995102,2.234100759509025,3.2257043707520636
shaking,0.12822528231558145,0.9592840765128273,0.003640841176740806,0.333039275909725,0.9324308886627224,0.02047816250455382,0.2890262604862648,0.903537164428182,0.016713859368457252,0.37056678795182196,0.9296105450342389,0.0660723191363074,0.22467172587609016,0.966128845218348,0.018252975024486324,0.2606687992673343,0.9396373436492156,0.032664647344482114,0.26769968863446963,0.938438143917589,0.026303800759171287,2.6043958599884887,3.8083885734244953,3.2063922167064915
slow,0.04228464845950023,0.9825411933305743,0.0004704929968960268,0.09123550749933108,0.8936143703558265,0.0008848524904608031,0.13489080394307773,0.9530109530239202,0.001223178789992884,0.03811690311114758,0.9664141177612795,0.00039864776399787307,0.05239120710354585,0.9862428542662445,0.0019814768144267593,0.07051033986111482,0.9604547663011488,0.002500170374407436,0.07157156832961956,0.9570463758398323,0.0012431365383636303,4.438707145148589,3.007083602280387,3.722895373714488
slow1,0.03625058180546945,0.9804561834082787,0.0002557061735687873,0.07360235085883705,0.955117176366165,0.0012391685954800365,0.08116435367114765,0.9542845438532217,0.0014537797846303911,0.049961396986522626,0.9565466064745703,0.00043174558216275364,0.031698321485795926,0.9629601553921742,0.00040297398876289886,0.03910897238967345,0.9695624353538231,0.0006070938591835433,0.051964329532907694,0.9631545168080389,0.0007317446639647351,7.694414893197579,7.030160928737456,7.362287910967518
slow2,0.03942482949209374,0.9606099405583692,0.00046688163456073614,0.2971574686971065,0.8107164938151772,0.0024941506998132084,0.3412116326391697,0.8461536979702238,0.004500170811189565,0.08936406647836839,0.9039364127780631,0.002264770783104059,0.06685575730091817,0.8097435586139874,0.0006137012408372185,0.06745351502621497,0.8902573623197317,0.001053966168016101,0.15024454493897857,0.8702362443425921,0.001898940222920148,5.998696613526657,8.619960865781389,7.309328739654021
