model_name,model_role,architecture_name,parameter_count,trainable_parameter_count,parameter_size_mb_fp32,cpu_forward_ms_per_window,embedded_deployment_verdict
tcn_causal,trained,tcn_causal,101326,101326,0.38652801513671875,1.3037130050361156,possible_on_embedded_linux
tcn,trained_comparison,tcn,101326,101326,0.38652801513671875,1.3182366266846657,possible_on_embedded_linux
gru,trained_comparison,gru,152070,152070,0.5801010131835938,2.666068207472563,possible_on_embedded_linux
transformer,trained_comparison,transformer,399110,399110,1.5224838256835938,1.2994403019547462,possible_on_embedded_linux
identity,baseline,identity,0,0,0.0,0.001317821443080902,yes_classical_filter
lowpass,baseline,lowpass,0,0,0.0,0.029835477471351624,yes_classical_filter
butterworth,baseline,butterworth,0,0,0.0,2.0914118364453316,yes_classical_filter
savgol,baseline,savgol,0,0,0.0,2.1334508806467056,yes_classical_filter
wiener,baseline,wiener,0,0,0.0,0.4309011250734329,yes_classical_filter
