motion_name,rmse_acc_x,pearson_acc_x,psd_distance_acc_x,rmse_acc_y,pearson_acc_y,psd_distance_acc_y,rmse_acc_z,pearson_acc_z,psd_distance_acc_z,rmse_gyr_x,pearson_gyr_x,psd_distance_gyr_x,rmse_gyr_y,pearson_gyr_y,psd_distance_gyr_y,rmse_gyr_z,pearson_gyr_z,psd_distance_gyr_z,rmse_mean,pearson_mean,psd_distance_mean,hf_ratio_improvement_acc,hf_ratio_improvement_gyr,hf_ratio_improvement_mean
canonical,0.03180409702895717,0.8758782815549078,0.00018748755680626707,0.06544526839385402,0.7161359632949864,0.0010718138747914838,0.045892131837106054,0.7824260574641059,0.0012486315488393468,0.040845633993740194,0.8012855487951002,0.0008637163851799104,0.024694041321212848,0.8686110368229597,0.0004808656453137933,0.033137495403008706,0.9174617530816263,0.0006070489608212235,0.0403031113296465,0.8269664401689477,0.0007432606619586709,10.325528285622433,4.003709576320545,7.164618930971489
explosiv,0.1275934881767479,0.9547445823281894,0.004689083216923745,0.27198227037817746,0.8857813485783217,0.013241546301204356,0.2952448036774235,0.9164582292553459,0.017747660783388092,0.3240345214193655,0.8931332034074986,0.02191931470793337,0.2607112040269678,0.9608149261817784,0.05068005776830756,0.3036639151936871,0.9294117076991856,0.06830990446435292,0.2638717004787282,0.9233906662417198,0.02943126120701834,4.057497466148961,3.881456838181179,3.9694771521650707
fast,0.08670812654488075,0.9468381001192485,0.0025085066573056133,0.1677730066057008,0.9173682052261777,0.008229014035026256,0.1687577240576502,0.9318911975103131,0.009059961370632134,0.16797150676653613,0.949376787123971,0.014584881460666109,0.12813157830253027,0.9436560615847718,0.009356154975659323,0.1378474136693582,0.9496048804316053,0.017845823082392458,0.14286489265777605,0.9397892053326813,0.010264056930280315,3.5959527032390497,10.342102243033162,6.969027473136106
fast_slow,0.10464304629713297,0.9797598742657031,0.0033328049923651492,0.28743000539162983,0.9015733973940089,0.012425449945014686,0.3244311907185385,0.9080281716547216,0.01931227344265118,0.32087144454081473,0.925022988975372,0.0419074980280549,0.20656415219060503,0.9432604649407405,0.023331426651034586,0.24111450825316402,0.92300960405572,0.039592381491736606,0.24750905789864752,0.9301090835477109,0.023316972425142853,3.6543901585330705,6.695366644777684,5.174878401655377
fast_slow_fast,0.10193770831849958,0.9369203296621174,0.003034127348393293,0.19800840206000778,0.9182265705734416,0.010003387517751672,0.19904259793083406,0.9088685961399212,0.011873244757052655,0.22763346199450704,0.9370370485123444,0.0228662822615459,0.16141236800467595,0.9387120271218179,0.01578542501472039,0.16769276896901872,0.9467307773158047,0.02655075011737871,0.17595455121292383,0.9310825582209078,0.015018869502807104,3.4698130442631823,6.763747354379851,5.116780199321517
freeze1,0.03201682241633534,0.7733954087632362,3.0289058486232534e-05,0.10401291660964489,0.6648480270754619,2.7354869143891846e-05,0.16133057735860348,0.2128195278258022,6.843486571597168e-05,0.026012585312128068,0.6412568137205008,5.063144744781312e-05,0.017584822326898574,0.8659451324121614,2.007822813538951e-05,0.01879081381484866,0.927578803719993,3.385717909623054e-05,0.059958089639743174,0.6809739522528593,3.8440941337588205e-05,6.457877006870286,1.5764104167691895,4.017143711819738
freeze2,0.03978154235519469,0.8520943653752834,1.2776261405633704e-05,0.07236486906185746,0.7788243044423931,7.828488837731129e-05,0.38879920411854985,0.5863757735179936,0.00011299514758320584,0.03436613464727998,0.7263251977001892,0.00013062996854387165,0.01910248859785497,0.7824198501831383,3.083943292949698e-05,0.02297533806413412,0.7140738859219102,3.669510056170111e-05,0.09623159614081185,0.7400188961901513,6.703679990020342e-05,12.38800703835658,2.713095764410677,7.550551401383629
gait_fast,0.12941196305044178,0.8941646490936156,0.001902406181508291,0.13616426294403416,0.8181754927714477,0.001602572642347467,0.20924485679899385,0.8664837379455995,0.006950580000623042,0.13828030335074612,0.9225012288624772,0.0032784447962199165,0.22575506135050594,0.9585962032237114,0.02119337758350261,0.1430054376289487,0.9210108991257441,0.007337056786582532,0.16364364752061175,0.8968220351704326,0.007044072998463977,2.46715436188011,4.970503592375064,3.7188289771275866
gait_slow,0.11977144755516787,0.8871687925562998,0.002476415974331026,0.1112776222187768,0.7757002981167257,0.001012807464145389,0.21197271127980086,0.8653298416169871,0.009155366671355957,0.10106045259353148,0.8798095640645699,0.0011938277036093934,0.23658865723706218,0.9435365888130915,0.021754174834481485,0.12245039422557039,0.8481024008415096,0.0030462286197097863,0.15052021418498493,0.866607914334864,0.0064398035446055065,2.7946997815668624,3.26938177445917,3.032040778013016
pause,0.05889916021288151,0.12294451684962962,1.9695601742293027e-06,0.0941568249126985,0.0419421726663272,1.565254782490012e-05,0.07188636300464471,0.1537169846165669,4.391211856121421e-06,0.0033038484586757565,0.2039459691654226,4.1398854278218963e-07,0.0039985531397784746,0.23984879829606726,8.647394965337406e-07,0.007756162150984718,0.17928947861079714,5.045644639962922e-07,0.04000015197994394,0.1569479867008018,3.966102059760511e-06,0.9075666482840572,12.543527986142731,6.725547317213394
