kc_type,experiment_id,motion_folder,motion_index,motion_name,segment_id,start_idx,end_idx,sampling_frequency,is_anomaly_case,rmse_acc_x,pearson_acc_x,input_rmse_acc_x,psd_distance_acc_x,rmse_acc_y,pearson_acc_y,input_rmse_acc_y,psd_distance_acc_y,rmse_acc_z,pearson_acc_z,input_rmse_acc_z,psd_distance_acc_z,rmse_gyr_x,pearson_gyr_x,input_rmse_gyr_x,psd_distance_gyr_x,rmse_gyr_y,pearson_gyr_y,input_rmse_gyr_y,psd_distance_gyr_y,rmse_gyr_z,pearson_gyr_z,input_rmse_gyr_z,psd_distance_gyr_z,rmse_mean,pearson_mean,psd_distance_mean,acc_norm_rmse,gyr_norm_rmse,hf_ratio_improvement_acc,hf_ratio_improvement_gyr,hf_ratio_improvement_mean
arm,exp01,motion12_shaking,motion12,shaking,seg3,0,64,40.0,True,0.11242979764938354,0.9205318958563005,0.19989798963069916,0.0010875253938138485,0.9575811624526978,-0.45343394134407516,0.8970181941986084,0.01579182595014572,2.232076644897461,0.7374796329262814,2.468526601791382,0.023372141644358635,0.37341803312301636,0.8959549913693504,0.9235045909881592,0.026141168549656868,0.7725754976272583,0.7722788403927623,0.7858108878135681,0.10721088945865631,1.9282876253128052,-0.6089871136670245,2.237165927886963,0.16494841873645782,1.0627281268437703,0.3773040509222658,0.0564253282888482,0.8355016112327576,0.3085423707962036,1.7970144277518871,2.5242234995398007,2.160618963645844
arm,exp01,motion12_shaking,motion12,shaking,seg3,16,80,40.0,True,0.13380366563796997,0.8872543111229978,0.25442028045654297,0.0019044913351535797,1.0994004011154175,-0.45319293021473617,1.1538735628128052,0.06190171837806702,2.1453917026519775,0.7814359111653132,2.484318256378174,0.03300127014517784,0.7629544734954834,0.7430695652200378,1.4623544216156006,0.05534220114350319,0.8572025299072266,0.8172376461916441,0.9132264256477356,0.10981325060129166,2.472581624984741,-0.6944249397993018,2.8698718547821045,0.21147067844867706,1.245222399632136,0.34689659394765915,0.07890560167531173,0.7619304060935974,0.5283412337303162,1.6406524054741243,1.4962694299422075,1.5684609177081659
arm,exp01,motion12_shaking,motion12,shaking,seg3,32,96,40.0,True,0.15017274022102356,0.842125266964162,0.3244381546974182,0.0022784750908613205,1.146863579750061,-0.20955420903711253,1.326848030090332,0.10554248839616776,2.1433403491973877,0.6945503378060672,2.6284146308898926,0.06497543305158615,1.088399052619934,0.6478614410198174,2.0777790546417236,0.13946881890296936,0.9189804792404175,0.8396190744428346,1.0797184705734253,0.13693471252918243,2.630141258239746,-0.6933882371484045,3.101688861846924,0.308895468711853,1.3463162432114284,0.3535356123412274,0.12634923278043667,0.7321654558181763,0.6708066463470459,1.1370933382813488,2.6276306991272724,1.8823620187043106
arm,exp01,motion12_shaking,motion12,shaking,seg3,48,112,40.0,True,0.1597731113433838,0.838324068765124,0.35400012135505676,0.0019845233764499426,1.0603047609329224,0.00468269442149246,1.4938247203826904,0.0778694748878479,2.1059648990631104,0.6355389382704959,2.728606939315796,0.05971037223935127,1.415226936340332,0.5240745449763298,2.7685387134552,0.21938244998455048,0.8100802898406982,0.8699985917225657,1.0910975933074951,0.09419985860586166,2.7173218727111816,-0.6911136328004124,3.20588755607605,0.161940336227417,1.378111978371938,0.3635842008925992,0.1025145025535797,0.7513383626937866,0.9323646426200867,2.283375891685215,11.339833281877254,6.811604586781234
arm,exp01,motion12_shaking,motion12,shaking,seg3,64,128,40.0,True,0.19288741052150726,0.7713517076546972,0.38517969846725464,0.002544657327234745,0.8718065023422241,0.2059493178229592,1.4998918771743774,0.030778618529438972,2.1473026275634766,0.49688982283242017,2.7811782360076904,0.033481914550065994,1.6631131172180176,0.5150982056111474,2.9686636924743652,0.2671537399291992,0.7968019247055054,0.845216645982006,1.1805357933044434,0.21115383505821228,2.4191734790802,-0.5972212717361962,2.8473846912384033,0.2934612035751343,1.3485141769051552,0.3728807380278389,0.13976232816154757,0.7417255640029907,1.1601955890655518,0.7975181701723651,33.53874060374944,17.168129386960903
arm,exp01,motion12_shaking,motion12,shaking,seg3,80,144,40.0,True,0.20720861852169037,0.7979867397739566,0.3632364869117737,0.002147452672943473,0.6860076189041138,0.4270942709750228,1.3987576961517334,0.029042188078165054,2.306009531021118,0.23249899984401992,2.919081449508667,0.021939028054475784,1.579967975616455,0.5309943917510079,2.8292782306671143,0.2403077781200409,0.8825829029083252,0.7567746986866256,1.2121737003326416,0.11372175812721252,1.9855656623840332,-0.4307672198559777,2.373771905899048,0.20846322178840637,1.2745570515592892,0.3857636468624425,0.10260357114020735,0.7657213807106018,1.1137126684188843,-0.4725725741691952,13.308244506626123,6.417835966228464
arm,exp01,motion12_shaking,motion12,shaking,seg3,96,160,40.0,True,0.1744767129421234,0.8831084788721865,0.34001633524894714,0.0019215955398976803,0.7087070345878601,0.339991252906219,1.3435369729995728,0.016944091767072678,2.3295655250549316,0.2347622814828591,2.802065372467041,0.020672112703323364,1.3827325105667114,0.6944050234214201,2.508394956588745,0.08794713765382767,0.9348137378692627,0.711582725355265,1.272170901298523,0.12828503549098969,1.7756943702697754,-0.26921283407205804,2.0494253635406494,0.24410733580589294,1.2176649818817775,0.43243948799431525,0.08331288482683401,0.747428297996521,1.0354889631271362,-0.47660511623023716,4.842261983150135,2.182828433459949
arm,exp01,motion12_shaking,motion12,shaking,seg3,112,176,40.0,True,0.1794634610414505,0.8710019683184111,0.4602511525154114,0.005803043954074383,0.8987089991569519,0.7540124860401607,1.2670063972473145,0.09127102792263031,2.1216986179351807,0.4978418029511795,2.374526023864746,0.160851389169693,1.873444676399231,0.5219967494998387,2.3696882724761963,0.09253159910440445,0.9434045553207397,0.46019036712857603,1.3585232496261597,0.2519516348838806,1.311011791229248,-0.02537344910657472,1.5033131837844849,0.3307249844074249,1.2212886835138004,0.5132783208052653,0.15552227990701795,0.7150791883468628,0.9283407330513,0.8898461547377334,3.4988878844598905,2.194367019598812
arm,exp01,motion12_shaking,motion12,shaking,seg3,128,192,40.0,True,0.16743214428424835,0.9346993514063581,0.46782052516937256,0.00833259616047144,1.0679219961166382,0.685528252072992,1.3418103456497192,0.30520039796829224,1.9654816389083862,0.6225255934723884,2.3296964168548584,0.5226296782493591,2.7248620986938477,0.5475334614013325,3.1946866512298584,0.7426360249519348,0.9683753848075867,0.5565267572394826,1.3597567081451416,0.12473167479038239,1.6111868619918823,-0.017659737556303887,1.8700207471847534,0.10997336357831955,1.417543354133765,0.5548589463393749,0.3022506226164599,0.6674990653991699,1.9943125247955322,0.38010492546077745,0.7801834514435898,0.5801441884521836
arm,exp01,motion12_shaking,motion12,shaking,seg3,144,208,40.0,True,0.1762719303369522,0.9131862867157317,0.47033610939979553,0.008134271018207073,1.444505214691162,0.3909201347917057,1.5978131294250488,0.22935795783996582,1.6186772584915161,0.7896531259334812,1.9570143222808838,0.42606738209724426,2.819004774093628,0.5573965741595978,3.3442771434783936,1.7145870923995972,0.9390594959259033,0.6099653904842942,1.3373188972473145,0.05632597208023071,1.6236785650253296,-0.07532112016613805,1.9434527158737183,0.1362747997045517,1.4368662064274151,0.5309667319864454,0.42845791252329946,0.636356770992279,2.034519910812378,0.8842233485787994,1.1917351301270456,1.0379792393529224
