Variant,Latent,L1,MSE,Spectral,RMSE,Delta RMSE vs Full,Pearson,PSD Dist.,Delta PSD vs Full,HF Improve.,Delta HF vs Full,Acc Norm RMSE,Gyr Norm RMSE,Test windows,Seeds,Variant label,Delta RMSE %,Delta PSD %,Delta HF %,HF loss %,RMSE Mean,RMSE Std,PSD Dist. Mean,PSD Dist. Std,HF Improve. Mean,HF Improve. Std
Full model,Y,Y,Y,Y,0.3901 +/- 0.0021,0.00%,0.8492 +/- 0.0006,0.05392 +/- 0.00165,0.00%,8.280 +/- 0.061,0.00%,0.5190 +/- 0.0021,0.1762 +/- 0.0022,8633,5,Full model,0.0,0.0,0.0,-0.0,0.3901,0.0021,0.05392,0.00165,8.28,0.061
w/o L1 loss,Y,N,Y,Y,0.3953 +/- 0.0040,1.34%,0.8494 +/- 0.0009,0.05444 +/- 0.00120,0.98%,8.288 +/- 0.039,0.10%,0.5305 +/- 0.0012,0.1793 +/- 0.0017,8633,5,w/o L1,1.34,0.98,0.1,-0.1,0.3953,0.004,0.05444,0.0012,8.288,0.039
w/o MSE loss,Y,Y,N,Y,0.3934 +/- 0.0030,0.85%,0.8502 +/- 0.0007,0.05390 +/- 0.00165,-0.03%,8.242 +/- 0.036,-0.46%,0.5235 +/- 0.0048,0.1818 +/- 0.0018,8633,5,w/o MSE,0.85,-0.03,-0.46,0.46,0.3934,0.003,0.0539,0.00165,8.242,0.036
w/o spectral loss,Y,Y,Y,N,0.3920 +/- 0.0072,0.49%,0.8449 +/- 0.0008,0.05686 +/- 0.00113,5.45%,8.199 +/- 0.093,-0.98%,0.5193 +/- 0.0059,0.1760 +/- 0.0023,8633,5,w/o spectral,0.49,5.45,-0.98,0.98,0.392,0.0072,0.05686,0.00113,8.199,0.093
MSE only,Y,N,Y,N,0.4095 +/- 0.0033,4.98%,0.8381 +/- 0.0008,0.06562 +/- 0.00133,21.70%,8.075 +/- 0.043,-2.47%,0.5390 +/- 0.0064,0.1858 +/- 0.0024,8633,5,MSE only,4.98,21.7,-2.47,2.47,0.4095,0.0033,0.06562,0.00133,8.075,0.043
w/o attachment latent,N,Y,Y,Y,0.3932 +/- 0.0011,0.81%,0.8483 +/- 0.0005,0.05615 +/- 0.00043,4.14%,8.254 +/- 0.024,-0.32%,0.5267 +/- 0.0030,0.1788 +/- 0.0007,8633,5,w/o attach. latent,0.81,4.14,-0.32,0.32,0.3932,0.0011,0.05615,0.00043,8.254,0.024
