motion_name,rmse_mean_tcn_causal,acc_channel_rmse_mean_tcn_causal,gyr_channel_rmse_mean_tcn_causal,pearson_mean_tcn_causal,psd_distance_mean_tcn_causal,acc_norm_rmse_tcn_causal,gyr_norm_rmse_tcn_causal,hf_ratio_improvement_mean_tcn_causal,rmse_mean_lowpass,acc_channel_rmse_mean_lowpass,gyr_channel_rmse_mean_lowpass,pearson_mean_lowpass,psd_distance_mean_lowpass,acc_norm_rmse_lowpass,gyr_norm_rmse_lowpass,hf_ratio_improvement_mean_lowpass,rmse_mean_delta_tcn_causal_minus_lowpass,acc_channel_rmse_mean_delta_tcn_causal_minus_lowpass,gyr_channel_rmse_mean_delta_tcn_causal_minus_lowpass,pearson_mean_delta_tcn_causal_minus_lowpass,psd_distance_mean_delta_tcn_causal_minus_lowpass,acc_norm_rmse_delta_tcn_causal_minus_lowpass,gyr_norm_rmse_delta_tcn_causal_minus_lowpass,hf_ratio_improvement_mean_delta_tcn_causal_minus_lowpass
canonical,0.14460661098794045,0.2458322669273581,0.0433809550485228,0.8304499490412706,0.010046790950952157,0.18019710784481668,0.05927081158628095,11.50949322906037,0.2808704482828475,0.5074890975290063,0.05425179903668874,0.8292300785208654,0.033499189919945056,0.37406241257717326,0.06782255754329856,11.204192588469718,-0.13626383729490707,-0.2616568306016482,-0.010870843988165936,0.0012198705204051752,-0.0234523989689929,-0.19386530473235658,-0.008551745957017617,0.30530064059065154
explosiv,0.8088547103559482,1.2229824751615523,0.3947269455503441,0.9211516576523036,0.18302360199869033,1.0180166804184347,0.40602848062575875,5.628103338103432,1.066372262107703,1.6561264963810054,0.4766180278344006,0.8999863091732775,0.383648329517341,1.5348194763822072,0.5176535496393503,4.904916780488514,-0.2575175517517547,-0.43314402121945306,-0.0818910822840565,0.02116534847902607,-0.20062472751865068,-0.5168027959637724,-0.11162506901359154,0.7231865576149179
fast,0.4694452920959194,0.7425698957931346,0.19632068839870417,0.9382805224516649,0.08791265990788283,0.7883402906931364,0.23887648367515515,9.328594170436324,0.7200418258718668,1.1578254203001657,0.28225823144356793,0.9172881161684149,0.26247381478294785,1.2994427921680303,0.31221870608950175,8.763132175258503,-0.2505965337759474,-0.41525552450703107,-0.08593754304486376,0.020992406283250054,-0.17456115487506502,-0.5111025014748939,-0.0733422224143466,0.5654619951778201
fast_slow,0.7932070544479081,1.2397367409215523,0.34667736797426374,0.9292876010425571,0.17351354108590245,0.8790060601555384,0.4376880791897957,9.171349199784103,1.1228092326639363,1.802759938648878,0.4428585266789947,0.8961159379235173,0.3877113462437615,1.5215736861412341,0.5353643550752447,8.542599758538627,-0.3296021782160282,-0.5630231977273257,-0.09618115870473098,0.03317166311903985,-0.21419780515785908,-0.6425676259856957,-0.09767627588544903,0.6287494412454766
fast_slow_fast,0.5651307415961387,0.8785152600908149,0.2517462231014626,0.9303831679114501,0.11425055061060888,0.9012500176538847,0.31061782340402716,8.615708909849427,0.8975923341595002,1.4245578199536317,0.3706268483653687,0.9039571878318508,0.3319866614498363,1.5564628395296278,0.42232906512134444,7.581808077217984,-0.3324615925633615,-0.5460425598628168,-0.11888062526390608,0.026425980079599398,-0.21773611083922742,-0.6552128218757431,-0.11171124171731728,1.0339008326314438
freeze1,0.2576473250286654,0.48844456262886526,0.026850087428465487,0.7008596050227329,0.0005088099336641486,0.18726911693811416,0.0321100564673543,11.144566780653271,0.5226471030463775,1.0208233249684175,0.024470881124337516,0.7959625946500349,0.0003162894528486504,1.2951742231845855,0.03074608501046896,11.018981305053867,-0.26499977801771213,-0.5323787623395523,0.002379206304127971,-0.09510298962730201,0.00019252048081549826,-1.1079051062464713,0.0013639714568853406,0.12558547559940436
freeze2,0.4342642199480906,0.8334184552232424,0.035109984672938785,0.7359246265500063,0.0009199383588944935,0.12711630798876286,0.04960603825747967,10.570433449073988,0.4671001078638558,0.8988612186163664,0.03533899711134533,0.7359014253190378,0.001051985237010437,0.6703424528241158,0.05039470549672842,9.923910968780795,-0.032835887915765194,-0.06544276339312394,-0.00022901243840654784,2.3201230968550313e-05,-0.0001320468781159435,-0.5432261448353529,-0.0007886672392487526,0.6465224802931928
gait_fast,0.5068743273838345,0.8056465034243118,0.20810215134335733,0.9023950055434745,0.04559538150022734,0.8684818248883844,0.27424072451118764,5.455484153024824,0.7154857503205893,1.1486234982196726,0.28234800242150604,0.8559206088674597,0.10243008427818467,1.2657333551662897,0.3826645892212085,5.065576004943541,-0.20861142293675472,-0.3429769947953608,-0.07424585107814871,0.04647439667601483,-0.05683470277795733,-0.3972515302779053,-0.10842386471002086,0.3899081480812834
gait_slow,0.46882572142911033,0.7466782835271186,0.19097315933110204,0.8718796315726584,0.0527265350327319,0.8451180084321483,0.2984917157399907,4.72544737077685,0.6593338955830503,1.0838618795920467,0.2348059115740539,0.8420259402656295,0.10645326235136335,1.264386795451806,0.39268353775468706,4.488949489360573,-0.19050817415394,-0.3371835960649281,-0.043832752242951856,0.029853691307028862,-0.05372672731863145,-0.41926878701965764,-0.09419182201469634,0.2364978814162768
pause,0.19728485138787488,0.3895813192640032,0.004988383511746569,0.17534281449343656,0.00017894693949090072,0.08224057337890069,0.005522545750829435,16.37339476008598,0.3207321288645275,0.6364765874213643,0.0049876703076907215,0.22766318878560254,1.1854654710522335e-05,0.3556652510716092,0.0043983205338008705,17.600233126855898,-0.12344727747665263,-0.24689526815736107,7.132040558471484e-07,-0.05232037429216599,0.00016709228478037838,-0.2734246776927085,0.0011242252170285648,-1.2268383667699183
