variant_name,description,outputs_root,num_seeds,seed_list,time_l1,spectral,attach_latent_dim,mse,acc_channel_rmse_improvement,acc_channel_rmse_improvement_std,acc_channel_rmse_mean,acc_channel_rmse_std,acc_norm_rmse,acc_norm_rmse_std,gyr_channel_rmse_improvement,gyr_channel_rmse_improvement_std,gyr_channel_rmse_mean,gyr_channel_rmse_std,gyr_norm_rmse,gyr_norm_rmse_std,hf_ratio_improvement_mean,hf_ratio_improvement_std,input_acc_channel_rmse_mean,input_acc_channel_rmse_std,input_acc_norm_rmse,input_acc_norm_rmse_std,input_gyr_channel_rmse_mean,input_gyr_channel_rmse_std,input_gyr_norm_rmse,input_gyr_norm_rmse_std,input_rmse_mean,input_rmse_std,num_windows,num_windows_std,pearson_mean,pearson_std,psd_distance_mean,psd_distance_std,rmse_mean,rmse_std
no_mse_loss,Remove MSE reconstruction loss only.,outputs\supervised_tcn_causal_ablations\no_mse_loss,5,"42,43,44,45,46",1.0,0.2,8,0.0,0.8551258602169124,0.0017611796029013231,0.6349210154159516,0.0017611796029012717,0.5216876249323047,0.0027083958152472718,0.2524861786069878,0.0006864764781145694,0.14129344242738087,0.0006864764781145818,0.1805962446028098,0.001067887174256035,8.322590150212,0.027214528780131215,1.4900468756328638,0.0,1.2493681899278055,0.0,0.39377962103436864,0.0,0.6131447047228668,0.0,0.9419132483336161,1.1102230246251565e-16,8633.0,0.0,0.8504947364664265,0.0008428302241756028,0.0527426790764544,0.0006956362333954489,0.38810722892166616,0.0011341848881287829
full_model,Attachment latent code + composite loss.,outputs\supervised_tcn_causal_ablations\full_model,3,"42,43,44",1.0,0.2,8,0.5,0.850410230877014,0.0045711723341444995,0.6396366447558499,0.0045711723341444995,0.5194758495456223,0.0018973105263835714,0.25248562661542434,0.002047404918602845,0.14129399441894427,0.0020474049186028336,0.17831578310395937,0.0024518659328864683,8.291170405813778,0.047456409756020994,1.4900468756328638,0.0,1.2493681899278055,0.0,0.39377962103436864,0.0,0.6131447047228668,0.0,0.9419132483336162,0.0,8633.0,0.0,0.8510529889603079,0.0002628204552572303,0.05560183060024925,0.001982448322858621,0.39046531958739705,0.0032778710516603365
no_spectral_loss,Remove spectral consistency loss only.,outputs\supervised_tcn_causal_ablations\no_spectral_loss,5,"42,43,44,45,46",1.0,0.0,8,0.5,0.8494093456592487,0.004972699613304796,0.6406375299736152,0.004972699613304845,0.5197978176286584,0.0026756498981620287,0.25097933810385437,0.001554396207202359,0.14280028293051433,0.0015543962072023518,0.17860579027245843,0.0018727408087276982,8.218274062747412,0.05062724036440147,1.4900468756328638,0.0,1.2493681899278055,0.0,0.39377962103436864,0.0,0.6131447047228668,0.0,0.9419132483336161,1.1102230246251565e-16,8633.0,0.0,0.8468483119182293,0.0012125432279856325,0.05872508344049182,0.0014779500940691067,0.3917189064520647,0.003245167355705839
no_attachment_latent,Disable attachment latent code and its regularization terms.,outputs\supervised_tcn_causal_ablations\no_attachment_latent,5,"42,43,44,45,46",1.0,0.2,0,0.5,0.8488012269474938,0.00239780084941126,0.6412456486853699,0.0023978008494113037,0.5264316927862136,0.0022854570738063953,0.25085499012090084,0.0007068893002028456,0.14292463091346783,0.0007068893002028408,0.1807413643280965,0.0011582039913103697,8.294108111659185,0.0231687382738841,1.4900468756328638,0.0,1.2493681899278055,0.0,0.39377962103436864,0.0,0.6131447047228668,0.0,0.9419132483336161,1.1102230246251565e-16,8633.0,0.0,0.8495672639713263,0.001549462764735325,0.056647531081392054,0.0006953366946893829,0.3920851397994189,0.001422450203558434
no_l1_loss,Remove L1 reconstruction loss only.,outputs\supervised_tcn_causal_ablations\no_l1_loss,5,"42,43,44,45,46",0.0,0.2,8,0.5,0.8327215838225946,0.00244362506294544,0.6573252918102692,0.002443625062945437,0.5385265416967446,0.002618005173863378,0.24640942754545084,0.000676050000523094,0.14737019348891783,0.0006760500005231056,0.18541539661672263,0.0009976335812865824,8.29892618757909,0.03430000620811285,1.4900468756328638,0.0,1.2493681899278055,0.0,0.39377962103436864,0.0,0.6131447047228668,0.0,0.9419132483336161,1.1102230246251565e-16,8633.0,0.0,0.8491999130911182,0.0005394991556735404,0.05617418094018689,0.0005219838228741995,0.4023477426495935,0.0014610232718082236
mse_only,Use only MSE reconstruction loss.,outputs\supervised_tcn_causal_ablations\mse_only,5,"42,43,44,45,46",0.0,0.0,8,1.0,0.8248148555862592,0.005326709668745641,0.6652320200466046,0.005326709668745596,0.5378381582227938,0.005128450535839537,0.24296846962691304,0.0016505027120972198,0.15081115140745557,0.0016505027120972111,0.18478794708913482,0.0018475149794254001,8.101464118116883,0.03555025693945685,1.4900468756328638,0.0,1.2493681899278055,0.0,0.39377962103436864,0.0,0.6131447047228668,0.0,0.9419132483336161,1.1102230246251565e-16,8633.0,0.0,0.8384270393907013,0.00036603879866872497,0.0653202179070203,0.0008733436265194108,0.4080215857270302,0.0033463690226241375
