variant_name,description,outputs_root,attach_latent_dim,time_l1,mse,spectral,acc_channel_rmse_improvement,acc_channel_rmse_mean,acc_norm_rmse,gyr_channel_rmse_improvement,gyr_channel_rmse_mean,gyr_norm_rmse,hf_ratio_improvement_mean,input_acc_channel_rmse_mean,input_acc_norm_rmse,input_gyr_channel_rmse_mean,input_gyr_norm_rmse,input_rmse_mean,num_windows,pearson_mean,psd_distance_mean,rmse_mean,seed,seed_label
full_model,Attachment latent code + L1/MSE/spectral composite loss.,outputs/supervised_tcn_causal_ablations/full_model/seed_runs/seed_0042,8,1.0,1.0,0.2,0.8512176783570444,0.6388291972758194,0.5215739771785455,0.25407760116060985,0.1397020198737588,0.17500563698272364,8.334780755420246,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8493349668486693,0.05557870127025281,0.3892656085747891,42,seed_0042
full_model,Attachment latent code + L1/MSE/spectral composite loss.,outputs/supervised_tcn_causal_ablations/full_model/seed_runs/seed_0043,8,1.0,1.0,0.2,0.8503109118824419,0.6397359637504219,0.5182134959996472,0.25315839251362704,0.14062122852074155,0.17467195111602019,8.3052785206182,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8488385794589722,0.05220719677523711,0.3901785961355817,43,seed_0043
full_model,Attachment latent code + L1/MSE/spectral composite loss.,outputs/supervised_tcn_causal_ablations/full_model/seed_runs/seed_0044,8,1.0,1.0,0.2,0.8491460620680417,0.6409008135648222,0.5200270287563955,0.2509749895563052,0.1428046314780634,0.17951231720959485,8.293756452056058,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8488879351998879,0.05617850321508437,0.39185272252144276,44,seed_0044
full_model,Attachment latent code + L1/MSE/spectral composite loss.,outputs/supervised_tcn_causal_ablations/full_model/seed_runs/seed_0045,8,1.0,1.0,0.2,0.8563684617323145,0.6336784139005492,0.5153564103944517,0.25446463692125665,0.139314984113112,0.17370448626845017,8.304760381413228,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.85033858698492,0.05239072385221901,0.38649669900683065,45,seed_0045
full_model,Attachment latent code + L1/MSE/spectral composite loss.,outputs/supervised_tcn_causal_ablations/full_model/seed_runs/seed_0046,8,1.0,1.0,0.2,0.8466299991339676,0.6434168764988961,0.5198998371736605,0.2521313823360321,0.14164823869833654,0.17815787003988992,8.160610001447589,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8486602222029548,0.05322277946037876,0.3925325575986163,46,seed_0046
mse_only,Use only MSE reconstruction loss as a reconstruction-only reference.,outputs/supervised_tcn_causal_ablations/mse_only/seed_runs/seed_0042,8,0.0,1.0,0.0,0.8287030235654612,0.6613438520674026,0.5284254417830118,0.24361129103554266,0.150168329998826,0.1844437053051626,8.107595331865799,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8384802752888834,0.06426965526373679,0.40575609103311433,42,seed_0042
mse_only,Use only MSE reconstruction loss as a reconstruction-only reference.,outputs/supervised_tcn_causal_ablations/mse_only/seed_runs/seed_0043,8,0.0,1.0,0.0,0.8187781285911051,0.6712687470417587,0.5403571684259978,0.2398152252681326,0.15396439576623608,0.1882592225786308,8.075722432720598,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8387779595193259,0.06770006119966306,0.4126165714039973,43,seed_0043
mse_only,Use only MSE reconstruction loss as a reconstruction-only reference.,outputs/supervised_tcn_causal_ablations/mse_only/seed_runs/seed_0044,8,0.0,1.0,0.0,0.824381988264259,0.6656648873686047,0.5359493015900593,0.24493544231453782,0.14884417871983086,0.1820442014994469,8.137235624625283,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8376181533499351,0.06474321462757862,0.4072545330442179,44,seed_0044
mse_only,Use only MSE reconstruction loss as a reconstruction-only reference.,outputs/supervised_tcn_causal_ablations/mse_only/seed_runs/seed_0045,8,0.0,1.0,0.0,0.8248493278744611,0.6651975477584027,0.5432018575553171,0.243680951447532,0.15009866958683668,0.1855524061162212,8.031160734499037,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.838881291412518,0.06665917847584434,0.4076481086726197,45,seed_0045
mse_only,Use only MSE reconstruction loss as a reconstruction-only reference.,outputs/supervised_tcn_causal_ablations/mse_only/seed_runs/seed_0046,8,0.0,1.0,0.0,0.8159007503244341,0.6741461253084297,0.546946493404319,0.23957949340808668,0.15420012762628196,0.1885653896945336,8.0245324752289,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8366407856086703,0.06471389698108711,0.4141731264673559,46,seed_0046
