variant_name,description,outputs_root,seed,seed_label,attach_latent_dim,time_l1,mse,spectral,acc_channel_rmse_improvement,acc_channel_rmse_mean,acc_norm_rmse,gyr_channel_rmse_improvement,gyr_channel_rmse_mean,gyr_norm_rmse,hf_ratio_improvement_mean,input_acc_channel_rmse_mean,input_acc_norm_rmse,input_gyr_channel_rmse_mean,input_gyr_norm_rmse,input_rmse_mean,num_windows,pearson_mean,psd_distance_mean,rmse_mean
full_model,Attachment latent code + composite loss.,outputs/supervised_tcn_causal_ablations/full_model/seed_runs/seed_0042,42,seed_0042,8,1.0,0.5,0.2,0.8567295178502111,0.6333173577826527,0.5167931141427804,0.2550112836029978,0.13876833743137085,0.1752852635611921,8.356055724919756,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8513325428860242,0.05279822529649601,0.38604284760701174
full_model,Attachment latent code + composite loss.,outputs/supervised_tcn_causal_ablations/full_model/seed_runs/seed_0043,43,seed_0043,8,1.0,0.5,0.2,0.8484310042131765,0.6416158714196873,0.5207738707472728,0.2524490089260754,0.1413306121082932,0.17837178508284948,8.27357994353203,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8511253418857607,0.05700356409670256,0.3914732417639903
full_model,Attachment latent code + composite loss.,outputs/supervised_tcn_causal_ablations/full_model/seed_runs/seed_0044,44,seed_0044,8,1.0,0.5,0.2,0.8460701705676542,0.6439767050652097,0.5208605637468141,0.24999658731719993,0.1437830337171687,0.18129030066783652,8.243875548989553,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8507010821091386,0.05700370240754918,0.3938798693911892
mse_only,Use only MSE reconstruction loss.,outputs/supervised_tcn_causal_ablations/mse_only/seed_runs/seed_0042,42,seed_0042,8,0.0,1.0,0.0,0.8295163165329072,0.6605305590999566,0.5300820951990729,0.24496729091820782,0.14881233011616088,0.18238973248026424,8.127094460076284,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8379334138285154,0.0642306857028139,0.40467144460805876
mse_only,Use only MSE reconstruction loss.,outputs/supervised_tcn_causal_ablations/mse_only/seed_runs/seed_0043,43,seed_0043,8,0.0,1.0,0.0,0.8145461628572979,0.6755007127755659,0.5436348093307444,0.24074985582055852,0.1530297652138101,0.18572355318050407,8.09173040596581,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8389328066290241,0.06630354553513254,0.414265238994688
mse_only,Use only MSE reconstruction loss.,outputs/supervised_tcn_causal_ablations/mse_only/seed_runs/seed_0044,44,seed_0044,8,0.0,1.0,0.0,0.8280736017856657,0.6619732738471983,0.5339063971466194,0.24445457542985144,0.14932504560451718,0.18276127374556347,8.13049204925276,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8383665085164024,0.06444444071747155,0.40564915972585774
mse_only,Use only MSE reconstruction loss as a reconstruction-only reference.,outputs/supervised_tcn_causal_ablations/mse_only/seed_runs/seed_0045,45,seed_0045,8,0.0,1.0,0.0,0.8252495796338734,0.6647972959989903,0.5423546747023905,0.2432553611088522,0.15052425992551638,0.18618271866330327,8.035898964265693,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8387390017534887,0.06626425515719127,0.4076607779622534
mse_only,Use only MSE reconstruction loss as a reconstruction-only reference.,outputs/supervised_tcn_causal_ablations/mse_only/seed_runs/seed_0046,46,seed_0046,8,0.0,1.0,0.0,0.8266886171215515,0.6633582585113122,0.5392128147351415,0.24141526485709525,0.15236435617727342,0.18688245737603906,8.122104711023864,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8381634662260755,0.06535816242249226,0.4078613073442928
no_attachment_latent,Disable attachment latent code and its regularization terms.,outputs/supervised_tcn_causal_ablations/no_attachment_latent/seed_runs/seed_0042,42,seed_0042,0,1.0,0.5,0.2,0.8533147349203529,0.6367321407125108,0.5299878858320469,0.2513713965197804,0.1424082245145882,0.18028485541831524,8.326706856291914,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8513359089150707,0.056647058429818306,0.38957018261354953
no_attachment_latent,Disable attachment latent code and its regularization terms.,outputs/supervised_tcn_causal_ablations/no_attachment_latent/seed_runs/seed_0043,43,seed_0043,0,1.0,0.5,0.2,0.848917152047253,0.6411297235856106,0.5250525918379159,0.25112973181471676,0.14264988921965185,0.18033404349796384,8.296455307165285,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8513240589442254,0.057223854647531616,0.3918898064026314
no_attachment_latent,Disable attachment latent code and its regularization terms.,outputs/supervised_tcn_causal_ablations/no_attachment_latent/seed_runs/seed_0044,44,seed_0044,0,1.0,0.5,0.2,0.8470225937487514,0.6430242818841124,0.5279654458141004,0.25121224539468906,0.14256737563967958,0.1807959848373751,8.275244266351685,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.849415646046198,0.0574810828161661,0.39279582876189595
no_attachment_latent,Disable attachment latent code while retaining the final composite loss.,outputs/supervised_tcn_causal_ablations/no_attachment_latent/seed_runs/seed_0045,45,seed_0045,0,1.0,0.5,0.2,0.848129148224002,0.6419177274088619,0.5234967894100458,0.25110821135547556,0.14267140967889308,0.17941356041847553,8.309843135626087,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8480745376457066,0.05549712800100844,0.3922945685438774
no_attachment_latent,Disable attachment latent code while retaining the final composite loss.,outputs/supervised_tcn_causal_ablations/no_attachment_latent/seed_runs/seed_0046,46,seed_0046,0,1.0,0.5,0.2,0.8466225057971097,0.6434243698357541,0.5256557510369588,0.24945336551984224,0.14432625551452638,0.1828783774683528,8.262290992860954,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8476861683054305,0.05638853151243581,0.39387531267514025
no_l1_loss,Remove L1 reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_l1_loss/seed_runs/seed_0042,42,seed_0042,8,0.0,0.5,0.2,0.8347320190826006,0.655314856550263,0.5382740509449369,0.24701249868063826,0.14676712235373038,0.18519543401421368,8.349952291831496,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8500556299399973,0.0562020362365397,0.40104098945199673
no_l1_loss,Remove L1 reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_l1_loss/seed_runs/seed_0043,43,seed_0043,8,0.0,0.5,0.2,0.8285093559342376,0.6615375196986262,0.5392105130030609,0.24541835218395572,0.14836126885041295,0.18634686671309555,8.324106271932822,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8483603089034464,0.057157380520644646,0.4049493942745196
no_l1_loss,Remove L1 reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_l1_loss/seed_runs/seed_0044,44,seed_0044,8,0.0,0.5,0.2,0.8315191325476656,0.6585277430851981,0.5355846708328469,0.24638530084264446,0.14739432019172416,0.18539869632118788,8.253988279224961,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8490850475486681,0.05566806565204164,0.40296103163846114
no_l1_loss,Remove L1 reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_l1_loss/seed_runs/seed_0045,45,seed_0045,8,0.0,0.5,0.2,0.8337789282241989,0.6562679474086649,0.5364701999581165,0.24726886304322904,0.1465107579911396,0.1836862031810927,8.291552915565493,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8492448163431983,0.05584673266504308,0.4013893526999022
no_l1_loss,Remove L1 reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_l1_loss/seed_runs/seed_0046,46,seed_0046,8,0.0,0.5,0.2,0.8350684833242702,0.6549783923085937,0.5430932737447621,0.24596212297678663,0.14781749805758204,0.18644978285402344,8.275031179340676,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8492537627202812,0.055996689626665354,0.40139794518308786
no_mse_loss,Remove MSE reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_mse_loss/seed_runs/seed_0042,42,seed_0042,8,1.0,0.0,0.2,0.8537757906992576,0.6362710849336062,0.5229728334552812,0.25232174258244916,0.14145787845191948,0.18131609405857227,8.3576084944981,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8503586769400626,0.05313842681710434,0.38886448169276283
no_mse_loss,Remove MSE reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_mse_loss/seed_runs/seed_0043,43,seed_0043,8,1.0,0.0,0.2,0.855530718623898,0.6345161570089658,0.5226945440946964,0.2515537899046353,0.14222583112973333,0.18186816530828673,8.32570548687833,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8503036661275215,0.053473496939057105,0.3883709940693496
no_mse_loss,Remove MSE reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_mse_loss/seed_runs/seed_0044,44,seed_0044,8,1.0,0.0,0.2,0.8540312585507318,0.636015617082132,0.5254868828818516,0.25243713679180757,0.1413424842425611,0.18108616461432842,8.284230704667351,1.4900468756328638,1.2493681899278055,0.39377962103436864,0.6131447047228668,0.9419132483336162,8633,0.8491043790313858,0.05259151848352144,0.3886790506623465
