model_name,model_role,architecture_name,parameter_count,trainable_parameter_count,parameter_size_mb_fp32,cpu_forward_ms_per_window,embedded_deployment_verdict
tcn_causal,trained,tcn_causal,101326,101326,0.38652801513671875,1.289839018136263,possible_on_embedded_linux
tcn,trained_comparison,tcn,101326,101326,0.38652801513671875,1.3390547409653664,possible_on_embedded_linux
gru,trained_comparison,gru,152070,152070,0.5801010131835938,2.729843407869339,possible_on_embedded_linux
transformer,trained_comparison,transformer,399110,399110,1.5224838256835938,1.3331334479153156,possible_on_embedded_linux
identity,baseline,identity,0,0,0.0,0.001331232488155365,yes_classical_filter
lowpass,baseline,lowpass,0,0,0.0,0.035216398537158966,yes_classical_filter
butterworth,baseline,butterworth,0,0,0.0,2.042380962520838,yes_classical_filter
savgol,baseline,savgol,0,0,0.0,2.0880281180143356,yes_classical_filter
wiener,baseline,wiener,0,0,0.0,0.43413423001766205,yes_classical_filter
